,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
49,(주)브이텐시스템,브이텐시스템 딥러닝 학습전담인원 채용,"경기,오산시,경력무관,학력무관,정규직","딥러닝,MFC,R,C#,C++",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47865762&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
50,(주)한다랩,[(주)한다랩] 딥러닝/프론트엔드/백엔드 각 부문 개발자 채용,"충북,청주시 흥덕구,신입·경력,학력무관,정규직","딥러닝,Python,Pytorch,API,HTML5",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47704608&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
51,(주)슈프리마,[슈프리마에이아이] 인공지능/머신러닝 경력직 채용공고,"경기전체,경력 2~10년,대졸↑,정규직","딥러닝,AI(인공지능),Python,Pytorch,알고리즘",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45787413&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
52,(주)이글루코퍼레이션,[연구개발본부] 인공지능/머신러닝 솔루션 엔진 개발 (5년이상),"서울전체,경력 5~10년,초대졸↑,정규직","딥러닝,AI(인공지능),Python,Pytorch,SE(시스템엔지니어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47469175&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
53,(주)토트,딥러닝 알고리즘 및 임베디드 시스템 제어 개발자 채용,"서울,성동구,경력무관,대졸↑,정규직","알고리즘,임베디드,로봇엔지니어,머신러닝,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47700902&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
54,(주)레이와트,인공지능/머신러닝 연구 개발 경력 채용,"서울,광진구,경력 5~10년,대졸↑,정규직","딥러닝,컴퓨터비전,SI개발,S/W,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47769366&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
55,(주)이스트소프트,[ESTsoft] LLM 머신러닝 엔지니어 (경력),"서울,서초구,경력 3~7년,학력무관,정규직","딥러닝,알고리즘,블록체인,빅데이터,데이터분석가",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47708182&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
56,(주)모든다해,"연구개발부문(AI, 딥러닝 개발자) 경력직원모집","경기,광명시,경력,대졸↑,정규직,5,000 만원","연구원,기술연구,기계",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47543052&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
57,(주)해양정보기술,수치모델링/빅데이터분석 및 딥러닝 부문채용,"서울,금천구,경력무관,대졸↑,정규직","딥러닝,토목공학,Python,GIS,Matlab",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47751500&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
58,(주)노르마,머신러닝/인공지능(경력 3년 이상),"서울,성동구,경력 3~10년,대졸↑,정규직","딥러닝,AI(인공지능),Python,Pytorch,SE(시스템엔지니어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46190639&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
59,(주)에이조스바이오,신약개발 AI 딥러닝 모델개발 연구원 (ADLi R&D),"경기,하남시,경력1년↑,석사↑,정규직","딥러닝,Keras,R,Tensorflow,Linux",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47953206&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
60,아이비테크(주),머신 러닝(ML) 개발자 경력 채용,"경기,남양주시,경력3년↑,대졸↑,정규직","딥러닝,모델링,알고리즘,Java,C++",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47754105&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
61,(주)누리콘,연구소 AI 및 DeepLearning 개발자 모집,"경기,성남시 분당구,경력무관,학력무관,정규직","딥러닝,영상처리,S/W,IoT,iOS",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47959895&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
62,(주)이노룰스,머신러닝 경력 개발자,"서울전체,경력 5~15년,대졸↑,정규직","딥러닝,AI(인공지능),Python,Pytorch,모델링",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47751816&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b34a009d-a71f-4699-ba47-f8e518fe0d9e
