player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Luis Milla,Getafe,1.8,0.9,2.7
Martin Valjent,Mallorca,1.2,0.3,1.5
Memphis Depay,Atletico Madrid,0.1,0.1,0.3
Carlos Soler,Valencia,0.7,0.3,1
Nacho,Real Madrid,0.9,0.6,1.5
Federico Fernández,Elche,1,0,1
Álex Collado,Elche,1.7,0.3,2.1
Eric García,Barcelona,1,0.5,1.5
Aihen Muñoz,Real Sociedad,1.7,1.1,2.7
Cenk Özkacar,Valencia,1.6,0.3,1.9
Manu Morlanes,Mallorca,1.8,0.9,2.8
Kike Barja,Osasuna,0.6,0.6,1.1
Álvaro Aceves,Real Valladolid,0,0,0
Léo Baptistão,Almeria,1.1,0.7,1.9
Alejandro Catena,Rayo Vallecano,0.8,0.4,1.2
Aïssa Mandi,Villarreal,0.9,0.3,1.1
Brian Oliván,Espanyol,1.6,0.3,1.9
César Montes,Espanyol,0.9,0.4,1.3
Dani Rodríguez,Mallorca,1.2,0.7,1.9
José Gragera,Espanyol,2.1,0.6,2.7
Umar Sadiq,Real Sociedad,0.5,0.5,1
Carles Pérez,Celta Vigo,1.1,1.3,2.4
Jawad El Yamiq,Real Valladolid,0.7,0.2,0.9
Théo Bongonda,Cadiz,0.9,0.7,1.6
Óscar Valentín,Rayo Vallecano,2.7,2.2,4.9
Álex Baena,Villarreal,0.9,0.9,1.7
Martín Montoya,Real Betis,2.2,0.3,2.5
Chimy Ávila,Osasuna,0.3,0.6,0.9
Dani Vivian,Athletic Club,2,0.3,2.3
Nico González,Valencia,1,0.6,1.7
Sergi Guardiola,Cadiz,0.5,0.5,1.1
Álex Centelles,Almeria,1.4,0.4,1.8
David Alaba,Real Madrid,0.7,0.3,0.9
Santiago Bueno,Girona,1.9,0.4,2.2
Tete Morente,Elche,1,0.7,1.7
Pepe Reina,Villarreal,0,0,0
Gonzalo Melero,Almeria,1.2,1.1,2.3
Edgar González,Real Betis,1.1,0.5,1.6
Ferland Mendy,Real Madrid,1.2,0.4,1.6
Franco Cervi,Celta Vigo,2.1,0.9,3
Fernando,Sevilla,1.5,0.5,2.1
Samu Castillejo,Valencia,0.8,1.3,2.1
Kike Pérez,Real Valladolid,1.9,1.2,3.1
Florian Lejeune,Rayo Vallecano,0.9,0.3,1.2
Iván Sánchez,Real Valladolid,0.8,0.7,1.5
Rodri,Real Betis,0.5,0.3,0.8
Isco,Sevilla,1.3,0.5,1.8
Miguel Gutiérrez,Girona,1.2,0.4,1.6
Iván Fresneda,Real Valladolid,2.2,0.8,3
Martin Braithwaite,Espanyol,0.4,0.3,0.7
