,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
29,29,José Giménez,,29, D(CR),26(2),2421,2,1,9,0,0.8,88.8,1.8,2,6.96,1.5,0.9,0.7,0.3,4.8,0.4,0.6,0,0.3,0.2,0.3,0,0,0.3,47.4,0,4.2,0,2.15,-0.15,0.08,22,0.1
30,30,Dani Parejo,,35, M(C),37,3289,3,4,6,0,0.8,90.6,0.5,2,6.96,1.9,0.8,0.8,0.1,0.8,1.2,0.3,0,1.4,0.8,2,0,0.9,0.8,65.1,0.9,4.1,0.1,4.91,-1.91,0.13,30,0.16
31,31,Marco Asensio,,28," AM(CLR),FW",15(16),1436,9,6,1,0,1.9,87.9,0.1,3,6.94,0.5,0.2,0.3,0,0.1,0.4,0.1,0,1.3,0.7,0.5,0.1,0.4,0.6,22.8,0.6,1,0.1,5.85,3.15,0.37,59,0.1
32,32,Thibaut Courtois,,31, GK,31,2790,0,0,0,0,0.0,83.9,0.3,2,6.94,0,0.1,0,0,0.3,0,0,0,0.1,0.1,0.1,0,0,0.1,30.3,0,3.9,0,,,,,
33,33,Gerard Moreno,,32," AM(CR),FW",14(7),1227,7,3,4,0,2.0,75.1,0.9,1,6.94,0.5,0.2,0.5,0,0.5,0.1,0.1,0,0.9,1.4,0.7,0.6,0.9,1.5,22.1,0,1,0.1,9.95,-2.95,0.73,43,0.23
34,34,Brais Méndez,,27," AM(CR),FW",28(6),2418,8,4,6,0,1.8,82.4,0.7,2,6.93,1.7,0.4,1.8,0,0.4,1.2,0.1,0,1.4,0.4,1.6,0.1,0.9,1.4,34.6,1,1.6,0.2,5.72,2.28,0.21,60,0.1
35,35,Loïc Badé,,24, D(C),16(3),1448,1,0,4,0,0.2,87.5,1.8,3,6.92,1.4,1.2,0.7,0.5,3.9,0.7,0.7,0,0.1,0.3,0.2,0,0.1,0.3,44.1,0,1.9,0,0.74,0.26,0.05,4,0.19
36,36,Iago Aspas,,36," AM(CR),FW",31(6),2868,12,3,5,0,2.1,79.0,0.8,2,6.91,0.2,0.2,0.4,0,0.6,0.5,0,0,2.2,0.6,1.6,0.3,1.2,1.4,31.5,0.2,1.6,0.2,11.19,0.81,0.35,78,0.14
37,37,Viktor Tsygankov,,26, M(CLR),17(2),1494,3,6,0,0,1.0,72.9,0.4,1,6.91,0.4,0.4,0.4,0,0.5,0.7,0.1,0,1.9,0.9,1.1,0.1,0.8,0.8,29.4,1.1,0.9,0,2.39,0.61,0.14,19,0.13
38,38,Ronald Araujo,,25, D(CR),21(1),1802,0,2,6,1,0.8,89.1,2.1,0,6.91,1.2,0.5,0.7,1,1.8,0.1,0.3,1,0.3,0.5,0.8,0,0.3,0.4,56.9,0,3.2,0,2.37,-2.37,0.12,18,0.13
39,39,Yeremy Pino,,21, AM(LR),31(5),2465,4,5,7,0,1.4,79.5,0.7,2,6.91,1.7,0.4,1.8,0.1,0.7,1,0.1,0,1.2,1.3,1.5,0.5,1.1,1.6,22.5,0.1,0.6,0.1,7.56,-3.56,0.28,50,0.15
40,40,Lucas Robertone,,27, M(C),34(3),2860,2,7,7,0,1.0,82.4,0.6,2,6.91,1.4,1.2,0.9,0.1,1.1,1,0.2,0,1.4,0.7,2.4,0.1,0.5,1.2,32.7,1.2,2.2,0.2,2.43,-0.43,0.08,37,0.07
41,41,Reinildo,,30," D(CL),M(L)",22,1860,0,0,4,0,0.3,87.1,1.4,1,6.91,3,1.4,1.5,0,2.4,0.5,0.5,0,0.4,0.3,1.4,0,0.4,0.9,43.3,0.2,1.2,0,0.53,-0.53,0.03,6,0.09
42,42,Alejandro Balde,,20," D(LR),M(L)",30(3),2477,1,6,4,0,0.6,91.1,0.6,1,6.9,1.3,0.4,0.8,0.3,0.4,0.5,0.1,0,0.7,1.5,0.9,0.2,0.7,1.2,42.7,0.7,1.1,0,1.49,-0.49,0.05,19,0.08
43,43,Nico Williams,,21, AM(LR),32(4),2675,6,4,3,0,1.7,78.4,0.6,3,6.89,0.9,0.2,0.6,0,0.2,0.6,0.1,0,1.3,2.3,1,0.4,1.3,2.4,21.4,0.8,0.4,0,6.22,-0.22,0.21,61,0.1
44,44,Samuel Chukwueze,,24, AM(CR),27(10),2350,6,5,1,0,1.6,78.3,0.4,3,6.89,0.4,0.3,0.5,0,0.4,0.4,0,0,1.2,2.3,0.9,0.3,0.8,1.8,23.2,0.3,0.6,0.1,6.93,-0.93,0.27,60,0.12
45,45,Antonio Raíllo,,32, D(C),31,2767,2,3,11,1,0.4,83.2,3.0,1,6.88,1.1,1,1.4,0.4,5.1,0.2,0.9,0,0.2,0.1,0.7,0.2,0.1,0.3,34.9,0,2.1,0,0.83,1.17,0.03,13,0.06
46,46,Nicolas Jackson,,22, FW,16(10),1603,12,4,4,1,1.6,76.4,0.5,4,6.87,0.5,0.1,1.2,0,0.1,0.2,0.1,0,0.8,0.9,1,0.5,1.5,2.1,12.2,0.1,0.3,0,8.31,3.69,0.47,41,0.2
47,47,Ayoze Pérez,,30," AM(CLR),FW",17(2),1395,3,1,3,0,1.8,81.0,0.4,1,6.87,1.6,0.7,1.7,0,0.2,1.6,0,0,0.7,2.2,1.5,0.1,1.4,2.1,19.7,0,0.2,0.1,4.6,-1.6,0.3,34,0.14
48,48,Marc-André ter Stegen,,32, GK,38,3349,0,0,0,0,0.0,82.4,0.2,0,6.86,0,0,0,0,0.6,0,0,0,0.1,0,0.1,0,0,0,32.3,0,6.9,0,,,,,
49,49,Yannick Carrasco,,30," D(L),M(CLR),FW",26(9),2330,7,3,2,0,1.9,84.8,0.1,0,6.85,1,0.3,0.7,0.1,0.5,0.9,0,0,1.3,1.7,0.6,0.2,1,1.5,26.1,0.7,0.7,0.1,8.21,-1.21,0.32,67,0.12
50,50,Alexander Sørloth,,28," AM(R),FW",28(6),2398,12,3,4,0,1.9,69.5,1.8,3,6.85,0.5,0.1,0.9,0.1,0.8,0.2,0,0,0.9,0.9,0.5,0.5,1.8,2.5,13.8,0.1,0.1,0,14.93,-2.93,0.56,63,0.24
51,51,David Silva,,38," M(CLR),FW",25(3),1958,2,5,4,0,1.1,86.1,0.4,2,6.85,1.3,0.5,1.1,0,0.6,0.3,0.1,0,1.3,0.7,1.2,0.1,0.9,1.3,40.4,0.1,1.4,0.2,4.35,-2.35,0.2,30,0.15
52,52,Álvaro Morata,,31," AM(L),FW",23(13),1906,13,2,4,0,2.0,64.5,1.6,2,6.85,0.4,0,1.1,0,0.6,0.1,0.1,0,0.5,0.6,1.6,0.7,0.7,1.5,11.5,0,0.3,0,12.84,0.16,0.61,71,0.18
53,53,Aitor Fernández,,32, GK,21,1890,0,0,1,0,0.0,61.4,0.1,2,6.85,0,0.1,0,0,1.4,0,0,0,0,0,0,0,0,0,33.4,0,10.1,0,,,,,
54,54,André Almeida,,23," M(C),FW",29(5),2552,2,4,3,0,0.7,84.9,0.4,1,6.84,1.9,0.6,0.9,0,0.4,0.9,0,0,1.3,1.4,1.2,0,1.4,1.2,36.8,1.1,1.6,0.1,1.7,0.3,0.06,23,0.07
55,55,David Soria,,31, GK,38,3420,0,0,3,0,0.0,49.7,0.1,6,6.84,0,0,0,0,0.9,0,0,0,0.1,0,0.1,0,0,0,27.1,0,11.1,0,,,,,
56,56,Gavi,,19, AM(CL),30(6),2543,2,4,10,0,0.8,87.5,1.1,0,6.84,1.3,0.5,2.1,0.1,0.6,0.9,0.1,0,1.1,0.8,2,0.3,0.9,1.6,32.1,0.2,0.9,0.1,2.93,-0.93,0.1,28,0.1
57,57,Iñaki Williams,,29," AM(CLR),FW",34(2),2853,10,3,2,0,2.4,71.1,0.9,3,6.83,0.6,0.2,0.9,0.1,0.9,0.4,0.1,0,1.1,1.3,0.9,0.6,1.2,2,19.7,0.3,0.4,0,12.04,-2.04,0.38,85,0.14
58,58,Jordi Masip,,35, GK,28,2508,0,0,4,0,0.0,66.4,0.3,1,6.83,0,0,0,0,0.5,0.1,0,0,0,0,0.2,0,0,0,30,0,6.3,0,,,,,
59,59,Giovani Lo Celso,,28," M(CR),FW",14(8),1130,2,3,3,0,1.4,86.5,0.1,2,6.82,1.5,0.3,0.7,0,0.1,0.4,0.1,0,1.4,1,1.4,0.2,1,1.4,29.6,0.3,2.4,0.3,2.87,-0.87,0.23,30,0.1
60,60,Jordi Alba,,35," D(L),M(L)",14(10),1423,2,3,4,1,0.5,86.6,0.3,1,6.82,1,0.5,0.5,0.2,0.6,0.7,0.2,0,1.6,0.2,0.2,0.4,0.3,0.3,51.1,1,2.1,0.1,0.63,1.37,0.04,13,0.05
61,61,Andreas Christensen,,28," D(C),DMC",22(1),1767,1,1,2,0,0.4,94.0,1.8,0,6.82,0.9,0.9,0.8,0.8,2,0.3,0.5,1,0.3,0,0.3,0,0,0.4,65,0,2.8,0,0.99,0.01,0.05,10,0.1
62,62,Álvaro García,,31, AM(CL),34(1),2890,5,5,7,0,1.5,71.6,0.3,4,6.82,1.4,1,1,0,0.5,0.6,0.1,0,1.4,0.6,0.9,0.3,0.5,1.5,23.3,0.9,0.6,0,3.44,1.56,0.11,52,0.07
63,63,Gabri Veiga,,21, AM(C),28(8),2308,11,4,6,1,1.7,76.9,0.5,3,6.82,1.2,0.6,1.2,0,0.1,1,0.1,0,0.8,1.1,1.1,0.1,0.6,1.8,19.5,0.1,0.9,0.1,5.7,5.3,0.22,62,0.09
64,64,Samuel Lino,,24," D(L),M(LR),FW",33(5),2897,6,1,4,0,2.5,80.4,0.4,2,6.81,1.7,0.5,0.9,0,0.2,1.2,0,0,0.7,1.4,1.6,0.4,1.5,2.2,27.7,0.2,0.6,0.1,8.24,-2.24,0.26,96,0.09
65,65,Juan Miranda,,24, D(L),16(5),1475,3,2,1,1,1.0,76.8,1.0,2,6.81,1.1,1,0.7,0.5,2.4,0.7,0.3,0,1,0.4,1,0,0.4,0.8,29.8,0.7,1.3,0.1,2.5,0.5,0.15,21,0.12
66,66,Marcos Llorente,,29," D(R),M(CR),FW",21(1),1712,1,2,5,0,1.1,85.9,0.5,1,6.81,1.5,0.8,1.4,0,0.8,0.6,0.1,0,1.3,0.5,0.6,0.1,0.5,1,32.5,0.2,0.8,0,1.53,-0.53,0.08,24,0.06
