player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Lisandro Magallán,Elche,27.6,2.1,2,21,2.6
Kiko Femenía,Villarreal,32.4,0.8,1,28.2,2.5
Jon Moncayola,Osasuna,35.5,3.3,2.3,25.6,4.2
Rubén García,Osasuna,16.6,1,0.6,12.3,2.8
Dani Carvajal,Real Madrid,42.6,1.9,0.8,35.3,4.7
Iván Balliu,Rayo Vallecano,35.8,1.4,2.1,27.2,5.1
Jesús Corona,Sevilla,9.5,0.3,0.3,7.8,1.3
Ronaël Pierre-Gabriel,Espanyol,8.3,0.1,0.4,6.4,1.4
Gabriel Paulista,Valencia,36.2,2.6,2.3,27.9,3.5
Denis Suárez,Espanyol,22.8,0.6,1.2,16.9,4
Felipe,Atletico Madrid,43.3,1.7,1,38.3,2.3
Johan Mojica,Elche,44,0.7,3,32.3,8
Jorge Pascual,Villarreal,4,0,0,2.5,1.5
Munir El Haddadi,Getafe,12.4,0.1,0.4,8.4,3.4
Josan,Elche,15.8,0.6,0.7,12.8,1.8
Sergi Gómez,Espanyol,38.6,2.9,3.3,30.3,2.1
Miguel Rodríguez,Celta Vigo,11.1,0.3,0.6,7.9,2.4
Alberto Moreno,Villarreal,25.1,0.7,0.9,20.8,2.8
Papu Gómez,Sevilla,25.3,1.4,0.5,21,2.4
Francis Coquelin,Villarreal,18.9,0.4,0.3,16.1,2.1
Edinson Cavani,Valencia,13.9,0.7,0.2,9.8,3.2
Pere Milla,Elche,17.6,0.8,0.6,11.8,4.4
Sergio Akieme,Almeria,26.9,1.2,2,20.4,3.2
Yassine Bounou,Sevilla,32.9,6.2,8.4,18,0.3
Matheus Cunha,Atletico Madrid,7.2,0.2,0.1,5.5,1.5
Yunus Musah,Valencia,21.8,0.9,0.6,17,3.4
Mikel Oyarzabal,Real Sociedad,15.6,0.4,0.4,11.6,3.2
Iván Villar,Celta Vigo,26.1,4.9,9.1,11.8,0.3
Álvaro Fernández,Espanyol,26.6,9.3,10.3,7,0
John Donald,Elche,30.2,1,0.7,24.4,4.1
Aritz Elustondo,Real Sociedad,27.4,1.3,1.5,21.4,3.3
Juanmi Latasa,Getafe,8.9,0.1,0,4.4,4.4
Pedro Bigas,Elche,36.6,2.5,3.7,27.2,3.3
Randy Nteka,Elche,12,0.3,0.4,8.1,3.3
Ander Guevara,Real Sociedad,22.3,0.1,0.3,20,1.9
