player_name,team_name,Total_Key passes,Long,Short
Dani Rodríguez,Mallorca,0.7,0.1,0.7
José Gragera,Espanyol,0,0,0
Umar Sadiq,Real Sociedad,0,0,0
Carles Pérez,Celta Vigo,0.7,0,0.6
Jawad El Yamiq,Real Valladolid,0.2,0,0.2
Théo Bongonda,Cadiz,0.6,0.1,0.5
Óscar Valentín,Rayo Vallecano,0.6,0,0.5
Álex Baena,Villarreal,0.9,0.1,0.8
Martín Montoya,Real Betis,0.7,0,0.7
Chimy Ávila,Osasuna,0.6,0.1,0.5
Dani Vivian,Athletic Club,0.2,0,0.2
Nico González,Valencia,0.5,0,0.4
Sergi Guardiola,Cadiz,0.5,0.1,0.5
Álex Centelles,Almeria,0.8,0.2,0.6
David Alaba,Real Madrid,0.7,0.1,0.6
Santiago Bueno,Girona,0.3,0.1,0.2
Tete Morente,Elche,0.5,0.1,0.4
Pepe Reina,Villarreal,0,0,0
Gonzalo Melero,Almeria,0.7,0,0.7
Edgar González,Real Betis,0.1,0,0.1
Ferland Mendy,Real Madrid,0.7,0,0.7
Franco Cervi,Celta Vigo,0.8,0.1,0.7
Fernando,Sevilla,0.4,0,0.4
Samu Castillejo,Valencia,1.2,0.4,0.8
Kike Pérez,Real Valladolid,0.9,0.1,0.8
Florian Lejeune,Rayo Vallecano,0.3,0.1,0.1
Iván Sánchez,Real Valladolid,0.7,0.1,0.6
Rodri,Real Betis,0.7,0,0.7
Isco,Sevilla,1.4,0.3,1.2
Miguel Gutiérrez,Girona,0.6,0.1,0.5
Iván Fresneda,Real Valladolid,0.8,0.1,0.7
Martin Braithwaite,Espanyol,0.4,0.1,0.3
Saúl Ñíguez,Atletico Madrid,0.2,0,0.2
Nemanja Maksimovic,Getafe,0.3,0,0.3
Youssef En-Nesyri,Sevilla,0.3,0,0.3
Samú Costa,Almeria,0.4,0.1,0.3
Geoffrey Kondogbia,Atletico Madrid,0.2,0.1,0.1
Óliver Torres,Sevilla,1.2,0.1,1
Lázaro,Almeria,0.6,0.1,0.6
Iván Martín,Girona,0.7,0,0.7
Ansu Fati,Barcelona,0.4,0,0.4
Borja García,Girona,0.5,0.1,0.4
Axel Witsel,Atletico Madrid,0.1,0,0.1
Íñigo Lekue,Athletic Club,0.7,0.2,0.5
Asier Illarramendi,Real Sociedad,0.4,0,0.4
Damián Suárez,Getafe,0.9,0.2,0.7
Sergio Camello,Rayo Vallecano,0.7,0,0.7
Jorge Cuenca,Villarreal,0.1,0.1,0
Sergio Herrera,Osasuna,0.1,0.1,0
Javi Sánchez,Real Valladolid,0.1,0,0.1
Fernando Pacheco,Almeria,0,0,0
Ramon Terrats,Villarreal,0.6,0,0.6
Álex Sola,Real Sociedad,0.2,0,0.2
Luis Pérez,Real Valladolid,0.7,0.3,0.4
Giorgi Mamardashvili,Valencia,0,0,0
Ivan Rakitic,Sevilla,0.9,0.4,0.5
Manu Sánchez,Osasuna,0.9,0.1,0.8
Marcão,Sevilla,0,0,0
Érik Lamela,Sevilla,0.8,0,0.8
Bryan Gil,Sevilla,0.5,0,0.5
Rubén Peña,Osasuna,0.5,0.2,0.3
Lucas Rosa,Real Valladolid,0.6,0.1,0.5
Djené Dakonam,Getafe,0.2,0.1,0.2
Diego Mariño,Almeria,0,0,0
Iker Benito,Osasuna,0.8,0,0.8
Julen Agirrezabala,Athletic Club,0,0,0
Srdjan Babic,Almeria,0.2,0,0.2
Marcos Alonso,Barcelona,0.3,0,0.2
Antonio Rüdiger,Real Madrid,0.1,0.1,0
Rodrigo Ely,Almeria,0.2,0.1,0.1
Monchu,Real Valladolid,0.7,0.3,0.4
Joaquín Fernández,Real Valladolid,0.1,0,0.1
Jaume Costa,Mallorca,1,0.2,0.8
Jorge Meré,Cadiz,0,0,0
Yan Couto,Girona,0.8,0,0.7
Alex Telles,Sevilla,0.7,0.2,0.5
Agustín Marchesín,Celta Vigo,0,0,0
Gorka Guruzeta,Athletic Club,0.5,0,0.4
Manu Bueno,Sevilla,1,0,1
Javi Puado,Espanyol,0.7,0,0.6
Andrés Guardado,Real Betis,0.5,0.1,0.3
Óscar Plano,Real Valladolid,0.5,0.1,0.4
Brian Ocampo,Cadiz,0.9,0.2,0.7
Juan Iglesias,Getafe,0.4,0.1,0.3
Ángel Correa,Atletico Madrid,0.7,0.1,0.6
Domingos Duarte,Getafe,0.1,0,0.1
Jon Pacheco,Real Sociedad,0.1,0,0.1
Borja Mayoral,Getafe,0.6,0,0.6
Giovanni González,Mallorca,0.3,0,0.3
Rubén Alcaraz,Cadiz,0.6,0.3,0.4
Gastón Álvarez,Getafe,0.2,0,0.2
Darwin Machís,Real Valladolid,0.8,0.3,0.5
Fran Beltrán,Celta Vigo,0.7,0.3,0.4
