player_name,team_name,Total_Aerial,Won,Lost
Willian José,Real Betis,1.3,0.6,0.7
Mamadou Fall,Villarreal,0,0,0
Mikel Balenziaga,Athletic Club,0,0,0
Pierre-Emerick Aubameyang,Barcelona,0,0,0
Marcos André,Valencia,1.5,0.6,0.9
Oier Zarraga,Athletic Club,0.8,0.3,0.5
Ander Martín,Real Sociedad,1.3,0.3,1
Clément Grenier,Mallorca,0.6,0.1,0.4
Abner,Real Betis,1.9,0.7,1.2
Sergio Reguilón,Atletico Madrid,1.2,0.7,0.5
Alberto Marí,Valencia,1,0.4,0.6
Benjamin Lecomte,Espanyol,0,0,0
Augusto Solari,Celta Vigo,0.5,0.3,0.2
Jon Magunazelaia,Real Sociedad,1,0,1
José Mari Martín,Cadiz,0.6,0.3,0.4
Kevin Vázquez,Celta Vigo,0.8,0.2,0.6
Andrés Martín,Rayo Vallecano,0.8,0.6,0.2
Thomas Delaney,Sevilla,1.4,1.1,0.3
Franco Russo,Mallorca,1.7,1,0.7
Nicolás Fernández Mercau,Elche,0.4,0.1,0.3
Ezequiel Ponce,Elche,2.4,1,1.3
José Carlos Lazo,Almeria,0,0,0
Hugo Duro,Valencia,3.2,1.1,2.1
Samu Sáiz,Girona,0.6,0.3,0.4
Bebé,Rayo Vallecano,0.3,0,0.3
Robert Navarro,Real Sociedad,0.7,0.4,0.3
Antonio Blanco,Cadiz,1,1,0
Antonio Sánchez,Mallorca,0.7,0.2,0.5
Jon Morcillo,Athletic Club,0.2,0.1,0.1
Alexander Callens,Girona,0.2,0,0.2
Sergi Guardiola,Real Valladolid,1.6,0.6,1
Manu Morlanes,Villarreal,0.6,0.2,0.4
Diego González,Elche,1.7,1.2,0.5
Rodrigo Battaglia,Mallorca,1.3,0.7,0.5
Ander Capa,Athletic Club,0.6,0.6,0
Ricard Artero,Girona,0.6,0.3,0.3
Axel Werner,Elche,0,0,0
Asier Villalibre,Athletic Club,0.8,0.4,0.4
Ángel Rodríguez,Mallorca,1.1,0.6,0.5
Toni Villa,Real Valladolid,0,0,0
Lamine Yamal,Barcelona,1,0,1
Abdón Prats,Mallorca,2,0.5,1.5
Raúl Guti,Elche,0.6,0.2,0.4
Ludwig Augustinsson,Mallorca,1.3,1,0.3
Omar El Hilali,Espanyol,0.6,0.4,0.2
Filip Jørgensen,Villarreal,0,0,0
Josep Gayá,Mallorca,1,0.5,0.5
Roger Martí,Elche,1.6,0.5,1.1
Jaime Seoane,Getafe,0.4,0.1,0.3
Diego Collado,Villarreal,0,0,0
Curro Sánchez,Almeria,1,0,1
Radamel Falcao,Rayo Vallecano,1.8,0.9,1
José Pozo,Rayo Vallecano,0.6,0.3,0.4
Williot Swedberg,Celta Vigo,0,0,0
Moi Parra,Getafe,0,0,0
Mickaël Malsa,Real Valladolid,0.4,0.2,0.2
Beñat Turrientes,Real Sociedad,0.3,0,0.3
David Torres,Real Valladolid,2.6,1.3,1.3
Pablo Durán,Celta Vigo,0.5,0.3,0.3
Carlos Martín,Atletico Madrid,0,0,0
Francisco Mwepu,Cadiz,0,0,0
Nabili Zoubdi Touaizi,Espanyol,1,0,1
