player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Scott McTominay,Manchester United,0.5,0.2,0.1,0.3
Adama Traoré,Wolves,0.6,0.1,0,0.4
César Azpilicueta,Chelsea,0.4,0.2,0,0.2
Matías Viña,Bournemouth,0.8,0.4,0,0.3
Yoane Wissa,Brentford,0.8,0.2,0.1,0.6
Rayan Aït-Nouri,Wolves,0.5,0,0,0.4
Gianluca Scamacca,West Ham,1.9,0.7,0.1,1.1
Jack Stephens,Bournemouth,0.1,0,0.1,0.1
Cody Drameh,Leeds,0,0,0,0
Nathan Patterson,Everton,0.4,0.2,0.1,0.2
João Moutinho,Wolves,0.5,0.3,0,0.3
Taiwo Awoniyi,Nottingham Forest,1.3,0.1,0.1,1.1
Daniel Podence,Wolves,1.3,0.4,0.1,0.8
Joël Matip,Liverpool,0.4,0,0.1,0.2
Morgan Gibbs-White,Wolves,1.5,0.5,0.5,0.5
Thilo Kehrer,West Ham,0.3,0.1,0,0.2
Marc Roca,Leeds,1.1,0.7,0.1,0.3
Nélson Semedo,Wolves,0.3,0.1,0,0.1
Ainsley Maitland-Niles,Southampton,0,0,0,0
Harrison Reed,Fulham,0.5,0.3,0,0.2
Carlos Alcaraz,Southampton,1.3,0.7,0.1,0.6
Wilfred Ndidi,Leicester,0.3,0.2,0,0
Michail Antonio,West Ham,1.2,0.2,0.4,0.6
Matthew Craig,Tottenham,0,0,0,0
Boubakary Soumaré,Leicester,0,0,0,0
Jordan Zemura,Bournemouth,0.2,0.1,0,0.2
Brennan Johnson,Nottingham Forest,1.4,0.3,0,1.1
Mohamed Elyounoussi,Southampton,1.1,0.4,0.2,0.5
Jonny Evans,Leicester,0.1,0,0.1,0
David Datro Fofana,Chelsea,1,0.3,0,0.7
Nathan Collins,Wolves,0.1,0,0,0.1
Tetê,Leicester,1.2,0.5,0,0.6
Fred,Manchester United,0.7,0.4,0,0.3
Moussa Niakhaté,Nottingham Forest,0.4,0.1,0.1,0.3
Abdoulaye Doucouré,Everton,0.8,0.2,0,0.6
Kostas Tsimikas,Liverpool,0.4,0.1,0,0.3
Mateo Kovacic,Chelsea,0.9,0.7,0,0.1
Wilfried Gnonto,Leeds,0.9,0.3,0.1,0.5
Orel Mangala,Nottingham Forest,0.3,0.2,0,0.1
Fraser Forster,Tottenham,0,0,0,0
Lyanco,Southampton,0.6,0.2,0,0.3
Davinson Sánchez,Tottenham,0.3,0.1,0.1,0.2
Kelechi Iheanacho,Leicester,1.4,0.4,0.1,0.9
Trevoh Chalobah,Chelsea,0.4,0,0.1,0.3
Diego Llorente,Leeds,0.8,0.1,0.1,0.5
Bobby De Cordova-Reid,Fulham,0.9,0.2,0.2,0.5
Romain Perraud,Southampton,1,0.6,0,0.4
Danny Ward,Leicester,0,0,0,0
Richarlison,Tottenham,1,0.1,0.1,0.9
Crysencio Summerville,Leeds,1,0.2,0,0.8
Ryan Yates,Nottingham Forest,1,0.3,0.1,0.6
Marc Albrighton,Leicester,0.3,0,0.2,0.2
Mario Lemina,Wolves,0.5,0.4,0,0.1
Moussa Djenepo,Southampton,0.2,0,0,0.2
Adam Lallana,Brighton,0.5,0.1,0,0.4
Aaron Hickey,Brentford,0.4,0.3,0,0.1
Hakim Ziyech,Chelsea,0.9,0.5,0,0.4
Patson Daka,Leicester,1,0.2,0.1,0.7
Jonny Otto,Wolves,0.5,0.4,0,0.1
Kevin Schade,Brentford,0.7,0.1,0.1,0.5
Conor Coady,Everton,0.2,0,0.1,0.1
Tino Livramento,Southampton,0,0,0,0
Josh Dasilva,Brentford,0.5,0.3,0,0.2
Joe Rothwell,Bournemouth,0.2,0.1,0,0.1
Daniel James,Leeds,0.8,0.3,0,0.5
Victor Kristiansen,Leicester,0.3,0.1,0,0.2
Ederson,Manchester City,0,0,0,0
Paul Onuachu,Southampton,1,0.2,0.1,0.7
Jacob Murphy,Newcastle,0.8,0.2,0.1,0.5
Eddie Nketiah,Arsenal,1.4,0.1,0.4,0.9
Gavin Bazunu,Southampton,0,0,0,0
Hugo Bueno,Wolves,0.2,0,0,0.1
Craig Dawson,West Ham,0.8,0.3,0.1,0.4
Emmanuel Dennis,Nottingham Forest,1.1,0.2,0.1,0.8
Harry Wilson,Fulham,0.6,0.2,0,0.4
Mads Roerslev,Brentford,0.2,0,0,0.2
James Garner,Everton,0.6,0.4,0,0.2
Odsonne Édouard,Crystal Palace,1.1,0.1,0.1,0.9
Luke Thomas,Leicester,0.2,0.1,0,0.1
Bryan Gil,Tottenham,0.5,0.3,0,0.3
Wayne Hennessey,Nottingham Forest,0,0,0,0
Albert Sambi Lokonga,Crystal Palace,0.2,0.1,0,0.1
Illan Meslier,Leeds,0,0,0,0
Robert Sánchez,Brighton,0,0,0,0
Weston McKennie,Leeds,0.7,0.2,0.1,0.5
Joel Robles,Leeds,0,0,0,0
Oliver Skipp,Tottenham,0.3,0.3,0,0
Emerson,West Ham,0.5,0.1,0.1,0.3
Junior Firpo,Leeds,0.1,0,0,0.1
Brenden Aaronson,Leeds,1.1,0.5,0.1,0.6
Lewis Cook,Bournemouth,0.2,0.2,0,0
Enock Mwepu,Brighton,0.3,0.2,0,0.2
Neeskens Kebano,Fulham,0.5,0.1,0,0.5
Kristoffer Ajer,Brentford,0.1,0,0.1,0
Pablo Fornals,West Ham,0.8,0.5,0,0.3
Lucas Digne,Aston Villa,0.3,0.1,0,0.1
Chris Richards,Crystal Palace,0.4,0,0.1,0.3
Ryan Sessegnon,Tottenham,1.1,0.3,0.2,0.6
Juan Larios,Southampton,0,0,0,0
Nathaniel Phillips,Liverpool,0.5,0,0,0.5
Cristiano Ronaldo,Manchester United,2.5,1.1,0,1.4
Frank Onyeka,Brentford,0.4,0.2,0,0.2
Denis Zakaria,Chelsea,0.3,0,0,0.3
Scott McKenna,Nottingham Forest,0.1,0,0,0.1
Ben Johnson,West Ham,0.1,0.1,0,0.1
Matt Targett,Newcastle,0.1,0.1,0,0
Cheikhou Kouyaté,Nottingham Forest,0.3,0.2,0,0.1
James Bree,Southampton,0.2,0.2,0,0
Gonçalo Guedes,Wolves,1.5,0.6,0,0.8
Remo Freuler,Nottingham Forest,0.3,0.1,0,0.2
Pedro Neto,Wolves,0.9,0.4,0,0.5
Pablo Sarabia,Wolves,1.5,0.4,0.2,1
Theo Walcott,Southampton,1,0.3,0.1,0.7
Wout Weghorst,Manchester United,0.8,0.1,0.1,0.6
Ricardo Pereira,Leicester,0.2,0.1,0,0.1
Philippe Coutinho,Aston Villa,1.1,0.6,0.1,0.4
Fábio Carvalho,Liverpool,0.8,0.1,0.2,0.6
Ludwig Augustinsson,Aston Villa,0.7,0,0,0.7
Steve Cook,Nottingham Forest,0.3,0,0,0.3
Bertrand Traoré,Aston Villa,1.1,0.3,0,0.9
Zanka,Brentford,0.3,0,0.1,0.2
Patrick Bamford,Leeds,1.8,0.4,0.4,1
Édouard Mendy,Chelsea,0,0,0,0
Alejandro Garnacho,Manchester United,1.3,0.3,0,0.9
Jeremy Sarmiento,Brighton,0.6,0.2,0.1,0.2
Kieffer Moore,Bournemouth,0.9,0.1,0.1,0.7
Raúl Jiménez,Wolves,1.3,0.3,0.1,0.9
Jaidon Anthony,Bournemouth,0.7,0.4,0,0.3
Danny Ings,West Ham,0.9,0.1,0.1,0.7
Isaac Price,Everton,0,0,0,0
Mark Travers,Bournemouth,0,0,0,0
Mikkel Damsgaard,Brentford,0.5,0.2,0.1,0.2
Mason Holgate,Everton,0.5,0.1,0.1,0.3
Deniz Undav,Brighton,1.2,0.2,0.3,0.7
Cole Palmer,Manchester City,0.8,0.1,0.1,0.6
James Milner,Liverpool,0.2,0.1,0,0.2
Takehiro Tomiyasu,Arsenal,0.1,0,0,0.1
Billy Gilmour,Brighton,0.4,0.2,0,0.2
Lewis Miley,Newcastle,1,1,0,0
Jamie Vardy,Leicester,0.8,0.1,0.1,0.6
Cédric Soares,Fulham,0.3,0.3,0,0
Ben Godfrey,Everton,0.5,0.1,0.1,0.3
Hwang Hee-Chan,Wolves,0.7,0.2,0.1,0.4
Carlos Vinícius,Fulham,0.8,0,0.1,0.6
Jan Bednarek,Aston Villa,0,0,0,0
Adam Smith,Bournemouth,0.1,0,0,0.1
Alex Oxlade Chamberlain,Liverpool,0.8,0.2,0.1,0.4
Samuel Edozie,Southampton,0.5,0.2,0,0.3
Lewis O'Brien,Nottingham Forest,0.5,0.5,0,0.1
Nampalys Mendy,Leicester,0.1,0.1,0,0.1
Mykhailo Mudryk,Chelsea,0.9,0.5,0.1,0.4
Fábio Vieira,Arsenal,0.7,0.4,0,0.3
Leander Dendoncker,Aston Villa,0.1,0.1,0,0
Alphonse Areola,West Ham,0,0,0,0
Stuart Armstrong,Southampton,0.7,0.3,0.1,0.4
