player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Liam Cooper,Leeds,43.6,2.1,3.9,32.2,5.4
Craig Dawson,Wolves,54.1,4,4.6,41.6,3.9
Ben Chilwell,Chelsea,33,0.7,1.6,26.7,4
Robin Olsen,Aston Villa,27.8,4.8,13,9.8,0.3
Leon Bailey,Aston Villa,13.4,0.6,0.3,8.7,3.8
Willy-Arnaud Boly,Nottingham Forest,23.4,1.2,2.5,16.4,3.3
Anthony Gordon,Everton,15.8,0.4,0.5,11.5,3.4
Aaron Cresswell,West Ham,40,2.3,2.3,30.3,5.1
Jorginho,Arsenal,52.3,1.9,1.1,43.9,5.4
Matheus Nunes,Wolves,27.8,2.3,1.1,20.6,3.9
Jakub Kiwior,Arsenal,28,0.1,1.1,24,2.7
Neco Williams,Nottingham Forest,19.5,1.3,2.5,11.7,3.9
Ché Adams,Southampton,17.2,0.8,0.3,10.8,5.3
Lloyd Kelly,Bournemouth,45.1,2.7,4.5,34,3.9
Joël Veltman,Brighton,41.8,1.5,2.1,34.1,4.1
Anthony Martial,Manchester United,15.2,0.2,0.1,12.2,2.7
Manuel Akanji,Manchester City,69.7,2.3,1.7,62.7,3
Harry Maguire,Manchester United,35.9,2.3,2.4,28.3,2.8
Dan Bentley,Wolves,33,7,9,17,0
Vitalii Mykolenko,Everton,29.4,1.1,2.1,21.1,5.1
Kyle Walker-Peters,Southampton,32.7,0.8,1.3,25,5.6
Chris Mepham,Bournemouth,39.3,1.8,2.9,31.1,3.5
Caoimhín Kelleher,Liverpool,17,3,1,13,0
Luis Sinisterra,Leeds,17.3,0.5,0.3,13.6,2.9
Joe Worrall,Nottingham Forest,36.5,2.8,3.5,25.8,4.3
Ashley Young,Aston Villa,33.3,1.9,3.1,23.9,4.3
Pontus Jansson,Brentford,26.3,1.2,1.5,19.8,3.8
Ezri Konsa,Aston Villa,49.3,1.5,2.4,42.3,3.1
Dean Henderson,Nottingham Forest,31.2,6.4,13.3,11.3,0.2
Jordan Henderson,Liverpool,44.1,2.3,1.7,35.2,5
Danny Ings,Aston Villa,8.8,0.1,0.3,6.3,2.1
Séamus Coleman,Everton,26.2,1,2.4,18.8,4
Ryan Christie,Bournemouth,19.2,0.7,0.6,15.2,2.7
Rico Lewis,Manchester City,45.6,0.5,0.4,41.5,3.2
Matty Cash,Aston Villa,30,1.5,2.5,22.1,4
Roméo Lavia,Southampton,34.2,1.6,0.8,27.9,3.8
Ruben Loftus-Cheek,Chelsea,34,0.6,0.4,29.5,3.5
João Gomes,Wolves,28.4,0.9,1.1,21.6,4.7
Boubacar Kamara,Aston Villa,39.2,2,1.3,31.3,4.6
Luke Ayling,Leeds,30.1,1.4,2.8,19.4,6.5
Hugo Lloris,Tottenham,24.6,4.4,6.4,13.8,0.2
Leander Dendoncker,Wolves,24.5,1.8,0.3,19.5,3
Joe Aribo,Southampton,17.9,0.2,0.1,13,4.5
Ayoze Pérez,Leicester,19,0.5,0.1,13.9,4.5
Clément Lenglet,Tottenham,55.3,3,3.3,45.4,3.6
Levi Colwill,Brighton,67.5,2.6,2,57.2,5.7
Conor Gallagher,Chelsea,23.1,0.4,0.4,19.2,3.2
Renan Lodi,Nottingham Forest,23.9,1.4,3.3,15.6,3.6
Stefan Bajcetic,Liverpool,23,1.1,1.3,17,3.6
Kyle Walker,Manchester City,64,2.6,2.4,54.7,4.3
Daniel Amartey,Leicester,55.4,1.5,1.2,49.1,3.6
Tyrick Mitchell,Crystal Palace,33.3,0.9,2.9,23.2,6.3
Angelo Ogbonna,West Ham,25.9,1.3,1.8,19.4,3.4
Sam Amo-Ameyaw,Southampton,6,0,0,5,1
Keylor Navas,Nottingham Forest,27.3,7,12.9,7.2,0.2
José Sá,Wolves,28.1,3.7,9.4,14.7,0.3
Harvey Elliott,Liverpool,29.9,1,0.9,23.8,4.2
Marcos Senesi,Bournemouth,41.6,3.5,3.5,30.5,4.2
Adam Webster,Brighton,62.1,3.1,2.2,51.9,4.9
Manor Solomon,Fulham,10.5,0.2,0.1,8.9,1.3
Robin Koch,Leeds,44.1,2.5,4.4,31.6,5.6
