player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Mads Roerslev,Brentford,1.1,0.9,2
James Garner,Everton,1,0.6,1.6
Odsonne Édouard,Crystal Palace,0.7,0.2,0.9
Luke Thomas,Leicester,1.4,1,2.4
Bryan Gil,Tottenham,0.8,0.8,1.5
Wayne Hennessey,Nottingham Forest,0.3,0,0.3
Albert Sambi Lokonga,Crystal Palace,1.4,0.4,1.9
Illan Meslier,Leeds,0.1,0.1,0.1
Robert Sánchez,Brighton,0,0,0
Weston McKennie,Leeds,1.6,1,2.6
Joel Robles,Leeds,0,0.3,0.3
Oliver Skipp,Tottenham,1.5,0.7,2.2
Emerson,West Ham,1.2,0.5,1.7
Junior Firpo,Leeds,2.5,1.2,3.6
Brenden Aaronson,Leeds,1.3,0.9,2.1
Lewis Cook,Bournemouth,1.3,0.9,2.3
Enock Mwepu,Brighton,1.7,0.2,1.8
Neeskens Kebano,Fulham,1,0.5,1.5
Kristoffer Ajer,Brentford,1.2,0.8,2
Pablo Fornals,West Ham,0.9,0.7,1.6
Lucas Digne,Aston Villa,1.1,0.5,1.5
Chris Richards,Crystal Palace,1,0.2,1.2
Ryan Sessegnon,Tottenham,0.9,0.4,1.3
Juan Larios,Southampton,1.4,0,1.4
Nathaniel Phillips,Liverpool,1,0,1
Cristiano Ronaldo,Manchester United,0.2,0.1,0.3
Frank Onyeka,Brentford,0.9,0.7,1.6
Denis Zakaria,Chelsea,1.3,0.9,2.1
Scott McKenna,Nottingham Forest,0.6,0.2,0.8
Ben Johnson,West Ham,1.2,0.4,1.5
Matt Targett,Newcastle,0.8,0.9,1.6
Cheikhou Kouyaté,Nottingham Forest,1.4,0.2,1.6
James Bree,Southampton,1,0.2,1.2
Gonçalo Guedes,Wolves,0.6,0.2,0.8
Remo Freuler,Nottingham Forest,1.5,0.9,2.4
Pedro Neto,Wolves,0.6,0.5,1.1
Pablo Sarabia,Wolves,0.9,0.7,1.6
Theo Walcott,Southampton,0.6,1,1.6
Wout Weghorst,Manchester United,0.6,0.4,1.1
Ricardo Pereira,Leicester,1.1,1,2.1
Philippe Coutinho,Aston Villa,1,0.3,1.3
Fábio Carvalho,Liverpool,0.6,0.2,0.8
Ludwig Augustinsson,Aston Villa,0.3,0,0.3
Steve Cook,Nottingham Forest,0.7,0.2,0.8
Bertrand Traoré,Aston Villa,0.1,0.4,0.5
Zanka,Brentford,0.9,0.7,1.6
Patrick Bamford,Leeds,0.3,0.6,0.9
Édouard Mendy,Chelsea,0,0,0
Alejandro Garnacho,Manchester United,0.3,0.5,0.8
Jeremy Sarmiento,Brighton,0.7,0.3,1
Kieffer Moore,Bournemouth,0.5,0.4,0.9
Raúl Jiménez,Wolves,0.6,0.2,0.8
Jaidon Anthony,Bournemouth,1,0.5,1.5
Danny Ings,West Ham,0.5,0.5,1.1
Isaac Price,Everton,0,1,1
Mark Travers,Bournemouth,0,0,0
Mikkel Damsgaard,Brentford,1.2,1,2.2
Mason Holgate,Everton,1.4,1,2.4
Deniz Undav,Brighton,0.3,0.3,0.6
Cole Palmer,Manchester City,0.4,0.1,0.5
James Milner,Liverpool,0.8,0.6,1.5
Takehiro Tomiyasu,Arsenal,1.3,0.2,1.5
Billy Gilmour,Brighton,0.4,0.4,0.8
Lewis Miley,Newcastle,0,0,0
Jamie Vardy,Leicester,0.2,0.2,0.4
Cédric Soares,Fulham,1.3,0,1.3
Ben Godfrey,Everton,1.5,1.4,2.9
Hwang Hee-Chan,Wolves,0.7,0.5,1.3
Carlos Vinícius,Fulham,0.1,0.1,0.3
Jan Bednarek,Aston Villa,1,0,1
Adam Smith,Bournemouth,1.3,0.8,2.2
Alex Oxlade Chamberlain,Liverpool,0.6,0.4,1
Samuel Edozie,Southampton,1,0.3,1.3
Lewis O'Brien,Nottingham Forest,1.2,0.5,1.7
Nampalys Mendy,Leicester,0.7,0.4,1.1
Mykhailo Mudryk,Chelsea,0.7,0.6,1.3
Fábio Vieira,Arsenal,0.3,0.1,0.4
Leander Dendoncker,Aston Villa,1,0.6,1.5
Alphonse Areola,West Ham,0,0,0
Stuart Armstrong,Southampton,1,0.8,1.8
Rob Holding,Arsenal,0.6,0.2,0.8
Tom Cairney,Fulham,0.5,0.1,0.6
Chris Wood,Nottingham Forest,0,0.1,0.1
Elliot Anderson,Newcastle,0.5,0.3,0.8
Sam Greenwood,Leeds,0.8,0.7,1.6
Daniel Iversen,Leicester,0,0,0
Nathaniel Clyne,Crystal Palace,1.2,0.4,1.6
Chris Wood,Newcastle,0.3,0.1,0.4
Armando Broja,Chelsea,0.3,0,0.3
Yves Bissouma,Tottenham,0.7,0.2,0.9
Harry Toffolo,Nottingham Forest,0.9,0.2,1.1
Darko Gyabi,Leeds,2,0,2
Facundo Buonanotte,Brighton,0.2,1.6,1.8
Albert Sambi Lokonga,Arsenal,0.2,0.3,0.5
Jack Colback,Nottingham Forest,1.6,0.3,1.9
Oriol Romeu,Southampton,1,0,1
Sékou Mara,Southampton,0.6,0.3,0.9
Adam Armstrong,Southampton,0.5,0.2,0.7
Daniel James,Fulham,0.5,0.3,0.8
Christian Pulisic,Chelsea,0.5,0.1,0.5
Will Hughes,Crystal Palace,1.1,0.3,1.4
Kalvin Phillips,Manchester City,0.5,0.7,1.2
Siriki Dembélé,Bournemouth,0.5,0.2,0.7
Adam Forshaw,Leeds,1,0.8,1.8
Anthony Elanga,Manchester United,0.2,0.1,0.3
Jan Paul van Hecke,Brighton,1,0,1
Carney Chukwuemeka,Chelsea,0.9,0.1,1.1
Kieran Tierney,Arsenal,0.7,0.1,0.9
Anthony Gordon,Newcastle,0.9,0.7,1.6
Boubacar Traoré,Wolves,1.2,0.4,1.6
Georginio Rutter,Leeds,0.9,0.3,1.2
Keane Lewis-Potter,Brentford,0.1,0,0.1
Diego Costa,Wolves,0.1,0.3,0.4
Sergio Gómez,Manchester City,0.8,0.3,1
Ryan Fraser,Newcastle,0.3,0.4,0.6
Kevin Mbabu,Fulham,0.5,0.3,0.8
Arnaut Danjuma,Tottenham,0.2,0,0.2
Illia Zabarnyi,Bournemouth,0.8,0.8,1.6
Shandon Baptiste,Brentford,0.7,0.4,1.1
Marek Rodák,Fulham,0,0,0
Sasa Kalajdzic,Wolves,0,0,0
Giulian Biancone,Nottingham Forest,1,0,1
Ibrahima Diallo,Southampton,1.4,0.3,1.7
Tariq Lamptey,Brighton,0.6,0.1,0.7
Neal Maupay,Everton,0.4,0.1,0.5
Rúben Vinagre,Everton,1,0.5,1.5
Gustavo Scarpa,Nottingham Forest,0.8,0.5,1.3
Dennis Praet,Leicester,0.5,0.2,0.8
Javier Manquillo,Newcastle,0.8,0,0.8
Luka Milivojevic,Crystal Palace,0.7,0.2,0.9
Donny van de Beek,Manchester United,0,0.1,0.1
Facundo Pellistri,Manchester United,0.3,0,0.3
Emile Smith Rowe,Arsenal,0.1,0.2,0.3
Thomas Cannon,Everton,0,0,0
Antoine Semenyo,Bournemouth,0.1,0.5,0.5
Japhet Tanganga,Tottenham,0.8,1,1.8
Sasa Lukic,Fulham,0.7,0.3,1
Pape Sarr,Tottenham,0.6,0.4,1
Jean-Philippe Mateta,Crystal Palace,0.2,0.1,0.3
Joe Gelhardt,Leeds,0.4,0.1,0.5
Yasin Ayari,Brighton,0.7,1.3,2
Jesse Lingard,Nottingham Forest,0.2,0.4,0.6
Jack Stephens,Southampton,1,0,1
Ellis Simms,Everton,0,0,0
Divin Mubama,West Ham,0.3,0,0.3
Jonjo Shelvey,Nottingham Forest,0.3,1,1.3
Naby Keïta,Liverpool,0.6,0.4,1
Manuel Lanzini,West Ham,0.2,0.4,0.6
Flynn Downes,West Ham,0.8,0.3,1
James Tomkins,Crystal Palace,0.7,0.3,1
James McArthur,Crystal Palace,0.3,0,0.3
Harvey White,Tottenham,0,1,1
Ryan Fredericks,Bournemouth,0.3,0.3,0.5
Saman Ghoddos,Brentford,0.1,0.1,0.3
Mateusz Klich,Leeds,0.9,0.4,1.3
Matt Ritchie,Newcastle,0.1,0.3,0.4
Tom Davies,Everton,0.8,0.4,1.2
Pierre-Emerick Aubameyang,Chelsea,0.1,0.1,0.1
Mislav Orsic,Southampton,1,0,1
Omari Hutchinson,Chelsea,0,0,0
Sergi Canós,Brentford,0,0.4,0.4
Salomón Rondón,Everton,0,0,0
Calum Chambers,Aston Villa,0.6,0.1,0.8
Kobbie Mainoo,Manchester United,0,0,0
Jairo Riedewald,Crystal Palace,0.3,0.2,0.5
Chem Campbell,Wolves,0.4,0.2,0.6
Cafú,Nottingham Forest,0,0,0
Diego Carlos,Aston Villa,0.3,0.3,0.7
Ben Doak,Liverpool,1.5,0,1.5
Mads Bech,Brentford,0,0,0
Jay Stansfield,Fulham,0,0.7,0.7
Jhon Durán,Aston Villa,0.2,0.3,0.4
Maxwel Cornet,West Ham,0.5,0.1,0.6
Lucas Moura,Tottenham,0.5,0.2,0.7
Sam Surridge,Nottingham Forest,0.3,0.2,0.4
Jack Stacey,Bournemouth,0.5,0.3,0.8
Layvin Kurzawa,Fulham,1,0,1
André Ayew,Nottingham Forest,0.4,0.2,0.5
David Brooks,Bournemouth,0.2,0.2,0.3
Jack Hinshelwood,Brighton,1,0,1
Mohamed Elneny,Arsenal,0.2,0,0.2
Cédric Soares,Arsenal,0,0.5,0.5
Joe Whitworth,Crystal Palace,0,0,0
Morgan Sanson,Aston Villa,1,0,1
Ben Pearson,Bournemouth,1,0.3,1.3
Mateo Joseph,Leeds,0,0,0
Jamaal Lascelles,Newcastle,0.1,0,0.1
Bobby Clark,Liverpool,0,0,0
Malcolm Ebiowei,Crystal Palace,0.3,0.3,0.7
Jonjo Shelvey,Newcastle,0.3,0.3,0.7
Junior Stanislas,Bournemouth,0,0,0
Halil Dervisoglu,Brentford,0,1,1
Lewis Brunt,Leicester,0,0,0
Connor Ronan,Wolves,0,0,0
Conor Coventry,West Ham,0,0,0
