player_name,team_name,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Hugo Lloris,Tottenham,0,0,0,0,0,0,0
Leander Dendoncker,Wolves,0,0,0,0,0,0,0
Joe Aribo,Southampton,0,0,0,0,0,0,0
Ayoze Pérez,Leicester,0,0,0.1,0,0,0,0.1
Clément Lenglet,Tottenham,0,0,0,0,0,0,0.1
Levi Colwill,Brighton,0,0,0,0,0,0.1,0.1
Conor Gallagher,Chelsea,0,0,0,0,0,0,0
Renan Lodi,Nottingham Forest,0,0,0,0,0,0,0
Stefan Bajcetic,Liverpool,0,0,0,0,0,0,0
Kyle Walker,Manchester City,0,0,0,0,0,0,0
Daniel Amartey,Leicester,0,0,0,0,0,0,0
Tyrick Mitchell,Crystal Palace,0,0,0,0,0,0,0.1
Angelo Ogbonna,West Ham,0,0,0,0,0,0,0
Sam Amo-Ameyaw,Southampton,0,0,0,0,0,0,0
Keylor Navas,Nottingham Forest,0,0,0,0,0,0,0
José Sá,Wolves,0,0,0,0,0,0,0
Harvey Elliott,Liverpool,0,0,0,0,0,0,0.1
Marcos Senesi,Bournemouth,0,0,0,0,0,0,0
Adam Webster,Brighton,0,0,0,0,0,0,0
Manor Solomon,Fulham,0,0,0,0,0,0,0
Robin Koch,Leeds,0,0,0,0,0,0,0
Scott McTominay,Manchester United,0,0,0,0,0,0,0
Adama Traoré,Wolves,0,0,0,0,0,0,0
César Azpilicueta,Chelsea,0,0,0,0,0,0,0
Matías Viña,Bournemouth,0,0,0,0,0,0,0
Yoane Wissa,Brentford,0,0,0,0,0,0.1,0.1
Rayan Aït-Nouri,Wolves,0,0,0,0,0,0,0
Gianluca Scamacca,West Ham,0,0,0,0,0,0,0
Jack Stephens,Bournemouth,0,0,0,0,0,0,0
Cody Drameh,Leeds,0,0,0,0,0,0,0
Nathan Patterson,Everton,0,0,0,0,0,0,0
João Moutinho,Wolves,0,0,0,0,0,0,0.1
Taiwo Awoniyi,Nottingham Forest,0,0,0,0,0,0,0
Daniel Podence,Wolves,0,0,0,0,0,0,0
Joël Matip,Liverpool,0,0,0,0,0,0,0
Morgan Gibbs-White,Wolves,0,0,0,0,0,0,0
Thilo Kehrer,West Ham,0,0,0,0,0,0,0.1
Marc Roca,Leeds,0,0,0,0,0,0,0.1
Nélson Semedo,Wolves,0,0,0,0,0,0,0
Ainsley Maitland-Niles,Southampton,0,0,0,0,0,0,0
Harrison Reed,Fulham,0,0,0,0,0,0.1,0.1
Carlos Alcaraz,Southampton,0,0,0.1,0,0,0.1,0.1
Wilfred Ndidi,Leicester,0,0,0,0,0,0,0
Michail Antonio,West Ham,0,0,0,0,0,0.1,0.1
Matthew Craig,Tottenham,0,0,0,0,0,0,0
Boubakary Soumaré,Leicester,0,0,0,0,0,0,0
Jordan Zemura,Bournemouth,0,0,0,0,0,0.1,0.1
Brennan Johnson,Nottingham Forest,0,0,0,0,0,0.1,0.1
Mohamed Elyounoussi,Southampton,0,0,0,0,0,0,0
Jonny Evans,Leicester,0,0,0,0,0,0,0
David Datro Fofana,Chelsea,0,0,0,0,0,0,0
Nathan Collins,Wolves,0,0,0,0,0,0,0
Tetê,Leicester,0,0,0,0,0,0,0
Fred,Manchester United,0,0,0.1,0,0,0,0.1
Moussa Niakhaté,Nottingham Forest,0,0,0,0,0,0,0
Abdoulaye Doucouré,Everton,0,0,0,0,0,0.1,0.1
Kostas Tsimikas,Liverpool,0.1,0.1,0,0,0,0.1,0.2
Mateo Kovacic,Chelsea,0,0,0.1,0,0,0,0.1
Wilfried Gnonto,Leeds,0.1,0,0,0,0,0,0.2
Orel Mangala,Nottingham Forest,0,0,0,0,0,0,0
Fraser Forster,Tottenham,0,0,0,0,0,0,0
Lyanco,Southampton,0,0,0,0,0,0,0
Davinson Sánchez,Tottenham,0,0,0,0,0,0,0
Kelechi Iheanacho,Leicester,0,0,0,0,0,0.2,0.2
Trevoh Chalobah,Chelsea,0,0,0,0,0,0,0
Diego Llorente,Leeds,0,0,0,0,0,0,0
Bobby De Cordova-Reid,Fulham,0,0,0,0,0,0,0
Romain Perraud,Southampton,0,0,0,0,0,0,0.1
Danny Ward,Leicester,0,0,0,0,0,0,0
Richarlison,Tottenham,0,0,0,0,0,0.1,0.1
Crysencio Summerville,Leeds,0,0,0,0,0,0,0.1
Ryan Yates,Nottingham Forest,0,0,0,0,0,0.1,0.1
Marc Albrighton,Leicester,0,0,0,0,0,0,0
Mario Lemina,Wolves,0,0,0,0,0,0.1,0.1
Moussa Djenepo,Southampton,0,0,0,0,0,0.1,0.1
Adam Lallana,Brighton,0.1,0,0,0,0,0,0.1
Aaron Hickey,Brentford,0,0,0,0,0,0,0
Hakim Ziyech,Chelsea,0.1,0,0,0.1,0,0.1,0.2
Patson Daka,Leicester,0,0,0,0,0,0.1,0.1
Jonny Otto,Wolves,0,0,0,0,0,0,0
Kevin Schade,Brentford,0,0,0,0,0,0.1,0.1
Conor Coady,Everton,0,0,0,0,0,0,0
Tino Livramento,Southampton,0,0,0,0,0,0,0
Josh Dasilva,Brentford,0,0,0,0,0,0,0.1
Joe Rothwell,Bournemouth,0.1,0.1,0,0,0,0,0.1
Daniel James,Leeds,0,0,0,0,0,0,0
Victor Kristiansen,Leicester,0.1,0,0,0,0,0,0.1
Ederson,Manchester City,0,0,0,0,0,0,0
Paul Onuachu,Southampton,0,0,0,0,0,0,0
Jacob Murphy,Newcastle,0,0,0,0,0,0.1,0.1
Eddie Nketiah,Arsenal,0,0,0,0,0,0,0
Gavin Bazunu,Southampton,0,0,0,0,0,0,0
Hugo Bueno,Wolves,0,0,0,0,0,0,0
Craig Dawson,West Ham,0,0,0,0,0,0,0
Emmanuel Dennis,Nottingham Forest,0,0,0,0,0,0.1,0.1
Harry Wilson,Fulham,0,0,0,0,0,0,0.1
Mads Roerslev,Brentford,0,0,0,0,0,0,0
James Garner,Everton,0,0,0,0,0,0.1,0.1
Odsonne Édouard,Crystal Palace,0,0,0,0,0,0.1,0.1
Luke Thomas,Leicester,0,0,0,0,0,0,0
Bryan Gil,Tottenham,0,0,0,0,0,0.3,0.3
Wayne Hennessey,Nottingham Forest,0,0,0,0,0,0,0
Albert Sambi Lokonga,Crystal Palace,0,0,0,0,0,0,0
Illan Meslier,Leeds,0,0,0,0,0,0,0
Robert Sánchez,Brighton,0,0,0,0,0,0,0
Weston McKennie,Leeds,0,0,0,0,0.1,0,0.1
Joel Robles,Leeds,0,0,0,0,0,0,0
Oliver Skipp,Tottenham,0,0,0,0,0,0,0
Emerson,West Ham,0,0,0,0,0,0,0
Junior Firpo,Leeds,0,0,0,0,0,0.1,0.1
Brenden Aaronson,Leeds,0,0,0,0,0,0.1,0.1
Lewis Cook,Bournemouth,0,0,0,0,0,0,0.1
Enock Mwepu,Brighton,0,0,0,0,0,0.2,0.2
Neeskens Kebano,Fulham,0.1,0,0,0,0,0.1,0.2
Kristoffer Ajer,Brentford,0,0,0,0,0,0,0
Pablo Fornals,West Ham,0,0,0,0,0,0,0
Lucas Digne,Aston Villa,0,0,0,0,0,0,0
Chris Richards,Crystal Palace,0,0,0,0,0,0,0
Ryan Sessegnon,Tottenham,0,0,0,0,0,0,0
Juan Larios,Southampton,0,0,0,0,0,0,0
Nathaniel Phillips,Liverpool,0,0,0,0,0,0,0
Cristiano Ronaldo,Manchester United,0,0,0,0,0,0,0
Frank Onyeka,Brentford,0,0,0,0,0,0.1,0.1
Denis Zakaria,Chelsea,0,0,0,0,0,0,0
Scott McKenna,Nottingham Forest,0,0,0,0,0,0,0
Ben Johnson,West Ham,0,0,0,0,0,0,0
Matt Targett,Newcastle,0,0,0,0,0,0,0
Cheikhou Kouyaté,Nottingham Forest,0,0,0,0,0,0,0
James Bree,Southampton,0,0,0,0,0,0,0
Gonçalo Guedes,Wolves,0,0,0,0,0,0.1,0.1
Remo Freuler,Nottingham Forest,0,0,0,0,0,0,0
Pedro Neto,Wolves,0,0,0,0,0,0,0
Pablo Sarabia,Wolves,0,0,0,0,0,0,0
Theo Walcott,Southampton,0,0,0.1,0,0,0.1,0.1
Wout Weghorst,Manchester United,0,0,0,0,0,0.1,0.1
