player_name,team_name,CaughtOffside
Elliot Anderson,Newcastle,0
Sam Greenwood,Leeds,0
Daniel Iversen,Leicester,0
Nathaniel Clyne,Crystal Palace,0
Chris Wood,Newcastle,0.2
Armando Broja,Chelsea,0.3
Yves Bissouma,Tottenham,0
Harry Toffolo,Nottingham Forest,0
Darko Gyabi,Leeds,0
Facundo Buonanotte,Brighton,0.2
Albert Sambi Lokonga,Arsenal,0
Jack Colback,Nottingham Forest,0
Oriol Romeu,Southampton,0
Sékou Mara,Southampton,0.1
Adam Armstrong,Southampton,0.1
Daniel James,Fulham,0.1
Christian Pulisic,Chelsea,0
Will Hughes,Crystal Palace,0
Kalvin Phillips,Manchester City,0
Siriki Dembélé,Bournemouth,0
Adam Forshaw,Leeds,0
Anthony Elanga,Manchester United,0.2
Jan Paul van Hecke,Brighton,0
Carney Chukwuemeka,Chelsea,0.1
Kieran Tierney,Arsenal,0
Anthony Gordon,Newcastle,0.1
Boubacar Traoré,Wolves,0
Georginio Rutter,Leeds,0.1
Keane Lewis-Potter,Brentford,0.1
Diego Costa,Wolves,0.7
Sergio Gómez,Manchester City,0
Ryan Fraser,Newcastle,0.1
Kevin Mbabu,Fulham,0
Arnaut Danjuma,Tottenham,0.1
Illia Zabarnyi,Bournemouth,0
Shandon Baptiste,Brentford,0
Marek Rodák,Fulham,0
Sasa Kalajdzic,Wolves,0
Giulian Biancone,Nottingham Forest,0
Ibrahima Diallo,Southampton,0
Tariq Lamptey,Brighton,0
Neal Maupay,Everton,0
Rúben Vinagre,Everton,0
Gustavo Scarpa,Nottingham Forest,0
Dennis Praet,Leicester,0
Javier Manquillo,Newcastle,0
Luka Milivojevic,Crystal Palace,0
Donny van de Beek,Manchester United,0.1
Facundo Pellistri,Manchester United,0
Emile Smith Rowe,Arsenal,0.1
Thomas Cannon,Everton,0
Antoine Semenyo,Bournemouth,0.1
Japhet Tanganga,Tottenham,0
Sasa Lukic,Fulham,0
Pape Sarr,Tottenham,0
Jean-Philippe Mateta,Crystal Palace,0.3
Joe Gelhardt,Leeds,0
Yasin Ayari,Brighton,0
Jesse Lingard,Nottingham Forest,0.1
Jack Stephens,Southampton,0
Ellis Simms,Everton,0.1
Divin Mubama,West Ham,0
Jonjo Shelvey,Nottingham Forest,0
Naby Keïta,Liverpool,0
Manuel Lanzini,West Ham,0.2
Flynn Downes,West Ham,0
James Tomkins,Crystal Palace,0.2
James McArthur,Crystal Palace,0
Harvey White,Tottenham,0
Ryan Fredericks,Bournemouth,0
Saman Ghoddos,Brentford,0
Mateusz Klich,Leeds,0
Matt Ritchie,Newcastle,0
Tom Davies,Everton,0.1
Pierre-Emerick Aubameyang,Chelsea,0
Mislav Orsic,Southampton,1
Omari Hutchinson,Chelsea,0
Sergi Canós,Brentford,0
Salomón Rondón,Everton,0.3
Calum Chambers,Aston Villa,0
Kobbie Mainoo,Manchester United,0
Jairo Riedewald,Crystal Palace,0
Chem Campbell,Wolves,0
Cafú,Nottingham Forest,0
Diego Carlos,Aston Villa,0
Ben Doak,Liverpool,0
Mads Bech,Brentford,0
Jay Stansfield,Fulham,0
Jhon Durán,Aston Villa,0.3
Maxwel Cornet,West Ham,0.6
Lucas Moura,Tottenham,0
Sam Surridge,Nottingham Forest,0.2
