Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots,Positions_1,Positions_2,Positions_3,Positions_4,Positions_5
Rodrigo,Leeds,33,"CM, LM, RM, FW",23(8),1945,13,1,6,0,2.2,72.5,1.1,1,6.68,0.8,0.2,0.9,0.0,0.7,0.4,0.1,0,2.2,0.5,0.4,0.4,0.3,0.8,1.8,16.7,0.2,0.7,0.0,8.34,4.66,0.39,67.0,0.12,CM, LM, RM, FW,
Reiss Nelson,Arsenal,24,"LM, RM",0(11),204,3,2,0,0,1.1,90.7,0.2,1,6.68,0.4,0.0,0.7,0.0,0.4,0.2,0.0,0,1.1,0.8,0.6,0.4,0.0,0.8,0.3,9.8,0.3,0.2,0.0,1.58,1.42,0.7,12.0,0.13,LM, RM,,,
Lukasz Fabianski,West Ham,39,GK,36,3114,0,0,1,0,0.0,58.1,0.5,0,6.68,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,21.5,0.0,5.8,0.0,,,,,,GK,,,,
Nayef Aguerd,West Ham,28,CB,17(1),1596,2,0,4,0,0.7,78.9,1.8,0,6.67,1.5,1.0,0.4,0.6,4.3,0.4,1.3,0,0.7,0.3,0.2,0.4,0.1,0.4,0.4,42.2,0.0,3.6,0.0,2.71,-0.71,0.15,12.0,0.23,CB,,,,
Curtis Jones,Liverpool,23,"CAM, LAM",12(6),1040,3,1,2,0,0.8,91.2,0.2,1,6.67,1.9,0.2,0.7,0.0,0.5,0.7,0.1,0,0.8,0.8,0.6,0.9,0.1,1.6,1.2,36.6,0.1,0.8,0.2,1.33,1.67,0.12,15.0,0.09,CAM, LAM,,,
Evan Ferguson,Brighton,19,FW,10(9),952,6,2,1,0,1.9,81.1,0.5,0,6.67,0.3,0.1,0.5,0.0,0.3,0.3,0.1,0,1.9,0.6,0.4,0.6,0.3,1.1,1.5,11.7,0.0,0.1,0.1,5.65,0.35,0.53,36.0,0.16,FW,,,,
David de Gea,Manchester United,33,GK,38,3420,0,0,0,0,0.0,68.3,0.1,1,6.67,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,28.5,0.0,4.9,0.0,,,,,,GK,,,,
Jan Bednarek,Southampton,28,CB,20,1674,0,0,5,0,0.4,84.2,2.1,0,6.67,1.4,2.5,0.8,0.4,4.4,0.2,1.4,1,0.4,0.2,0.1,0.4,0.0,0.1,0.1,44.4,0.0,2.5,0.0,0.3,-0.3,0.02,8.0,0.04,CB,,,,
Jan Bednarek,Aston Villa,28,CB,1(2),96,0,0,0,0,0.0,90.9,0.0,0,6.32,1.4,2.5,0.8,0.4,4.4,0.2,1.4,1,0.4,0.2,0.1,0.4,0.0,0.1,0.1,44.4,0.0,2.5,0.0,0.3,-0.3,0.02,8.0,0.04,CB,,,,
Pascal Struijk,Leeds,24,"CB, LB, CDM",26(3),2205,2,1,5,0,0.6,79.5,2.1,0,6.66,2.9,1.1,1.0,0.3,2.2,0.9,0.4,0,0.6,0.5,0.3,0.4,0.0,0.4,0.9,37.0,0.2,0.9,0.0,1.41,0.59,0.06,16.0,0.09,CB, LB, CDM,,
Eric Dier,Tottenham,30,"CB, RB, CDM",31(2),2817,2,1,3,0,0.5,85.9,2.4,1,6.66,0.9,1.1,0.8,0.2,3.3,0.3,0.7,0,0.5,0.2,0.1,0.3,0.0,0.1,0.3,59.9,0.1,3.6,0.0,1.31,0.69,0.04,17.0,0.08,CB, RB, CDM,,
Tim Ream,Fulham,36,"CB, LB, CDM",33,2899,1,0,2,0,0.1,87.0,1.5,1,6.66,0.9,1.2,0.5,0.7,3.4,0.4,0.7,0,0.1,0.1,0.4,0.2,0.0,0.2,0.5,57.6,0.0,4.2,0.0,0.42,0.58,0.01,3.0,0.14,CB, LB, CDM,,
Issa Diop,Fulham,27,CB,21(4),2009,1,0,2,0,0.1,87.1,1.3,0,6.66,1.1,1.4,0.6,0.6,3.4,0.6,0.7,0,0.1,0.1,0.2,0.3,0.1,0.0,0.4,55.8,0.0,2.4,0.0,0.2,0.8,0.01,3.0,0.07,CB,,,,
Jeffrey Schlupp,Crystal Palace,31,"LB, CM, LM, RM",30(4),2546,3,1,7,0,0.8,75.5,0.8,1,6.66,1.9,0.7,1.5,0.0,1.0,0.6,0.2,0,0.8,0.5,0.9,1.0,0.0,1.0,1.0,25.1,0.0,0.8,0.0,3.66,-0.66,0.13,28.0,0.13,LB, CM, LM, RM,
Harvey Barnes,Leicester,26,"CAM, LAM",32(2),2720,13,1,3,0,2.1,73.5,0.9,0,6.66,0.8,0.2,1.1,0.0,0.3,0.8,0.0,0,2.1,0.6,0.8,1.1,0.3,1.2,2.2,21.4,0.2,0.3,0.1,9.11,3.89,0.3,72.0,0.13,CAM, LAM,,,
Wout Faes,Leicester,26,"CB, LB",31,2787,1,2,4,1,0.4,85.8,1.9,0,6.66,1.8,1.3,0.7,0.6,3.6,0.5,1.2,2,0.4,0.3,0.3,0.5,0.0,0.2,0.5,59.4,0.0,2.5,0.0,1.19,-0.19,0.04,13.0,0.09,CB, LB,,,
Idrissa Gueye,Everton,34,CM,32(1),2594,0,1,7,0,0.5,84.5,0.8,0,6.65,2.9,1.7,1.3,0.0,0.9,0.9,0.4,0,0.5,0.4,0.6,1.5,0.0,0.5,0.9,36.6,0.0,1.1,0.0,0.65,-0.65,0.02,15.0,0.04,CM,,,,
Jefferson Lerma,Bournemouth,29,"CB, RB, CDM",37,3256,5,0,7,0,0.9,82.2,1.7,1,6.65,1.4,1.3,1.0,0.1,2.4,0.7,0.4,1,0.9,0.5,0.4,0.9,0.1,0.5,0.6,42.9,0.1,1.2,0.1,3.23,1.77,0.09,35.0,0.09,CB, RB, CDM,,
Marc Cucurella,Chelsea,25,"CB, LB, LM",21(3),1679,0,2,4,0,0.3,86.4,0.7,0,6.65,2.8,0.7,0.7,0.1,1.5,1.3,0.3,0,0.3,0.5,0.2,0.9,0.0,0.3,0.6,45.4,0.5,1.3,0.0,0.33,-0.33,0.02,7.0,0.05,CB, LB, LM,,
Jorginho,Chelsea,32,CDM,15(3),1282,2,0,4,0,0.3,85.2,0.4,0,6.65,2.3,1.2,0.7,0.1,0.3,1.3,0.2,0,0.3,0.4,0.3,1.3,0.0,0.5,0.8,48.8,0.0,2.1,0.0,1.67,0.33,0.12,5.0,0.33,CDM,,,,
Jorginho,Arsenal,32,CDM,9(5),855,0,1,0,0,0.4,87.6,0.7,0,6.6,2.3,1.2,0.7,0.1,0.3,1.3,0.2,0,0.3,0.4,0.3,1.3,0.0,0.5,0.8,48.8,0.0,2.1,0.0,1.67,0.33,0.12,5.0,0.33,CDM,,,,
Joel Ward,Crystal Palace,34,"CB, LB, RB, CDM, RM",24(4),2256,1,0,6,0,0.3,75.4,2.1,0,6.65,1.8,0.9,1.0,0.3,2.8,0.4,0.6,0,0.3,0.3,0.3,0.4,0.0,0.4,0.9,35.8,0.3,1.3,0.0,1.09,-0.09,0.04,8.0,0.14,CB, LB, RB, CDM, RM
Raphaël Varane,Manchester United,31,CB,22(2),1917,0,0,1,0,0.3,86.5,1.8,0,6.64,1.0,0.5,0.5,0.3,3.7,0.4,0.7,1,0.3,0.2,0.3,0.1,0.1,0.0,0.1,45.8,0.0,2.3,0.0,0.86,-0.86,0.04,8.0,0.11,CB,,,,
Rico Henry,Brentford,26,"LB, LM",37,3244,0,2,4,0,0.6,75.0,1.1,0,6.64,1.5,0.8,0.9,0.2,1.9,0.5,0.2,0,0.6,0.6,0.7,1.0,0.1,1.2,1.4,26.3,0.6,1.1,0.1,1.92,-1.92,0.05,22.0,0.09,LB, LM,,,
Marcel Sabitzer,Manchester United,30,"CM, LM, RM, FW",7(4),628,0,1,1,0,1.0,79.1,1.2,0,6.64,1.1,0.7,0.7,0.0,1.0,0.8,0.2,0,1.0,0.9,0.1,0.9,0.1,0.5,0.8,26.9,0.1,0.8,0.2,0.74,-0.74,0.11,11.0,0.07,CM, LM, RM, FW,
Sean Longstaff,Newcastle,26,CDM,28(5),2517,1,4,2,0,1.0,82.8,0.7,0,6.64,1.3,0.5,0.9,0.0,0.7,1.0,0.2,0,1.0,0.7,0.2,1.2,0.2,0.9,1.1,34.1,0.2,1.4,0.1,4.37,-3.37,0.16,33.0,0.13,CDM,,,,
Tyrell Malacia,Manchester United,24,LB,14(8),1395,0,0,6,0,0.2,87.4,0.4,0,6.64,2.1,1.1,1.8,0.1,2.0,0.5,0.1,0,0.2,0.4,0.3,0.6,0.1,0.4,0.8,30.4,0.1,0.9,0.0,0.16,-0.16,0.01,5.0,0.03,LB,,,,
Vladimír Coufal,West Ham,31,"RB, RM",24(3),2139,0,1,5,0,0.2,65.8,1.5,0,6.64,2.1,1.4,1.1,0.1,2.3,0.6,0.2,0,0.2,1.0,0.1,0.8,0.0,0.8,0.9,30.0,0.7,1.5,0.0,0.26,-0.26,0.01,6.0,0.04,RB, RM,,,
Harry Souttar,Leicester,25,CB,11(1),991,0,1,2,0,0.7,81.4,3.2,0,6.64,1.3,1.0,0.4,0.3,3.8,0.9,1.0,1,0.7,0.3,0.3,0.4,0.1,0.0,0.3,45.7,0.0,1.8,0.0,1.39,-1.39,0.13,8.0,0.17,CB,,,,
Maximilian Wöber,Leeds,26,"CB, LB",14(2),1264,0,0,3,0,0.6,71.3,1.7,0,6.63,1.6,1.7,0.9,0.4,4.0,0.5,0.9,0,0.6,0.4,0.0,0.1,0.1,0.1,0.4,40.3,0.1,2.6,0.0,0.55,-0.55,0.04,9.0,0.06,CB, LB,,,
Vitaly Janelt,Brentford,25,"LB, CDM",24(11),2212,3,1,3,0,0.4,80.9,0.9,2,6.63,1.5,0.8,0.6,0.1,0.7,0.8,0.3,0,0.4,0.5,0.3,0.6,0.1,0.3,0.5,27.9,0.2,1.9,0.0,2.11,0.89,0.09,14.0,0.15,LB, CDM,,,
Ben Davies,Tottenham,31,"CB, LB, LM",26(5),2290,2,2,4,0,0.5,83.2,2.3,0,6.63,0.9,0.6,1.0,0.2,2.2,0.4,0.3,0,0.5,0.6,0.2,0.5,0.0,0.2,0.4,38.1,0.3,1.5,0.0,0.89,1.11,0.03,14.0,0.06,CB, LB, LM,,
Maximilian Kilman,Wolves,26,CB,37,3308,0,0,3,0,0.4,83.4,2.3,1,6.63,1.0,0.5,0.5,0.5,4.4,0.4,1.1,0,0.4,0.1,0.5,0.3,0.0,0.2,0.4,56.5,0.1,3.4,0.0,1.35,-1.35,0.04,14.0,0.1,CB,,,,
Matheus Cunha,Wolves,24,"CAM, LAM, FW",12(5),972,2,0,1,0,1.5,75.7,0.4,1,6.63,0.4,0.5,1.2,0.0,0.5,0.5,0.2,0,1.5,0.4,1.5,1.2,0.2,0.8,1.8,13.1,0.0,0.4,0.0,1.58,0.42,0.15,26.0,0.06,CAM, LAM, FW,,
Aaron Ramsdale,Arsenal,25,GK,38,3420,0,0,1,0,0.0,63.4,0.2,1,6.63,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,24.6,0.0,3.6,0.0,,,,,,GK,,,,
Duje Caleta-Car,Southampton,27,CB,9(4),945,1,0,2,0,0.4,85.2,1.5,0,6.63,1.1,1.2,0.7,0.2,5.0,0.2,0.8,0,0.4,0.1,0.2,0.1,0.0,0.2,0.1,43.2,0.0,3.0,0.0,0.76,0.24,0.07,5.0,0.15,CB,,,,
João Félix,Chelsea,24,"CAM, LAM, FW",11(5),944,4,0,1,1,2.9,80.9,0.2,1,6.63,0.9,0.1,0.9,0.0,0.1,0.5,0.0,0,2.9,0.4,1.4,1.8,0.4,0.5,1.4,20.6,0.2,0.9,0.0,4.77,-0.77,0.46,46.0,0.1,CAM, LAM, FW,,
Rasmus Kristensen,Leeds,26,"CB, RB, RM",21(5),1962,3,1,4,0,0.5,69.3,1.3,0,6.63,2.4,1.3,0.7,0.2,2.1,1.3,0.5,0,0.5,0.3,0.3,0.2,0.0,0.2,0.2,32.0,0.2,1.2,0.0,0.74,2.26,0.03,13.0,0.06,CB, RB, RM,,
Demarai Gray,Everton,27,"CAM, LAM, RAM, FW",27(6),2512,4,1,3,0,1.8,81.3,0.4,1,6.62,1.0,0.4,0.7,0.0,0.5,0.4,0.1,0,1.8,1.1,1.1,1.5,0.4,2.0,2.6,19.9,1.1,0.8,0.0,6.76,-2.76,0.24,59.0,0.11,CAM, LAM, RAM, FW,
Dominic Calvert-Lewin,Everton,27,"LAM, FW",15(2),1176,2,1,3,0,1.8,60.9,3.9,0,6.62,0.2,0.2,1.3,0.0,1.1,0.2,0.1,0,1.8,0.5,0.9,0.8,1.1,0.7,2.4,12.6,0.0,0.3,0.0,6.01,-4.01,0.46,31.0,0.19,LAM, FW,,,
Kamaldeen Sulemana,Southampton,22,"LAM, FW",10(8),968,2,1,1,0,1.3,76.2,0.3,1,6.62,0.8,0.3,0.5,0.0,0.2,0.6,0.0,0,1.3,0.8,2.0,0.7,0.1,0.9,1.9,13.6,0.1,0.6,0.0,1.68,0.32,0.16,24.0,0.07,LAM, FW,,,
Lewis Dunk,Brighton,32,CB,36,3240,1,0,4,0,0.6,90.4,1.9,0,6.62,0.8,0.9,0.5,0.4,2.3,0.6,0.8,1,0.6,0.3,0.1,0.8,0.0,0.1,0.4,89.1,0.0,4.8,0.0,2.11,-1.11,0.06,22.0,0.1,CB,,,,
Toti Gomes,Wolves,25,"CB, LB",10(7),981,1,0,6,0,0.3,83.3,1.0,1,6.62,0.9,0.6,0.9,0.2,2.6,0.2,0.5,0,0.3,0.2,0.5,0.3,0.1,0.2,0.4,29.2,0.2,1.1,0.0,0.17,0.83,0.02,5.0,0.03,CB, LB,,,
Liam Cooper,Leeds,32,CB,16(2),1427,1,0,5,0,0.6,78.7,3.1,0,6.62,2.1,1.9,0.7,0.7,3.1,0.7,0.4,0,0.6,0.3,0.1,0.6,0.0,0.1,0.5,43.6,0.1,2.1,0.0,1.21,-0.21,0.08,10.0,0.12,CB,,,,
Craig Dawson,Wolves,33,"CB, RB",17,1417,1,0,4,0,0.6,84.3,2.0,0,6.62,0.5,0.7,0.6,0.3,4.3,0.2,1.4,0,0.6,0.1,0.2,0.6,0.0,0.1,0.3,54.1,0.0,4.0,0.0,1.1,-0.1,0.07,11.0,0.1,CB, RB,,,
Craig Dawson,West Ham,33,"CB, RB",8,720,0,0,2,0,0.8,80.0,1.8,0,6.44,0.5,0.7,0.6,0.3,4.3,0.2,1.4,0,0.6,0.1,0.2,0.6,0.0,0.1,0.3,54.1,0.0,4.0,0.0,1.1,-0.1,0.07,11.0,0.1,CB, RB,,,
Ben Chilwell,Chelsea,27,"LB, LM",15(8),1408,2,2,3,0,0.7,83.3,1.1,0,6.62,0.9,0.8,0.6,0.2,1.0,0.5,0.1,0,0.7,0.9,0.3,1.0,0.1,0.8,1.1,33.0,1.0,0.7,0.0,1.46,0.54,0.09,16.0,0.09,LB, LM,,,
Robin Olsen,Aston Villa,34,GK,2(2),280,0,0,0,0,0.0,52.3,0.0,0,6.61,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,27.8,0.0,4.8,0.0,,,,,,GK,,,,
Leon Bailey,Aston Villa,26,"CM, LM, RM, FW",26(7),1984,4,4,4,0,1.5,69.2,0.7,3,6.61,0.4,0.2,0.9,0.0,0.3,0.5,0.0,0,1.5,0.9,1.2,0.7,0.3,1.6,1.5,13.4,0.7,0.6,0.1,5.11,-1.11,0.23,51.0,0.1,CM, LM, RM, FW,
Willy-Arnaud Boly,Nottingham Forest,33,CB,9(2),687,0,1,2,0,0.2,75.1,1.4,1,6.61,1.2,1.1,0.5,0.5,4.1,0.5,0.4,0,0.2,0.1,0.1,0.5,0.3,0.0,0.2,23.4,0.0,1.2,0.0,0.05,-0.05,0.01,2.0,0.02,CB,,,,
Anthony Gordon,Everton,23,"CAM, LAM, RAM, FW",12(4),1097,3,0,6,0,1.6,75.1,0.6,2,6.61,2.1,0.3,1.3,0.0,0.6,1.0,0.0,0,1.6,0.5,0.7,0.9,0.2,1.4,2.0,15.8,0.2,0.4,0.1,3.31,-0.31,0.27,26.0,0.13,CAM, LAM, RAM, FW,
Anthony Gordon,Newcastle,23,"CAM, LAM, RAM, FW",4(12),482,1,0,1,0,0.5,85.9,0.0,0,6.25,2.1,0.3,1.3,0.0,0.6,1.0,0.0,0,1.6,0.5,0.7,0.9,0.2,1.4,2.0,15.8,0.2,0.4,0.1,3.31,-0.31,0.27,26.0,0.13,CAM, LAM, RAM, FW,
Aaron Cresswell,West Ham,34,"CB, LB, LM",24(4),2237,0,1,3,0,0.3,81.4,1.0,0,6.61,0.8,1.0,0.3,0.0,1.9,0.7,0.4,0,0.3,1.4,0.1,0.3,0.1,0.2,0.2,40.0,1.5,2.3,0.0,0.35,-0.35,0.01,9.0,0.04,CB, LB, LM,,
Matheus Nunes,Wolves,25,"CM, LM, RM",31(4),2480,1,1,2,1,0.8,82.3,0.6,2,6.6,1.9,0.5,1.1,0.0,0.9,0.9,0.1,0,0.8,0.8,1.3,1.4,0.1,1.1,1.2,27.8,0.3,2.3,0.0,2.36,-1.36,0.09,28.0,0.08,CM, LM, RM,,
Jakub Kiwior,Arsenal,24,"CB, LB, CDM",5(2),427,1,0,0,0,0.1,86.2,1.1,0,6.6,1.0,0.9,0.1,0.0,1.4,0.4,0.4,0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,28.0,0.0,0.1,0.0,0.09,0.91,0.02,1.0,0.09,CB, LB, CDM,,
Neco Williams,Nottingham Forest,23,"LB, RB, LM, RM",20(11),1877,1,0,7,0,0.8,66.8,0.5,1,6.6,2.3,1.1,1.1,0.1,1.2,1.1,0.3,0,0.8,0.5,0.6,0.9,0.1,0.5,1.0,19.5,0.6,1.3,0.0,1.37,-0.37,0.07,25.0,0.05,LB, RB, LM, RM,
Ché Adams,Southampton,27,"CAM, LAM, FW",23(5),1998,5,3,1,0,1.7,67.6,2.2,1,6.6,0.6,0.1,1.4,0.1,0.8,0.2,0.1,0,1.7,0.9,0.6,1.0,0.5,1.0,2.4,17.2,0.1,0.8,0.1,7.41,-2.41,0.33,47.0,0.16,CAM, LAM, FW,,
Lloyd Kelly,Bournemouth,25,"CB, LB",23,2041,0,2,3,0,0.1,81.4,1.6,2,6.59,1.4,1.1,0.7,0.6,4.3,0.3,0.7,0,0.1,0.3,0.0,0.2,0.0,0.2,0.7,45.1,0.1,2.7,0.1,0.17,-0.17,0.01,3.0,0.06,CB, LB,,,
Joël Veltman,Brighton,32,"CB, RB, RM",25(6),2196,1,1,6,0,0.5,85.2,0.8,0,6.59,2.0,0.6,0.9,0.3,1.6,0.6,0.3,0,0.5,0.3,0.2,1.2,0.0,0.3,0.6,41.8,0.2,1.5,0.0,1.1,-0.1,0.04,15.0,0.07,CB, RB, RM,,
Anthony Martial,Manchester United,28,"LAM, RAM, FW",11(10),980,6,2,0,0,1.3,81.6,0.5,0,6.59,0.2,0.0,0.4,0.0,0.2,0.1,0.1,0,1.3,0.6,0.7,0.7,0.3,1.0,1.6,15.2,0.0,0.2,0.1,6.76,-0.76,0.62,27.0,0.25,LAM, RAM, FW,,
Manuel Akanji,Manchester City,28,"CB, LB, RB, CDM",24(5),2287,0,1,2,0,0.5,93.3,0.8,0,6.59,1.2,0.6,0.8,0.6,1.0,0.4,0.3,0,0.5,0.2,0.2,0.4,0.0,0.1,0.4,69.7,0.0,2.3,0.0,1.28,-1.28,0.05,15.0,0.09,CB, LB, RB, CDM,
Harry Maguire,Manchester United,31,CB,8(8),762,0,0,4,0,0.2,85.4,1.6,0,6.59,0.5,0.8,0.5,0.1,2.6,0.1,0.7,0,0.2,0.1,0.1,0.3,0.0,0.0,0.1,35.9,0.0,2.3,0.0,0.18,-0.18,0.02,3.0,0.06,CB,,,,
Dan Bentley,Wolves,30,GK,2,180,0,0,0,0,0.0,72.7,0.0,0,6.59,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,33.0,0.0,7.0,0.0,,,,,,GK,,,,
Vitalii Mykolenko,Everton,24,"CB, LB, LM",30(4),2657,0,0,4,0,0.3,75.6,0.8,0,6.58,1.7,1.4,0.9,0.2,2.6,0.7,0.5,0,0.3,0.6,0.3,0.6,0.0,0.2,0.9,29.4,0.4,1.1,0.0,0.46,-0.46,0.02,10.0,0.05,CB, LB, LM,,
Kyle Walker-Peters,Southampton,27,"LB, RB, RM",30(1),2653,1,0,4,0,0.4,78.9,0.5,1,6.58,2.0,0.9,0.8,0.1,1.3,0.7,0.3,0,0.4,0.5,1.6,1.3,0.0,1.4,1.3,32.7,0.4,0.8,0.0,0.86,0.14,0.03,13.0,0.07,LB, RB, RM,,
Chris Mepham,Bournemouth,26,CB,24(2),2198,0,0,7,0,0.3,83.7,2.0,0,6.58,1.7,1.2,0.6,0.5,5.6,0.4,1.0,2,0.3,0.2,0.1,0.3,0.0,0.1,0.2,39.3,0.0,1.8,0.0,0.43,-0.43,0.02,8.0,0.05,CB,,,,
Caoimhín Kelleher,Liverpool,25,GK,1,90,0,0,0,0,0.0,94.1,0.0,0,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,,,,,,GK,,,,
Luis Sinisterra,Leeds,24,"LAM, RAM, FW",13(6),875,5,0,1,1,1.5,81.5,0.9,1,6.58,1.1,0.4,0.7,0.1,0.1,0.4,0.1,0,1.5,0.5,1.0,0.6,0.3,1.2,0.8,17.3,0.1,0.5,0.1,3.31,1.69,0.34,28.0,0.12,LAM, RAM, FW,,
Joe Worrall,Nottingham Forest,27,CB,21(9),2217,1,0,6,0,0.2,78.5,1.8,0,6.58,1.8,0.9,0.9,0.3,3.6,0.3,0.8,0,0.2,0.2,0.1,0.1,0.0,0.1,0.2,36.5,0.0,2.8,0.0,0.69,0.31,0.03,7.0,0.1,CB,,,,
Ashley Young,Aston Villa,38,"LB, RB, LM, RM",23(6),2039,1,0,7,0,0.5,77.5,0.5,0,6.58,1.7,0.7,0.8,0.4,2.1,0.4,0.4,0,0.5,0.5,0.3,1.0,0.0,0.2,0.6,33.3,0.3,1.9,0.1,0.42,0.58,0.02,15.0,0.03,LB, RB, LM, RM,
Pontus Jansson,Brentford,33,CB,9(3),725,1,0,0,0,0.3,80.0,2.0,0,6.57,0.4,0.8,0.2,0.3,3.2,0.2,0.8,0,0.3,0.0,0.2,0.1,0.1,0.1,0.2,26.3,0.0,1.2,0.1,0.3,0.7,0.04,4.0,0.08,CB,,,,
Ezri Konsa,Aston Villa,26,"CB, RB",37(1),3323,0,0,6,0,0.2,88.9,1.5,0,6.57,1.1,0.7,0.3,1.0,3.0,0.2,0.6,0,0.2,0.2,0.1,1.7,0.0,0.1,0.4,49.3,0.1,1.5,0.0,0.85,-0.85,0.02,8.0,0.11,CB, RB,,,
Dean Henderson,Nottingham Forest,27,GK,18,1620,0,0,2,0,0.0,56.8,0.1,2,6.57,0.0,0.0,0.1,0.0,1.1,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,31.2,0.0,6.4,0.0,,,,,,GK,,,,
Jordan Henderson,Liverpool,33,"CB, CM, LM, RM",23(12),2075,0,2,2,0,0.7,84.9,0.3,0,6.57,0.9,0.6,0.5,0.0,0.3,0.6,0.1,0,0.7,0.9,0.3,0.3,0.1,0.3,0.5,44.1,0.4,2.3,0.1,0.96,-0.96,0.04,23.0,0.04,CB, CM, LM, RM,
Danny Ings,Aston Villa,31,"CAM, FW",8(10),819,6,0,3,0,1.5,72.2,0.9,1,6.57,0.6,0.1,0.4,0.0,0.6,0.3,0.1,0,1.5,0.5,0.6,0.3,0.5,0.9,1.1,8.8,0.0,0.1,0.1,5.13,0.87,0.56,27.0,0.19,CAM, FW,,,
Danny Ings,West Ham,31,"CAM, FW",7(10),771,2,2,1,0,0.9,62.2,0.5,0,6.35,0.6,0.1,0.4,0.0,0.6,0.3,0.1,0,1.5,0.5,0.6,0.3,0.5,0.9,1.1,8.8,0.0,0.1,0.1,5.13,0.87,0.56,27.0,0.19,CAM, FW,,,
Séamus Coleman,Everton,35,"CB, RB, RM",20(3),1667,1,0,1,0,0.3,75.5,0.8,1,6.57,1.5,1.0,0.4,0.1,2.0,0.4,0.3,0,0.3,0.2,0.7,0.9,0.1,0.3,1.3,26.2,0.4,1.0,0.0,0.24,0.76,0.01,7.0,0.03,CB, RB, RM,,
Ryan Christie,Bournemouth,29,"CM, LM, RM, FW",22(10),1842,1,1,2,0,1.0,82.7,0.5,0,6.56,1.1,0.8,1.1,0.0,0.5,1.1,0.1,0,1.0,0.9,1.2,1.4,0.0,1.0,1.5,19.2,0.3,0.7,0.0,2.82,-1.82,0.14,33.0,0.09,CM, LM, RM, FW,
Rico Lewis,Manchester City,19,"RB, CM",10(4),905,0,0,1,0,0.4,92.2,0.0,0,6.56,1.1,0.4,0.7,0.1,0.9,0.4,0.3,0,0.4,0.9,0.6,1.3,0.0,0.9,0.5,45.6,0.2,0.5,0.1,0.23,-0.23,0.02,5.0,0.05,RB, CM,,,
Matty Cash,Aston Villa,26,"RB, CM, LM, RM",20(6),1821,0,1,4,0,0.3,78.6,0.5,1,6.56,2.1,1.0,0.8,0.5,1.4,0.4,0.2,0,0.3,0.3,0.6,0.6,0.1,0.3,0.9,30.0,0.5,1.5,0.0,0.16,-0.16,0.01,7.0,0.02,RB, CM, LM, RM,
Roméo Lavia,Southampton,20,CDM,26(3),2230,1,0,9,0,0.4,86.4,0.3,0,6.56,2.1,1.1,1.0,0.0,0.8,1.1,0.4,0,0.4,0.6,1.0,1.7,0.0,1.1,0.8,34.2,0.1,1.6,0.1,0.33,0.67,0.01,12.0,0.03,CDM,,,,
Ruben Loftus-Cheek,Chelsea,28,"CM, LM, RM",19(6),1543,0,1,1,0,0.4,88.6,0.9,0,6.56,1.0,0.5,0.4,0.0,0.9,0.4,0.1,1,0.4,0.6,1.2,1.4,0.0,0.9,0.9,34.0,0.1,0.6,0.0,0.81,-0.81,0.05,9.0,0.09,CM, LM, RM,,
João Gomes,Wolves,23,CDM,7(4),651,1,0,5,0,0.4,79.5,0.6,0,6.56,2.6,0.4,1.5,0.0,1.0,0.9,0.3,0,0.4,0.5,0.7,1.5,0.0,0.5,0.6,28.4,0.1,0.9,0.0,0.28,0.72,0.04,4.0,0.07,CDM,,,,
Boubacar Kamara,Aston Villa,24,"CB, LB, CDM",21(3),1779,0,1,4,0,0.2,84.9,0.9,0,6.56,2.4,0.8,1.4,0.0,1.0,1.2,0.5,0,0.2,0.3,0.7,1.3,0.0,0.6,0.8,39.2,0.0,2.0,0.1,0.22,-0.22,0.01,4.0,0.06,CB, LB, CDM,,
Luke Ayling,Leeds,32,"CB, RB, RM",22(7),2049,2,1,3,0,0.8,69.2,1.6,0,6.55,2.3,0.9,0.5,0.3,1.6,1.5,0.4,0,0.8,0.4,0.4,1.2,0.0,0.4,0.8,30.1,0.4,1.4,0.0,2.64,-0.64,0.12,24.0,0.11,CB, RB, RM,,
