player_name,team_name,Fouled,Fouls
Ko Itakura,Borussia M.Gladbach,0.6,0.5
Leandro Barreiro,Mainz 05,1.1,1.5
Gabriel Vidovic,Bayern Munich,0,0
Hrvoje Smolcic,Eintracht Frankfurt,0.6,0
Ridle Baku,Wolfsburg,1,0.8
Moritz Jenz,Schalke 04,0.5,1.7
Angeliño,Hoffenheim,0.9,0.4
Marcin Kaminski,Schalke 04,0,0.1
Marius Bülter,Schalke 04,1.5,0.8
Tuta,Eintracht Frankfurt,0.6,1.1
Ivan Ordets,Bochum,0.8,1.1
Junior Dina Ebimbe,Eintracht Frankfurt,0.6,0.8
Dayot Upamecano,Bayern Munich,0.5,1
Luca Pellegrini,Eintracht Frankfurt,0.9,0.9
John Anthony Brooks,Hoffenheim,0.9,1.4
Jakub Kaminski,Wolfsburg,0.4,0.3
Marco Richter,Hertha Berlin,1.1,1.2
Kevin Akpoguma,Hoffenheim,0.7,1.2
Oliver Baumann,Hoffenheim,0,0
Jonas Omlin,Borussia M.Gladbach,0.1,0
Anthony Losilla,Bochum,0.5,1.5
Xaver Schlager,RB Leipzig,1.1,1.2
Kerem Demirbay,Bayer Leverkusen,0.9,1.2
Hiroki Ito,VfB Stuttgart,0.6,0.5
Anthony Caci,Mainz 05,0.3,0.6
Amine Adli,Bayer Leverkusen,1.8,1.5
Mërgim Berisha,Augsburg,1.3,1.2
Marco Reus,Borussia Dortmund,0.7,0.7
Nico Elvedi,Borussia M.Gladbach,0.3,0.8
Eric Martel,FC Koln,0.9,1.4
Davie Selke,FC Koln,0.7,0.9
Ozan Kabak,Hoffenheim,0.5,1.8
Maximilian Eggestein,Freiburg,0.7,1
Philipp Max,Eintracht Frankfurt,0.2,0.6
Jonas Wind,Wolfsburg,0.9,0.7
Jamie Bynoe-Gittens,Borussia Dortmund,1.2,0.6
Evan Ndicka,Eintracht Frankfurt,0.5,1
Josko Gvardiol,RB Leipzig,0.4,0.7
Marco Friedl,Werder Bremen,0.8,0.8
André Hahn,Augsburg,0.4,1.1
Piero Hincapié,Bayer Leverkusen,1.2,1.3
Jesper Lindstrøm,Eintracht Frankfurt,0.7,0.7
Patrik Schick,Bayer Leverkusen,1.1,0.4
Aarón Martín,Mainz 05,0.4,1
Tom Krauß,Schalke 04,1,1.4
Micky van de Ven,Wolfsburg,0.8,0.7
Suat Serdar,Hertha Berlin,1,1
Maxence Lacroix,Wolfsburg,0.5,0.8
Christopher Lenz,Eintracht Frankfurt,0.5,0.8
Rani Khedira,Union Berlin,0.4,1.6
Mario Götze,Eintracht Frankfurt,1.4,0.8
Robin Zentner,Mainz 05,0.1,0
Marcel Sabitzer,Bayern Munich,0.1,0.5
Chris Führich,VfB Stuttgart,0.3,0.2
Christian Günter,Freiburg,0.4,1
Andrej Kramaric,Hoffenheim,1.1,0.3
Mohamed Simakan,RB Leipzig,1,1
Maximilian Mittelstädt,Hertha Berlin,0.5,0.8
Roland Sallai,Freiburg,1.6,1.5
Malick Thiaw,Schalke 04,0,1
