,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
98,98,Dayot Upamecano,,25, D(C),27(2),2348,0,1,6,1,0.2,90.8,1.6,0,6.71,2.2,0.9,1,0.4,2.4,0.6,0.2,0,0.2,0.3,0.5,0,0.3,0.7,79.5,0,4.7,0,0.85,-0.85,0.03,7,0.12
99,99,Jakub Kaminski,,21, M(LR),25(6),2074,4,2,0,0,1.3,76.4,0.4,1,6.7,1.2,0.3,0.3,0.1,0.4,0.6,0.1,0,0.9,0.9,0.4,0.1,1,1.8,19,0.3,0.6,0.1,5.58,-1.58,0.24,39,0.14
100,100,Marco Richter,,26," M(CLR),FW",21(8),1844,6,5,8,0,1.7,67.3,0.4,2,6.7,1.5,0.8,1.2,0,0.6,1,0.1,0,0.7,1.2,1.1,0.2,1.2,2,20,0.5,1.2,0,3.59,2.41,0.18,49,0.07
101,101,Kevin Akpoguma,,29," D(CR),M(R)",21(7),1952,0,0,11,0,0.3,79.8,2.0,0,6.7,2.7,0.9,1.2,0.4,2.2,0.5,0.6,0,0.2,0.3,0.7,0,0.3,0.6,35.3,0.1,1.9,0,0.49,-0.49,0.02,8,0.06
102,102,Oliver Baumann,,33, GK,34,3060,0,0,2,0,0.0,72.3,0.5,2,6.7,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,36.6,0,7.4,0,,,,,
103,103,Anthony Losilla,,38," D(C),DMC",31,2725,2,2,6,1,0.9,68.3,3.0,1,6.7,2.5,1.2,1.5,0,2.1,1.3,0.4,0,0.5,0.3,0.5,0.1,0.3,0.8,30.6,0.1,1.2,0,2.35,-0.35,0.08,27,0.09
104,104,Xaver Schlager,,26, M(C),16(6),1505,1,1,2,0,0.2,83.8,0.6,1,6.69,1.9,0.8,1.2,0,1,1,0.1,0,0.4,0.6,1.1,0,0.6,1,41.7,0,2.6,0.1,0.5,0.5,0.03,5,0.1
105,105,Kerem Demirbay,,30, M(C),17(8),1548,4,3,5,0,1.2,82.5,0.4,2,6.69,1.4,0.6,1.2,0,0.4,0.6,0.2,0,1.2,0.3,0.9,0,0.8,1,38.7,0.9,1.7,0.1,2.58,1.42,0.15,31,0.08
106,106,Hiroki Ito,,24, D(CL),29(1),2563,1,1,5,0,0.7,83.0,1.3,0,6.69,1.3,1.3,0.5,0.5,2.8,0.6,0.6,0,0.7,0.2,0.6,0.1,0.2,0.7,66,0.5,6.1,0,0.5,0.5,0.02,21,0.02
107,107,Anthony Caci,,26," D(CLR),M(LR)",23(8),2036,2,1,4,0,0.3,74.2,0.7,0,6.69,1.9,1.7,0.6,0.1,1.2,0.5,0.1,0,0.7,0.3,0.3,0,0.3,0.5,29.4,0.8,3.2,0,0.61,1.39,0.03,10,0.06
108,108,Amine Adli,,23," AM(CLR),FW",16(10),1443,5,3,2,2,1.4,78.1,1.1,1,6.69,0.7,0.2,1.5,0,0.2,0.5,0.1,0,0.8,1,1.8,0.2,0.7,2,20.6,0.2,0.3,0,5.43,-0.43,0.34,37,0.15
109,109,Mërgim Berisha,,25," AM(C),FW",20(3),1688,9,4,7,1,2.4,54.0,1.7,4,6.69,0.5,0,1.2,0,0.8,0.4,0,0,0.9,0.2,1.3,0.7,1.2,1.8,11.4,0.8,0.3,0,8.39,0.61,0.45,55,0.15
