player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Arkadiusz Reca,Spezia,1.5,0.4,1.9
Alberto Grassi,Empoli,1,0.4,1.4
Matteo Bianchetti,Cremonese,1.3,0.5,1.8
Maxime Lopez,Sassuolo,1.4,1.3,2.7
Duván Zapata,Atalanta,0.3,0.1,0.4
Joakim Mæhle,Atalanta,0.9,0.5,1.4
Emanuel Aiwu,Cremonese,2.4,0.6,3
Bartosz Bereszynski,Napoli,1,0,1
Matías Soulé,Juventus,0.5,0.2,0.7
Nicola Sansone,Bologna,0.7,0.3,0.9
Luis Muriel,Atalanta,0.3,0.4,0.7
Giangiacomo Magnani,Verona,1.4,0.3,1.6
Koffi Djidji,Torino,1.5,0.4,1.9
Nadir Zortea,Sassuolo,1.5,0.5,2
Gianluca Caprari,Monza,0.4,0.5,0.9
Leonardo Bonucci,Juventus,0.3,0.1,0.4
Josh Doig,Verona,0.9,0.5,1.3
Sam Lammers,Empoli,1.4,0.3,1.7
Nemanja Radonjic,Torino,0.1,0.1,0.2
Sebastian Walukiewicz,Empoli,0.8,0.2,1
Adama Soumaoro,Bologna,1.1,0.1,1.2
Bruno Amione,Sampdoria,1.9,0.9,2.8
Josip Brekalo,Fiorentina,0.3,0.5,0.8
Grigoris Kastanos,Salernitana,1.4,0.9,2.3
Adam Masina,Udinese,0.7,0.6,1.4
Roberto Soriano,Bologna,1.1,0.5,1.6
Zeki Çelik,Roma,1.8,0.7,2.5
Federico Ceccherini,Verona,1.1,0.5,1.6
Pablo Galdames,Cremonese,1.1,2.2,3.2
Mërgim Vojvoda,Torino,0.8,0.4,1.2
Luca Caldirola,Monza,0.8,0.4,1.3
Marco Benassi,Fiorentina,1.5,0.5,2
Enzo Barrenechea,Juventus,2.7,0.7,3.3
Riccardo Saponara,Fiorentina,0.3,0.1,0.5
Marco Benassi,Cremonese,1.7,0.6,2.3
Emanuele Valeri,Cremonese,1.4,1.1,2.5
Igor Julio,Fiorentina,1.6,0.3,1.9
Oliver Abildgaard,Verona,0.8,0.7,1.5
Kingsley Ehizibue,Udinese,1.7,0.6,2.3
Tonny Vilhena,Salernitana,1.3,0.9,2.2
Ante Rebic,AC Milan,0.4,0.3,0.8
Bram Nuytinck,Udinese,1.2,0.7,1.8
Danilo D'Ambrosio,Inter,1.7,0.8,2.5
Sofyan Amrabat,Fiorentina,1.3,0.4,1.8
Harry Winks,Sampdoria,1.4,1.5,2.8
Kevin Bonifazi,Bologna,1,0.5,1.5
Rui Patrício,Roma,0,0,0
Alex Cordaz,Inter,0,0,0
Michele Castagnetti,Cremonese,1.7,1.3,3
Jayden Braaf,Verona,0.8,0,0.8
Kelvin Amian,Spezia,1.8,0.2,2
Joshua Zirkzee,Bologna,0.2,0.3,0.5
Milan Skriniar,Inter,1.4,0.7,2
Abdelhamid Sabiri,Sampdoria,1,0.5,1.5
Filip Djuricic,Sampdoria,1.3,0.6,1.9
Daniel Maldini,Spezia,0.7,0.4,1.1
Tommaso De Nipoti,Atalanta,1,0,1
Robin Gosens,Inter,1.1,0.3,1.4
William Troost-Ekong,Salernitana,1.2,0.1,1.3
Giacomo Raspadori,Napoli,0.4,0.2,0.6
Bartosz Bereszynski,Sampdoria,1.9,0.6,2.5
Sam Lammers,Sampdoria,0.6,0.5,1.1
Salvatore Esposito,Spezia,1,1.1,2.1
Liberato Cacace,Empoli,2.1,0.5,2.6
Assan Ceesay,Lecce,0.7,0.2,0.9
Davide Faraoni,Verona,1.5,1.1,2.6
Karol Linetty,Torino,1,0.4,1.4
Paul Pogba,Juventus,0,0.2,0.2
Marcos Antônio,Lazio,0.6,0.7,1.3
Petar Stojanovic,Empoli,1.6,0.6,2.2
Koray Günter,Sampdoria,1,0.3,1.3
Koni De Winter,Empoli,1,0.6,1.6
Tommaso Pobega,AC Milan,1.4,0.4,1.8
Yann Karamoh,Torino,0.2,0.2,0.4
Zlatan Ibrahimovic,AC Milan,0,0,0
Leandro Paredes,Juventus,0.8,0.5,1.2
Nedim Bajrami,Sassuolo,0.7,0.3,1
Filippo Ranocchia,Monza,0.8,0.6,1.4
Adrien Tameze,Verona,1.4,0.9,2.3
Sergiño Dest,AC Milan,1.5,0.1,1.6
Dylan Bronn,Salernitana,1.4,0.4,1.8
Jean-Victor Makengo,Udinese,1,0.3,1.3
Alfred Duncan,Fiorentina,0.7,0.4,1.2
Mattia De Sciglio,Juventus,0.8,0.3,1.1
Mattia Caldara,Spezia,1.2,0.6,1.7
Gary Medel,Bologna,0.9,0.3,1.1
Tomás Rincón,Sampdoria,1.6,0.9,2.6
Miguel Veloso,Verona,1.5,0.5,2
Fabio Miretti,Juventus,0.9,0.6,1.5
Luca Zanimacchia,Cremonese,1.4,0.9,2.3
Joan González,Lecce,1.4,1,2.3
Riccardo Sottil,Fiorentina,0.2,0.2,0.4
Domagoj Bradaric,Salernitana,0.8,0.3,1.1
Filippo Terracciano,Verona,1,0.3,1.3
Joaquín Correa,Inter,0.5,0.4,0.9
Thomas Henry,Verona,0.3,0.3,0.6
Antonín Barák,Fiorentina,0.7,0.3,1
Marko Pjaca,Empoli,0.2,0.1,0.4
Pedro Obiang,Sassuolo,1.5,0.5,2
Cyriel Dessers,Cremonese,0.4,0.2,0.6
Andrea Pinamonti,Sassuolo,0.3,0.1,0.4
Petar Zovko,Spezia,1,0,1
Charles De Ketelaere,AC Milan,0.8,0.5,1.3
Emil Bohinen,Salernitana,1,0.5,1.5
Brandon Soppy,Atalanta,0.5,0.4,0.9
Fabio Depaoli,Verona,1.5,0.6,2.2
Alex Ferrari,Sampdoria,0.8,0.3,1.1
Jeremy Toljan,Sassuolo,1.2,0.4,1.5
Federico Di Francesco,Lecce,0.8,0.3,1.1
Albin Ekdal,Spezia,1.2,0.8,2
Paolo Ghiglione,Cremonese,1.1,0.9,1.9
Lameck Banda,Lecce,0.8,0.7,1.6
Diego Coppola,Verona,1.3,0.7,2
Dimitrios Nikolaou,Spezia,1.3,0.3,1.6
David Zima,Torino,1,0.1,1.1
Hamed Traorè,Sassuolo,1,0.6,1.6
Roberto Piccoli,Empoli,0.1,0.2,0.3
Samuel Iling-Junior,Juventus,0.6,0.4,1
Martin Hongla,Verona,0.9,0,0.9
José Machín,Monza,1.1,0.7,1.8
Juan Cabal,Verona,0.9,0.5,1.4
Adam Ounas,Napoli,0,0,0
Cristian Buonaiuto,Cremonese,0.9,0.5,1.4
Gianluca Gaetano,Napoli,0.6,0,0.6
Mady Camara,Roma,0.9,0.7,1.5
Michaël Cuisance,Sampdoria,1.1,1.4,2.5
Rick Karsdorp,Roma,1.6,0.7,2.3
Jacopo Fazzini,Empoli,1.5,0.8,2.2
Samuel Ntanda,Sampdoria,0,0,0
Daniel Ciofani,Cremonese,0.2,0.1,0.3
Marvin Zeegelaar,Udinese,1.1,0.1,1.3
Marlon,Monza,1.3,0.5,1.8
Nedim Bajrami,Empoli,0.4,0.1,0.5
Adolfo Gaich,Verona,0.3,0.3,0.6
Edoardo Bove,Roma,1.6,1,2.6
Festy Ebosele,Udinese,0.9,0.4,1.2
Luca Pellegrini,Lazio,0.1,0.4,0.6
Matteo Gabbia,AC Milan,1.4,0.2,1.6
Daniele Verde,Spezia,0.2,0.2,0.3
Martín Satriano,Empoli,0.4,0.3,0.7
Axel Guessand,Udinese,2,1,3
Pietro Ceccaroni,Lecce,0,0,0
Charles Pickel,Cremonese,1.7,0.8,2.5
Samuele Birindelli,Monza,1.1,0.4,1.5
Matías Viña,Roma,1,0.7,1.7
Moise Kean,Juventus,0.3,0.1,0.4
Junior Sambia,Salernitana,0.5,0.2,0.7
Divock Origi,AC Milan,0.4,0.2,0.6
Ruan Tressoldi,Sassuolo,1.7,0.4,2.1
Ola Solbakken,Roma,0.1,0.4,0.5
Ibrahim Sulemana,Verona,1.2,0.4,1.6
Lorenzo Venuti,Fiorentina,1.1,0.4,1.5
Domen Crnigoj,Salernitana,1.1,0.1,1.3
Andrea Consigli,Sassuolo,0,0,0.1
Enzo Ebosse,Udinese,0.8,0.2,1
Abdou Harroui,Sassuolo,0.7,0.2,1
Alessandro Zanoli,Napoli,1,0,1
Vincenzo Fiorillo,Salernitana,0,0,0
Giuseppe Pezzella,Lecce,1.3,0.4,1.8
Ilija Nestorovski,Udinese,0.3,0.3,0.6
Gian Marco Ferrari,Sassuolo,0.7,0.2,0.9
Emanuel Vignato,Empoli,0.4,0,0.4
Brian Bayeye,Torino,1.5,0,1.5
Gianluca Pegolo,Sassuolo,0,0.5,0.5
Lorenzo Colombo,Lecce,0.5,0.2,0.8
Kristian Thorstvedt,Sassuolo,0.5,0.4,0.9
Franco Carboni,Monza,0.3,0.7,1
Raoul Bellanova,Inter,0.8,0.3,1.1
Jaime Báez,Cremonese,2,1.5,3.5
Eldor Shomurodov,Spezia,0.3,0.6,0.9
Yayah Kallon,Verona,0.6,0.2,0.9
Giovanni Simeone,Napoli,0.5,0.2,0.7
Andreaw Gravillon,Torino,0.4,0,0.4
Tolgay Arslan,Udinese,0.8,0.7,1.5
Valerio Verre,Sampdoria,0.8,0.5,1.3
Michel Adopo,Torino,0.8,0.2,1
Lorenzo De Silvestri,Bologna,0.2,0.3,0.5
Nicolas Haas,Empoli,1.1,0.5,1.6
Giulio Maggiore,Salernitana,1.3,0.7,1.9
Mario Gila,Lazio,0.8,0.3,1
Federico Bonazzoli,Salernitana,0.2,0.4,0.6
Roberto Gagliardini,Inter,0.8,0.6,1.4
Gonzalo Escalante,Cremonese,1.8,0.3,2.1
Samuele Vignato,Monza,0,0,0
Luka Romero,Lazio,0,0.5,0.5
Francesco Rossi,Atalanta,0,0,0
Benjamin Tahirovic,Roma,0.7,0.7,1.5
Joaquín Sosa,Bologna,0.6,1.4,2
Yacine Adli,AC Milan,1,0,1
Szymon Zurkowski,Spezia,0.9,1.3,2.2
Emmanuel Gyasi,Spezia,0.7,0.8,1.5
Szymon Zurkowski,Fiorentina,0,0,0
Mattia Valoti,Monza,1.1,0.7,1.8
Kristjan Asllani,Inter,0.6,0.2,0.7
Andrea Belotti,Roma,0.4,0.2,0.6
Tanguy Ndombélé,Napoli,0.5,0.1,0.6
Jeison Murillo,Sampdoria,1.1,0.5,1.6
Kaan Ayhan,Sassuolo,1,0,1
Kevin Lasagna,Verona,0.5,0.3,0.8
Nicolò Cocetta,Udinese,0,1,1
Tommaso Cassandro,Lecce,1,0,1
Demba Seck,Torino,0.3,0.1,0.3
Simone Romagnoli,Lecce,0.9,0,0.9
Ignacio Pussetto,Sampdoria,1.2,0.2,1.4
Alberto Basso,Cremonese,0,0,0
Filippo Missori,Roma,1.3,1,2.3
Toma Basic,Lazio,0.2,0.2,0.4
Lukas Vorlicky,Atalanta,0,0,0
Liam Henderson,Empoli,0.5,0.7,1.2
Nicolò Zaniolo,Roma,0.5,0.4,0.9
Kristoffer Askildsen,Lecce,0.3,0.3,0.6
Giacomo Quagliata,Cremonese,0.5,0.3,0.8
Florian Thauvin,Udinese,0.1,0.7,0.8
Alessio Zerbin,Napoli,1,0.4,1.4
Pietro Pellegri,Torino,0.3,0.1,0.4
Petko Hristov,Spezia,0.7,0.3,1
Andrea Barberis,Monza,0.8,0.7,1.4
Emil Ceïde,Sassuolo,0.3,0.1,0.4
Grégoire Defrel,Sassuolo,0.3,0.3,0.7
Viktor Kovalenko,Spezia,0.5,0.2,0.7
Salvatore Molina,Monza,1.2,0.2,1.4
Tiémoué Bakayoko,AC Milan,1.7,0,1.7
Tio Cipot,Spezia,1.5,0.3,1.8
Emanuel Vignato,Bologna,0.5,0.3,0.8
Erik Botheim,Salernitana,0.4,0.3,0.6
Simone Pafundi,Udinese,1,0.3,1.3
Emirhan Ilkhan,Torino,0.3,0,0.3
Youssef Maleh,Lecce,1,0.5,1.5
Ronaldo Vieira,Sampdoria,1.1,0.2,1.3
Michel Aebischer,Bologna,0.4,0.5,0.9
Agustín Álvarez,Sassuolo,0.3,0.1,0.4
Mato Jajalo,Udinese,0,0.3,0.3
Warren Bondo,Monza,0.3,0,0.3
Diego Demme,Napoli,0.1,0.6,0.7
Jesé,Sampdoria,0.2,0.1,0.3
Niklas Pyyhtiä,Bologna,0.2,0.2,0.3
Francesco Caputo,Sampdoria,0.2,0.2,0.4
Marash Kumbulla,Roma,0.6,0.1,0.7
Aster Vranckx,AC Milan,0.3,0.6,0.9
Ivan Radovanovic,Salernitana,1.2,0.6,1.8
Kristijan Bistrovic,Lecce,0.3,0.5,0.7
Nicolò Rovella,Juventus,0.3,0,0.3
Fabio Quagliarella,Sampdoria,0.1,0.3,0.3
Salvador Ferrer,Spezia,0.8,0.4,1.2
Gerard Yepes,Sampdoria,1,0.4,1.4
Jack Hendry,Cremonese,0,0.3,0.3
Matteo Lovato,Salernitana,1,0.9,1.9
Emirhan Ilkhan,Sampdoria,0.8,0.1,0.9
Mattia Destro,Empoli,0.1,0,0.1
Nicola Murru,Sampdoria,1.2,0.3,1.5
Valentin Antov,Monza,0.7,0.4,1.1
João Moutinho,Spezia,1.8,0.3,2
Antonio Iervolino,Salernitana,0,1,1
Giulio Donati,Monza,0.4,0.3,0.8
Thórir Helgason,Lecce,0.2,0.1,0.3
Youssef Maleh,Fiorentina,0.4,0.6,1
Matteo Cancellieri,Lazio,0.5,0.2,0.7
Marios Oikonomou,Sampdoria,0.5,0.3,0.8
Alessandro Cortinovis,Verona,1,0,1
Antonio Mirante,AC Milan,0,0,0
Jordan Majchrzak,Roma,0,0,0
