player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Joakim Mæhle,Atalanta,0.8,0.4,0.1,0.3
Emanuel Aiwu,Cremonese,0.1,0,0,0.1
Bartosz Bereszynski,Napoli,0,0,0,0
Matías Soulé,Juventus,0.8,0.3,0.1,0.4
Nicola Sansone,Bologna,1.2,0.4,0.1,0.8
Luis Muriel,Atalanta,1.2,0.7,0.1,0.4
Giangiacomo Magnani,Verona,0.3,0.2,0.1,0
Koffi Djidji,Torino,0.2,0.1,0.1,0.1
Nadir Zortea,Sassuolo,0.5,0.3,0,0.2
Gianluca Caprari,Monza,1.4,0.5,0,0.8
Leonardo Bonucci,Juventus,0.3,0,0,0.3
Josh Doig,Verona,0.8,0.2,0,0.5
Sam Lammers,Empoli,2,0.5,0,1.5
Nemanja Radonjic,Torino,1.9,0.6,0.1,1.2
Sebastian Walukiewicz,Empoli,0.2,0,0.1,0.1
Adama Soumaoro,Bologna,0.1,0,0,0.1
Bruno Amione,Sampdoria,0.5,0,0,0.4
Josip Brekalo,Fiorentina,0.8,0.5,0,0.3
Grigoris Kastanos,Salernitana,1.1,0.6,0,0.5
Adam Masina,Udinese,0.1,0,0,0.1
Roberto Soriano,Bologna,0.5,0.3,0,0.2
Zeki Çelik,Roma,0.2,0,0,0.2
Federico Ceccherini,Verona,0.3,0.1,0.2,0
Pablo Galdames,Cremonese,0.5,0.4,0,0.2
Mërgim Vojvoda,Torino,0.8,0.2,0.1,0.5
Luca Caldirola,Monza,0.3,0,0.1,0.2
Marco Benassi,Fiorentina,0,0,0,0
Enzo Barrenechea,Juventus,0.7,0,0,0.7
Riccardo Saponara,Fiorentina,1.3,0.7,0,0.6
Marco Benassi,Cremonese,1.3,0.6,0.1,0.6
Emanuele Valeri,Cremonese,1.1,0.6,0.1,0.4
Igor Julio,Fiorentina,0.3,0,0,0.2
Oliver Abildgaard,Verona,0.2,0.1,0.1,0.1
Kingsley Ehizibue,Udinese,0.5,0.1,0.1,0.2
Tonny Vilhena,Salernitana,0.9,0.7,0,0.2
Ante Rebic,AC Milan,1.2,0.3,0,0.9
Bram Nuytinck,Udinese,0.2,0,0,0.2
Danilo D'Ambrosio,Inter,0.2,0,0.1,0.1
Sofyan Amrabat,Fiorentina,0.4,0.4,0,0.1
Harry Winks,Sampdoria,0.7,0.7,0,0.1
Kevin Bonifazi,Bologna,0.2,0,0,0.2
Rui Patrício,Roma,0,0,0,0
Alex Cordaz,Inter,0,0,0,0
Michele Castagnetti,Cremonese,0.4,0.4,0,0
Jayden Braaf,Verona,1.5,0.3,0,1.2
Kelvin Amian,Spezia,0.9,0.4,0.1,0.4
Joshua Zirkzee,Bologna,1.5,0.4,0.2,1
Milan Skriniar,Inter,0.4,0.1,0,0.3
Abdelhamid Sabiri,Sampdoria,1.8,1.1,0.1,0.7
Filip Djuricic,Sampdoria,0.8,0.3,0,0.4
Daniel Maldini,Spezia,0.8,0.4,0,0.4
Tommaso De Nipoti,Atalanta,0,0,0,0
Robin Gosens,Inter,0.8,0.1,0.2,0.6
William Troost-Ekong,Salernitana,0.2,0,0.1,0.1
Giacomo Raspadori,Napoli,1.6,0.5,0.1,1.1
Bartosz Bereszynski,Sampdoria,0.2,0.1,0,0.1
Sam Lammers,Sampdoria,1.2,0.2,0.1,1
Salvatore Esposito,Spezia,0.9,0.9,0,0.1
Liberato Cacace,Empoli,0.6,0.3,0,0.3
Assan Ceesay,Lecce,1.2,0.2,0.1,0.9
Davide Faraoni,Verona,0.9,0.4,0.2,0.3
Karol Linetty,Torino,0.5,0.3,0,0.2
Paul Pogba,Juventus,0.8,0.2,0,0.7
Marcos Antônio,Lazio,0.2,0.1,0,0.1
Petar Stojanovic,Empoli,0.4,0.3,0,0.1
Koray Günter,Sampdoria,0.1,0,0,0.1
Koni De Winter,Empoli,0,0,0,0
Tommaso Pobega,AC Milan,1.1,0.4,0,0.6
Yann Karamoh,Torino,1,0.2,0.1,0.6
Zlatan Ibrahimovic,AC Milan,1.5,0.8,0.3,0.5
Leandro Paredes,Juventus,0.6,0.6,0,0
Nedim Bajrami,Sassuolo,1.3,0.7,0,0.6
Filippo Ranocchia,Monza,1.4,1.1,0.1,0.2
Adrien Tameze,Verona,0.3,0.2,0,0.1
Sergiño Dest,AC Milan,0.3,0.1,0,0.1
Dylan Bronn,Salernitana,0.3,0.1,0,0.2
Jean-Victor Makengo,Udinese,0.4,0.4,0,0.1
Alfred Duncan,Fiorentina,0.4,0.2,0,0.1
Mattia De Sciglio,Juventus,0.2,0.2,0,0
Mattia Caldara,Spezia,0.6,0.1,0.2,0.4
Gary Medel,Bologna,0.1,0.1,0,0
Tomás Rincón,Sampdoria,0.3,0.2,0,0.1
Miguel Veloso,Verona,0.7,0.6,0,0.1
Fabio Miretti,Juventus,0.7,0.3,0,0.4
Luca Zanimacchia,Cremonese,1.3,0.4,0,0.9
Joan González,Lecce,0.5,0.1,0,0.3
Riccardo Sottil,Fiorentina,1.2,0.3,0,0.8
Domagoj Bradaric,Salernitana,0.2,0.2,0,0.1
Filippo Terracciano,Verona,0.3,0.2,0,0.1
Joaquín Correa,Inter,0.8,0.2,0,0.6
Thomas Henry,Verona,1.1,0.4,0.2,0.5
Antonín Barák,Fiorentina,1.1,0.3,0,0.7
Marko Pjaca,Empoli,0.9,0.4,0,0.5
Pedro Obiang,Sassuolo,0.4,0.3,0,0.1
Cyriel Dessers,Cremonese,1.9,0.2,0.1,1.7
Andrea Pinamonti,Sassuolo,2.1,0.4,0.1,1.6
Petar Zovko,Spezia,0,0,0,0
Charles De Ketelaere,AC Milan,0.6,0,0,0.5
Emil Bohinen,Salernitana,0.2,0.1,0,0
Brandon Soppy,Atalanta,0.5,0.2,0,0.3
Fabio Depaoli,Verona,0.6,0.2,0.1,0.4
Alex Ferrari,Sampdoria,0.4,0.2,0,0.3
Jeremy Toljan,Sassuolo,0.2,0.1,0,0.1
Federico Di Francesco,Lecce,1.1,0.4,0,0.7
Albin Ekdal,Spezia,0.6,0.1,0.1,0.4
Paolo Ghiglione,Cremonese,0.5,0.1,0,0.3
Lameck Banda,Lecce,1,0.4,0.1,0.4
Diego Coppola,Verona,0.2,0,0,0.2
Dimitrios Nikolaou,Spezia,0.3,0.1,0,0.1
David Zima,Torino,0.4,0.1,0.2,0.1
Hamed Traorè,Sassuolo,0.7,0.4,0.1,0.3
Roberto Piccoli,Empoli,0.9,0.2,0,0.7
Samuel Iling-Junior,Juventus,0.3,0.2,0.1,0.1
Martin Hongla,Verona,0.6,0.6,0,0
José Machín,Monza,0.4,0.2,0,0.2
Juan Cabal,Verona,0.1,0.1,0,0
Adam Ounas,Napoli,0.5,0.5,0,0
Cristian Buonaiuto,Cremonese,1.5,0.6,0,0.9
Gianluca Gaetano,Napoli,0.9,0.5,0,0.4
Mady Camara,Roma,0.7,0.5,0,0.3
Michaël Cuisance,Sampdoria,0.8,0.4,0,0.4
Rick Karsdorp,Roma,0.2,0.1,0,0.1
Jacopo Fazzini,Empoli,0.7,0.3,0,0.3
Samuel Ntanda,Sampdoria,1,0,0,1
Daniel Ciofani,Cremonese,1,0.2,0.1,0.7
Marvin Zeegelaar,Udinese,0.4,0,0,0.4
Marlon,Monza,0.2,0,0,0.2
Nedim Bajrami,Empoli,1.1,0.8,0,0.3
Adolfo Gaich,Verona,1.5,0.4,0.1,1
Edoardo Bove,Roma,0.3,0,0,0.3
Festy Ebosele,Udinese,0.2,0.1,0,0.1
Luca Pellegrini,Lazio,0.4,0.3,0,0.1
Matteo Gabbia,AC Milan,0.1,0,0,0.1
Daniele Verde,Spezia,1.3,0.6,0,0.6
Martín Satriano,Empoli,1.2,0.2,0.2,0.9
Axel Guessand,Udinese,0,0,0,0
Pietro Ceccaroni,Lecce,1,0.5,0,0.5
Charles Pickel,Cremonese,0.7,0.2,0,0.5
Samuele Birindelli,Monza,0.5,0.2,0.1,0.2
Matías Viña,Roma,0,0,0,0
Moise Kean,Juventus,1.4,0.3,0.1,1
Junior Sambia,Salernitana,0.6,0.3,0,0.3
Divock Origi,AC Milan,1.1,0.5,0.1,0.5
Ruan Tressoldi,Sassuolo,0.2,0,0,0.2
Ola Solbakken,Roma,0.6,0.2,0,0.4
Ibrahim Sulemana,Verona,0.6,0.4,0,0.2
Lorenzo Venuti,Fiorentina,0.4,0.2,0,0.2
Domen Crnigoj,Salernitana,0.1,0,0,0.1
Andrea Consigli,Sassuolo,0,0,0,0
Enzo Ebosse,Udinese,0.2,0.2,0,0
Abdou Harroui,Sassuolo,0.6,0.4,0,0.1
Alessandro Zanoli,Napoli,1,0,0,1
Vincenzo Fiorillo,Salernitana,0,0,0,0
Giuseppe Pezzella,Lecce,0.3,0.1,0,0.1
Ilija Nestorovski,Udinese,0.7,0.1,0.1,0.5
Gian Marco Ferrari,Sassuolo,0.2,0,0.1,0.1
Emanuel Vignato,Empoli,0.4,0.2,0,0.2
Brian Bayeye,Torino,0,0,0,0
Gianluca Pegolo,Sassuolo,0,0,0,0
Lorenzo Colombo,Lecce,1.4,0.3,0.1,1
Kristian Thorstvedt,Sassuolo,0.6,0.2,0,0.5
Franco Carboni,Monza,0.3,0,0,0.3
Raoul Bellanova,Inter,0.2,0,0.1,0.1
Jaime Báez,Cremonese,1,0.5,0,0.5
Eldor Shomurodov,Spezia,1.2,0.3,0.1,0.7
Yayah Kallon,Verona,0.9,0.3,0,0.5
Giovanni Simeone,Napoli,0.6,0.2,0.1,0.3
Andreaw Gravillon,Torino,0.1,0.1,0,0
Tolgay Arslan,Udinese,0.7,0.4,0,0.2
Valerio Verre,Sampdoria,0.8,0.6,0,0.2
Michel Adopo,Torino,0.2,0,0,0.2
Lorenzo De Silvestri,Bologna,0.3,0.1,0.1,0.2
Nicolas Haas,Empoli,0.3,0.1,0.1,0.1
Giulio Maggiore,Salernitana,0.4,0.1,0.1,0.2
Mario Gila,Lazio,0,0,0,0
Federico Bonazzoli,Salernitana,1.3,0.6,0.1,0.6
Roberto Gagliardini,Inter,0.8,0.3,0.1,0.5
Gonzalo Escalante,Cremonese,0.7,0.2,0,0.4
Samuele Vignato,Monza,0.2,0.2,0,0
Luka Romero,Lazio,0.8,0.3,0.2,0.3
Francesco Rossi,Atalanta,0,0,0,0
Benjamin Tahirovic,Roma,0,0,0,0
Joaquín Sosa,Bologna,0.3,0.3,0,0
Yacine Adli,AC Milan,0.3,0.2,0.2,0
Szymon Zurkowski,Spezia,0.7,0.5,0,0.2
Emmanuel Gyasi,Spezia,1,0.1,0.1,0.8
Szymon Zurkowski,Fiorentina,1,0.5,0,0.5
Mattia Valoti,Monza,0.1,0,0,0.1
Kristjan Asllani,Inter,0.6,0.5,0,0.1
Andrea Belotti,Roma,0.6,0,0.1,0.6
Tanguy Ndombélé,Napoli,0.5,0.3,0,0.2
Jeison Murillo,Sampdoria,0.2,0.1,0,0.1
Kaan Ayhan,Sassuolo,0.1,0.1,0,0
Kevin Lasagna,Verona,2,0.7,0.2,1.2
Nicolò Cocetta,Udinese,0,0,0,0
Tommaso Cassandro,Lecce,0,0,0,0
Demba Seck,Torino,0.5,0.1,0,0.4
Simone Romagnoli,Lecce,0.1,0,0,0.1
Ignacio Pussetto,Sampdoria,0.4,0,0,0.4
Alberto Basso,Cremonese,1,0,0,1
Filippo Missori,Roma,0,0,0,0
Toma Basic,Lazio,0.4,0.2,0,0.2
Lukas Vorlicky,Atalanta,0.3,0.3,0,0
Liam Henderson,Empoli,0.5,0.3,0,0.2
Nicolò Zaniolo,Roma,2.2,0.8,0.2,1.1
Kristoffer Askildsen,Lecce,0.5,0.4,0,0.1
Giacomo Quagliata,Cremonese,0.5,0.2,0,0.3
