player_name,team_name,Fouled,Fouls
Samuele Birindelli,Monza,0.5,0.5
Matías Viña,Roma,0.3,1.3
Moise Kean,Juventus,0.6,0.5
Junior Sambia,Salernitana,0.8,0.5
Divock Origi,AC Milan,0.6,0.5
Ruan Tressoldi,Sassuolo,0.6,1.2
Ola Solbakken,Roma,0.5,0.4
Ibrahim Sulemana,Verona,0.2,0.7
Lorenzo Venuti,Fiorentina,0.5,0.4
Domen Crnigoj,Salernitana,0.3,0.9
Andrea Consigli,Sassuolo,0.1,0
Enzo Ebosse,Udinese,0.2,0.5
Abdou Harroui,Sassuolo,0.1,0.6
Alessandro Zanoli,Napoli,0,0
Vincenzo Fiorillo,Salernitana,0,0
Giuseppe Pezzella,Lecce,0.7,1
Ilija Nestorovski,Udinese,1,0.9
Gian Marco Ferrari,Sassuolo,0.9,0.7
Emanuel Vignato,Empoli,0,0.2
Brian Bayeye,Torino,0.5,0.5
Gianluca Pegolo,Sassuolo,0.5,0
Lorenzo Colombo,Lecce,0.5,1.1
Kristian Thorstvedt,Sassuolo,0.7,0.6
Franco Carboni,Monza,0,0.7
Raoul Bellanova,Inter,0.5,0.2
Jaime Báez,Cremonese,0.5,0.5
Eldor Shomurodov,Spezia,0.5,0.6
Yayah Kallon,Verona,1,0.6
Giovanni Simeone,Napoli,0.4,0.3
Andreaw Gravillon,Torino,0.1,1.3
Tolgay Arslan,Udinese,1,0.4
Valerio Verre,Sampdoria,0.7,0.8
Michel Adopo,Torino,0.2,0.7
Lorenzo De Silvestri,Bologna,0.4,0.4
Nicolas Haas,Empoli,0.5,0.8
Giulio Maggiore,Salernitana,0.9,1.3
Mario Gila,Lazio,0.3,0.3
Federico Bonazzoli,Salernitana,1.3,0.8
Roberto Gagliardini,Inter,0.5,1.1
Gonzalo Escalante,Cremonese,0.6,0.7
Samuele Vignato,Monza,0,0
Luka Romero,Lazio,1,0.5
Francesco Rossi,Atalanta,0,0
Benjamin Tahirovic,Roma,0.2,0.5
Joaquín Sosa,Bologna,0.7,1.6
Yacine Adli,AC Milan,0.2,0.7
Szymon Zurkowski,Spezia,1.1,1.5
Emmanuel Gyasi,Spezia,1.1,1.3
Szymon Zurkowski,Fiorentina,0,0.5
Mattia Valoti,Monza,0.8,1
Kristjan Asllani,Inter,0.4,0.3
Andrea Belotti,Roma,1.2,0.7
Tanguy Ndombélé,Napoli,0.8,0.5
Jeison Murillo,Sampdoria,1,0.9
Kaan Ayhan,Sassuolo,0.8,0.4
Kevin Lasagna,Verona,0.8,0.9
Nicolò Cocetta,Udinese,0,0
Tommaso Cassandro,Lecce,0,1
Demba Seck,Torino,0.9,0.4
