player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5
Marios Oikonomou,Sampdoria,31,CB,3(3),220,0,0,3,0,0.5,75.6,0.7,0,6.12,0.5,0.7,0.5,0.5,2.2,0.3,0.7,0,0.0,0.0,0.3,0.0,0.0,0.5,13.7,0.0,0.8,0.0,0.19,-0.19,0.08,3.0,0.06,CB,,,,
Alessandro Cortinovis,Verona,23,CM,0(1),6,0,0,0,0,0.0,80.0,0.0,0,6.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,,,,,,CM,,,,
Antonio Mirante,AC Milan,40,GK,0(1),1,0,0,0,0,0.0,100.0,0.0,0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,,,,,,GK,,,,
Jordan Majchrzak,Roma,19,FW,0(1),13,0,0,0,0,0.0,75.0,1.0,0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,FW,,,,
Alessandro Bianco,Fiorentina,21,CM,2(5),151,0,0,1,0,0.3,87.0,0.3,0,6.12,0.7,0.0,1.0,0.0,0.0,0.1,0.0,0,0.1,0.0,0.6,0.0,0.7,0.3,11.0,0.0,1.0,0.0,0.07,-0.07,0.04,2.0,0.03,CM,,,,
Mert Müldür,Sassuolo,25,RB,1(1),13,0,0,0,0,0.0,100.0,0.0,0,6.12,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,,,,,,RB,,,,
Tommaso Milanese,Cremonese,21,CM,0(2),27,0,0,0,0,0.0,75.0,0.0,0,6.12,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0,1.5,0.5,0.5,0.0,0.5,1.5,6.0,0.5,0.5,0.0,,,,,,CM,,,,
Riccardo Marchizza,Sassuolo,26,LB,3(7),281,0,1,1,0,0.0,81.9,0.5,0,6.11,0.2,0.2,0.7,0.2,0.7,0.2,0.0,0,0.3,0.1,0.0,0.1,0.3,0.2,13.8,0.4,0.4,0.0,,,,,,LB,,,,
Hans Nicolussi Caviglia,Salernitana,23,CM,6(6),585,1,0,2,0,0.4,76.0,0.8,0,6.11,1.3,0.6,1.1,0.0,0.5,0.5,0.0,0,0.2,0.3,0.5,0.0,0.5,0.9,20.2,0.0,1.0,0.0,0.22,0.78,0.03,5.0,0.04,CM,,,,
Roberto Piccoli,Verona,23,FW,2(5),189,0,0,0,0,0.6,61.9,0.4,0,6.11,0.1,0.1,0.5,0.0,0.7,0.2,0.1,0,0.3,0.6,0.2,0.3,0.8,1.3,7.3,0.0,0.0,0.0,1.66,0.34,0.29,12.0,0.14,FW,,,,
Leandro Sanca,Spezia,24,"LAM, RAM",0(4),29,0,0,0,0,0.0,80.0,0.0,0,6.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8,0.0,0.0,0.3,0.3,2.5,0.3,0.0,0.0,,,,,,LAM, RAM,,,
