player_name,team_name,Unsuccessful,Successful,Total Dribbles
Giuseppe Pezzella,Lecce,0.8,0.4,1.2
Ilija Nestorovski,Udinese,0.1,0.1,0.2
Gian Marco Ferrari,Sassuolo,0.1,0,0.1
Emanuel Vignato,Empoli,0,0.2,0.2
Brian Bayeye,Torino,0,1,1
Gianluca Pegolo,Sassuolo,0,0,0
Lorenzo Colombo,Lecce,0.8,0.3,1.1
Kristian Thorstvedt,Sassuolo,0.3,0.2,0.5
Franco Carboni,Monza,1.3,1,2.3
Raoul Bellanova,Inter,0.3,0.4,0.7
Jaime Báez,Cremonese,0.5,0.5,1
Eldor Shomurodov,Spezia,1.1,0.5,1.7
Yayah Kallon,Verona,1,0.4,1.4
Giovanni Simeone,Napoli,0.3,0.3,0.6
Andreaw Gravillon,Torino,0.1,0.1,0.3
Tolgay Arslan,Udinese,0.6,0.4,1
Valerio Verre,Sampdoria,0.6,0.6,1.1
Michel Adopo,Torino,0.3,0.3,0.7
Lorenzo De Silvestri,Bologna,0.1,0.1,0.3
Nicolas Haas,Empoli,0.2,0,0.3
Giulio Maggiore,Salernitana,0.2,0.1,0.3
Mario Gila,Lazio,0,0,0
Federico Bonazzoli,Salernitana,0.5,0.5,1
Roberto Gagliardini,Inter,0.3,0,0.3
Gonzalo Escalante,Cremonese,0.4,0.1,0.6
Samuele Vignato,Monza,0.2,0.6,0.8
Luka Romero,Lazio,1.3,0.3,1.7
Francesco Rossi,Atalanta,0,0,0
Benjamin Tahirovic,Roma,0.1,0.1,0.2
Joaquín Sosa,Bologna,0.1,0.3,0.4
Yacine Adli,AC Milan,0.3,0.7,1
Szymon Zurkowski,Spezia,0.3,0.8,1.1
Emmanuel Gyasi,Spezia,0.9,0.2,1.1
Szymon Zurkowski,Fiorentina,0.5,0,0.5
Mattia Valoti,Monza,0.4,0.2,0.6
Kristjan Asllani,Inter,0.2,0.1,0.3
Andrea Belotti,Roma,0.8,0.2,1.1
Tanguy Ndombélé,Napoli,0.6,0.6,1.2
Jeison Murillo,Sampdoria,0.1,0.1,0.2
Kaan Ayhan,Sassuolo,0,0,0
Kevin Lasagna,Verona,1,0.5,1.5
Nicolò Cocetta,Udinese,0,0,0
Tommaso Cassandro,Lecce,0,0,0
Demba Seck,Torino,0.7,0.8,1.6
Simone Romagnoli,Lecce,0,0,0
Ignacio Pussetto,Sampdoria,0.4,0.2,0.6
Alberto Basso,Cremonese,0,0,0
Filippo Missori,Roma,0.7,0,0.7
Toma Basic,Lazio,0.2,0.1,0.3
Lukas Vorlicky,Atalanta,1,1.3,2.3
Liam Henderson,Empoli,0.2,0,0.2
Nicolò Zaniolo,Roma,2.8,0.8,3.6
Kristoffer Askildsen,Lecce,0.1,0.1,0.3
Giacomo Quagliata,Cremonese,0.8,0.5,1.3
Florian Thauvin,Udinese,1.4,0.6,2.1
Alessio Zerbin,Napoli,0.3,0.2,0.5
Pietro Pellegri,Torino,0.7,0.2,0.9
Petko Hristov,Spezia,0.3,0,0.3
Andrea Barberis,Monza,0,0,0
Emil Ceïde,Sassuolo,0.9,0.4,1.3
Grégoire Defrel,Sassuolo,0.5,0.3,0.8
Viktor Kovalenko,Spezia,0.1,0.2,0.3
Salvatore Molina,Monza,0.4,0.4,0.8
Tiémoué Bakayoko,AC Milan,0.7,0.3,1
Tio Cipot,Spezia,0.5,0.4,0.9
Emanuel Vignato,Bologna,0.1,0.1,0.3
Erik Botheim,Salernitana,0.2,0.1,0.3
Simone Pafundi,Udinese,0.6,0.3,0.9
Emirhan Ilkhan,Torino,0.3,0.3,0.5
Youssef Maleh,Lecce,0.4,0.1,0.5
Ronaldo Vieira,Sampdoria,0.1,0.1,0.2
Michel Aebischer,Bologna,0.2,0.2,0.4
Agustín Álvarez,Sassuolo,0.5,0.3,0.8
Mato Jajalo,Udinese,0.3,0.3,0.7
Warren Bondo,Monza,0.3,0.8,1
Diego Demme,Napoli,0.3,0.3,0.6
Jesé,Sampdoria,0.2,0.3,0.5
Niklas Pyyhtiä,Bologna,0,0,0
Francesco Caputo,Sampdoria,0.4,0.2,0.6
Marash Kumbulla,Roma,0,0,0
Aster Vranckx,AC Milan,0.4,0.3,0.8
Ivan Radovanovic,Salernitana,0.1,0,0.1
Kristijan Bistrovic,Lecce,0,0.1,0.1
