player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Rui Patrício,Roma,0,0,0
Alex Cordaz,Inter,0,0,0
Michele Castagnetti,Cremonese,0.1,0,0.4
Jayden Braaf,Verona,0,0,0.2
Kelvin Amian,Spezia,0.4,0.4,0.7
Joshua Zirkzee,Bologna,0.1,0,0.2
Milan Skriniar,Inter,0.6,0,0.2
Abdelhamid Sabiri,Sampdoria,0.2,0,0.8
Filip Djuricic,Sampdoria,0.2,0,0.4
Daniel Maldini,Spezia,0,0,0.5
Tommaso De Nipoti,Atalanta,0,0,0
Robin Gosens,Inter,0.1,0.1,0.4
William Troost-Ekong,Salernitana,0.4,0,0.3
Giacomo Raspadori,Napoli,0,0.1,0.4
Bartosz Bereszynski,Sampdoria,0.3,0.3,0.9
Sam Lammers,Sampdoria,0.2,0,0.4
Salvatore Esposito,Spezia,0.1,0.1,0.5
Liberato Cacace,Empoli,0.6,0.4,0.7
Assan Ceesay,Lecce,0.1,0.1,0.4
Davide Faraoni,Verona,0.5,0.1,0.8
Karol Linetty,Torino,0.3,0.1,0.6
Paul Pogba,Juventus,0,0,0
Marcos Antônio,Lazio,0.1,0.1,0.3
Petar Stojanovic,Empoli,0.2,0.3,0.4
Koray Günter,Sampdoria,0.5,0.1,0.5
Koni De Winter,Empoli,0.9,0.1,0.1
Tommaso Pobega,AC Milan,0.2,0,0.4
Yann Karamoh,Torino,0,0,0.2
Zlatan Ibrahimovic,AC Milan,0.3,0,0
Leandro Paredes,Juventus,0,0.1,0.3
Nedim Bajrami,Sassuolo,0.1,0.1,0.4
Filippo Ranocchia,Monza,0.1,0,0.3
Adrien Tameze,Verona,0.4,0.1,1
Sergiño Dest,AC Milan,0,0.1,0.1
Dylan Bronn,Salernitana,0.8,0.1,0.5
Jean-Victor Makengo,Udinese,0.1,0,0.4
Alfred Duncan,Fiorentina,0,0,0.4
Mattia De Sciglio,Juventus,0.2,0.2,0.4
Mattia Caldara,Spezia,0.8,0.1,0.4
Gary Medel,Bologna,0.3,0.1,0.2
Tomás Rincón,Sampdoria,0.2,0,0.9
Miguel Veloso,Verona,0.3,0.1,0.9
Fabio Miretti,Juventus,0,0.1,0.7
Luca Zanimacchia,Cremonese,0,0.1,0.6
Joan González,Lecce,0.2,0.1,0.8
Riccardo Sottil,Fiorentina,0,0,0.1
Domagoj Bradaric,Salernitana,0.2,0.2,0.5
Filippo Terracciano,Verona,0.2,0.1,0.2
Joaquín Correa,Inter,0,0,0.1
Thomas Henry,Verona,0.1,0,0.3
Antonín Barák,Fiorentina,0.1,0,0.5
Marko Pjaca,Empoli,0,0,0.2
Pedro Obiang,Sassuolo,0.1,0.1,0.6
Cyriel Dessers,Cremonese,0.1,0,0.5
Andrea Pinamonti,Sassuolo,0.1,0,0.5
Petar Zovko,Spezia,0,0,0
Charles De Ketelaere,AC Milan,0.1,0,0.4
Emil Bohinen,Salernitana,0.3,0.1,0.8
Brandon Soppy,Atalanta,0,0.2,0.7
Fabio Depaoli,Verona,0.2,0.1,0.8
Alex Ferrari,Sampdoria,0.8,0.1,0.9
Jeremy Toljan,Sassuolo,0.5,0.8,0.5
Federico Di Francesco,Lecce,0,0,0.4
Albin Ekdal,Spezia,0.1,0,0.7
Paolo Ghiglione,Cremonese,0.3,0,0.3
Lameck Banda,Lecce,0.1,0,0.6
Diego Coppola,Verona,0.3,0.1,0.7
Dimitrios Nikolaou,Spezia,0.7,0.1,0.4
David Zima,Torino,0.2,0,0.6
Hamed Traorè,Sassuolo,0,0,0.4
Roberto Piccoli,Empoli,0.1,0,0.2
Samuel Iling-Junior,Juventus,0.1,0,0.3
Martin Hongla,Verona,0.1,0.1,0.7
José Machín,Monza,0.1,0.1,0.4
Juan Cabal,Verona,0.5,0.2,0.3
Adam Ounas,Napoli,0,0,0
Cristian Buonaiuto,Cremonese,0,0,0.4
Gianluca Gaetano,Napoli,0,0,0.1
Mady Camara,Roma,0.1,0,0.3
Michaël Cuisance,Sampdoria,0,0,0.8
Rick Karsdorp,Roma,0,0,0
Jacopo Fazzini,Empoli,0.1,0.3,0.6
Samuel Ntanda,Sampdoria,0,0,0
Daniel Ciofani,Cremonese,0,0,0.2
Marvin Zeegelaar,Udinese,0,0,0.3
Marlon,Monza,0.1,0.1,0.3
Nedim Bajrami,Empoli,0,0.1,0.3
Adolfo Gaich,Verona,0.1,0,0.3
Edoardo Bove,Roma,0,0.2,0.6
Festy Ebosele,Udinese,0,0.1,0.3
Luca Pellegrini,Lazio,0,0.1,0.4
Matteo Gabbia,AC Milan,0.3,0,0.4
Daniele Verde,Spezia,0,0,0.2
Martín Satriano,Empoli,0,0.1,0.2
Axel Guessand,Udinese,0,0,1
Pietro Ceccaroni,Lecce,0.5,0,0
Charles Pickel,Cremonese,0.2,0.2,1
Samuele Birindelli,Monza,0.3,0.2,0.6
Matías Viña,Roma,0.3,0.7,1.3
Moise Kean,Juventus,0,0,0.1
Junior Sambia,Salernitana,0.1,0.2,0.3
Divock Origi,AC Milan,0.1,0,0.1
Ruan Tressoldi,Sassuolo,0.7,0.1,0.5
Ola Solbakken,Roma,0,0,0.1
Ibrahim Sulemana,Verona,0.1,0.1,0.4
Lorenzo Venuti,Fiorentina,0.1,0.1,0.3
Domen Crnigoj,Salernitana,0.1,0,1.1
Andrea Consigli,Sassuolo,0,0,0
Enzo Ebosse,Udinese,0.3,0.3,1.1
Abdou Harroui,Sassuolo,0,0,0.2
Alessandro Zanoli,Napoli,0,1,0
Vincenzo Fiorillo,Salernitana,0,0,0
Giuseppe Pezzella,Lecce,0.2,0.3,0.5
Ilija Nestorovski,Udinese,0,0,0.2
Gian Marco Ferrari,Sassuolo,0.6,0,0.3
Emanuel Vignato,Empoli,0,0,0
Brian Bayeye,Torino,0.5,0,0
Gianluca Pegolo,Sassuolo,0,0,0
Lorenzo Colombo,Lecce,0,0,0.7
Kristian Thorstvedt,Sassuolo,0.2,0.1,0.5
Franco Carboni,Monza,0,0,1
Raoul Bellanova,Inter,0.1,0.2,0.3
Jaime Báez,Cremonese,0,0,0
Eldor Shomurodov,Spezia,0.1,0,0.3
Yayah Kallon,Verona,0,0.1,0.5
Giovanni Simeone,Napoli,0,0,0
Andreaw Gravillon,Torino,0.3,0,0.3
Tolgay Arslan,Udinese,0,0,0.5
Valerio Verre,Sampdoria,0.1,0,0.4
Michel Adopo,Torino,0.2,0,0
Lorenzo De Silvestri,Bologna,0.3,0.3,0.1
Nicolas Haas,Empoli,0.2,0.1,0.5
Giulio Maggiore,Salernitana,0.3,0,0.9
Mario Gila,Lazio,0,0.3,0
Federico Bonazzoli,Salernitana,0,0,0.3
Roberto Gagliardini,Inter,0.3,0.2,0.5
Gonzalo Escalante,Cremonese,0.1,0,0.7
Samuele Vignato,Monza,0,0,0.2
Luka Romero,Lazio,0,0,0.7
Francesco Rossi,Atalanta,0,0,0
Benjamin Tahirovic,Roma,0.4,0,0.5
Joaquín Sosa,Bologna,0.3,0.1,0.2
Yacine Adli,AC Milan,0,0,0.3
Szymon Zurkowski,Spezia,0.2,0,0.7
Emmanuel Gyasi,Spezia,0.2,0.1,0.5
Szymon Zurkowski,Fiorentina,0,0,0
Mattia Valoti,Monza,0.2,0,0.6
Kristjan Asllani,Inter,0.1,0,0.1
Andrea Belotti,Roma,0,0,0.3
Tanguy Ndombélé,Napoli,0,0,0.3
Jeison Murillo,Sampdoria,0.7,0,0.4
Kaan Ayhan,Sassuolo,0.4,0.1,0.1
Kevin Lasagna,Verona,0,0.1,0.6
Nicolò Cocetta,Udinese,1,0,0
Tommaso Cassandro,Lecce,1,0,0
Demba Seck,Torino,0.1,0,0.1
Simone Romagnoli,Lecce,0.1,0.1,0.4
Ignacio Pussetto,Sampdoria,0,0,0.8
Alberto Basso,Cremonese,0,0,0
Filippo Missori,Roma,0,0.7,0
Toma Basic,Lazio,0,0,0.4
Lukas Vorlicky,Atalanta,0,0,0
Liam Henderson,Empoli,0.1,0,0.3
Nicolò Zaniolo,Roma,0,0,0.8
Kristoffer Askildsen,Lecce,0.2,0,0.5
Giacomo Quagliata,Cremonese,0.1,0.1,0.3
Florian Thauvin,Udinese,0,0,0.3
Alessio Zerbin,Napoli,0,0,0.2
Pietro Pellegri,Torino,0.1,0,0.2
Petko Hristov,Spezia,0.2,0,0.2
Andrea Barberis,Monza,0,0,0
Emil Ceïde,Sassuolo,0.1,0,0.1
Grégoire Defrel,Sassuolo,0,0,0.4
Viktor Kovalenko,Spezia,0.1,0,0.5
Salvatore Molina,Monza,0.4,0.2,0.4
Tiémoué Bakayoko,AC Milan,0,0,0
Tio Cipot,Spezia,0,0,0
Emanuel Vignato,Bologna,0,0,0.3
Erik Botheim,Salernitana,0,0,0.1
Simone Pafundi,Udinese,0,0,0
Emirhan Ilkhan,Torino,0.3,0,0.5
Youssef Maleh,Lecce,0.1,0.1,1.1
Ronaldo Vieira,Sampdoria,0.3,0,0.6
Michel Aebischer,Bologna,0.1,0,0.4
Agustín Álvarez,Sassuolo,0,0,0.2
Mato Jajalo,Udinese,0,0,0
Warren Bondo,Monza,0,0,0.3
Diego Demme,Napoli,0,0,0.3
Jesé,Sampdoria,0.1,0,0.2
Niklas Pyyhtiä,Bologna,0.2,0,0
Francesco Caputo,Sampdoria,0,0,0
Marash Kumbulla,Roma,0.1,0,0.1
Aster Vranckx,AC Milan,0.1,0,0.2
Ivan Radovanovic,Salernitana,0.3,0,0.6
Kristijan Bistrovic,Lecce,0,0,0.3
Nicolò Rovella,Juventus,0,0,0
Fabio Quagliarella,Sampdoria,0,0,0.2
Salvador Ferrer,Spezia,0.2,0,0.4
Gerard Yepes,Sampdoria,0,0,0.6
Jack Hendry,Cremonese,0.3,0,0.3
Matteo Lovato,Salernitana,0.3,0,0.2
Emirhan Ilkhan,Sampdoria,0.1,0,0.5
Mattia Destro,Empoli,0,0,0.1
Nicola Murru,Sampdoria,0.4,0.1,0.5
Valentin Antov,Monza,0.4,0,0.1
João Moutinho,Spezia,0.3,0,0
Antonio Iervolino,Salernitana,0,0,0
Giulio Donati,Monza,0.1,0.2,0.2
Thórir Helgason,Lecce,0.1,0,0.2
Youssef Maleh,Fiorentina,0,0.1,0.7
Matteo Cancellieri,Lazio,0,0,0.2
Marios Oikonomou,Sampdoria,0.7,0,0.2
Alessandro Cortinovis,Verona,0,0,1
Antonio Mirante,AC Milan,0,0,0
Jordan Majchrzak,Roma,0,0,0
Alessandro Bianco,Fiorentina,0,0,0.1
Mert Müldür,Sassuolo,0,0,0
Tommaso Milanese,Cremonese,0.5,0,0
Riccardo Marchizza,Sassuolo,0,0.1,0.2
Hans Nicolussi Caviglia,Salernitana,0,0.1,0.8
Roberto Piccoli,Verona,0,0,0.3
Leandro Sanca,Spezia,0,0,0
Marco D'Alessandro,Monza,0,0.1,0.3
Daniele Montevago,Sampdoria,0.2,0,0.2
Eldor Shomurodov,Roma,0,0,0.2
Ronaldo Vieira,Torino,0,0,0
Gonzalo Villar,Sampdoria,0.2,0.1,0.5
Diego Valencia,Salernitana,0.1,0,0.8
Flavio Paoletti,Sampdoria,0,0.1,0.1
Lorenzo Malagrida,Sampdoria,0,0,0.2
Tommaso Barbieri,Juventus,0,0.3,1
Christian Gytkjær,Monza,0,0,0.2
Filippo Romagna,Sassuolo,0.5,0,0
Marcin Listkowski,Lecce,0,0,0
Joel Voelkerling Persson,Lecce,0,0,0.1
Vivaldo Semedo,Udinese,0,0,0.2
Felix Afena-Gyan,Cremonese,0,0.1,0.2
Karim Zedadka,Napoli,0,0,0
