player_name,team_name,UnsuccessfulTouches,Dispossessed
Matteo Bianchetti,Cremonese,0.2,0.1
Maxime Lopez,Sassuolo,0.6,0.4
Duván Zapata,Atalanta,2.1,1.8
Joakim Mæhle,Atalanta,1.1,0.7
Emanuel Aiwu,Cremonese,0.3,0.2
Bartosz Bereszynski,Napoli,0.3,0.3
Matías Soulé,Juventus,0.8,0.5
Nicola Sansone,Bologna,1.3,0.8
Luis Muriel,Atalanta,1.7,0.9
Giangiacomo Magnani,Verona,0.3,0.1
Koffi Djidji,Torino,0.2,0.2
Nadir Zortea,Sassuolo,1.2,0.5
Gianluca Caprari,Monza,2.1,0.9
Leonardo Bonucci,Juventus,0.2,0.1
Josh Doig,Verona,1.5,0.7
Sam Lammers,Empoli,2.6,1
Nemanja Radonjic,Torino,1.9,1.2
Sebastian Walukiewicz,Empoli,0.1,0.1
Adama Soumaoro,Bologna,0.3,0
Bruno Amione,Sampdoria,0.8,0
Josip Brekalo,Fiorentina,1.2,1
Grigoris Kastanos,Salernitana,0.6,0.7
Adam Masina,Udinese,0.3,0.1
Roberto Soriano,Bologna,0.8,0.6
Zeki Çelik,Roma,0.7,0.5
Federico Ceccherini,Verona,0.6,0.4
Pablo Galdames,Cremonese,0.9,0.4
Mërgim Vojvoda,Torino,0.7,0.6
Luca Caldirola,Monza,0.2,0
Marco Benassi,Fiorentina,0.5,0.5
Enzo Barrenechea,Juventus,0.3,0.3
Riccardo Saponara,Fiorentina,1,0.7
Marco Benassi,Cremonese,0.8,0.7
Emanuele Valeri,Cremonese,1.7,0.7
Igor Julio,Fiorentina,0.3,0.4
Oliver Abildgaard,Verona,0.5,0.1
Kingsley Ehizibue,Udinese,0.7,0.4
Tonny Vilhena,Salernitana,1.1,0.7
Ante Rebic,AC Milan,1.1,0.7
Bram Nuytinck,Udinese,0.2,0
Danilo D'Ambrosio,Inter,0.5,0.1
Sofyan Amrabat,Fiorentina,0.7,0.6
Harry Winks,Sampdoria,1.3,0.8
Kevin Bonifazi,Bologna,0.7,0.4
Rui Patrício,Roma,0.1,0
Alex Cordaz,Inter,0,0
Michele Castagnetti,Cremonese,0.6,0.1
Jayden Braaf,Verona,2.2,2.5
Kelvin Amian,Spezia,0.8,0.6
Joshua Zirkzee,Bologna,1.9,1.3
Milan Skriniar,Inter,0.7,0.1
Abdelhamid Sabiri,Sampdoria,1.9,1.6
Filip Djuricic,Sampdoria,1.8,1.5
Daniel Maldini,Spezia,1.3,0.4
Tommaso De Nipoti,Atalanta,0,0
Robin Gosens,Inter,0.5,0.1
William Troost-Ekong,Salernitana,0.2,0
Giacomo Raspadori,Napoli,1.2,0.6
Bartosz Bereszynski,Sampdoria,0.8,0.3
Sam Lammers,Sampdoria,2.8,0.9
Salvatore Esposito,Spezia,0.7,0.3
Liberato Cacace,Empoli,0.5,0.6
Assan Ceesay,Lecce,1.9,0.7
Davide Faraoni,Verona,0.5,0.2
Karol Linetty,Torino,0.8,0.3
Paul Pogba,Juventus,0.3,0.7
Marcos Antônio,Lazio,0.4,0.3
Petar Stojanovic,Empoli,0.4,0.5
Koray Günter,Sampdoria,0.3,0
Koni De Winter,Empoli,0.6,0.2
Tommaso Pobega,AC Milan,0.5,0.3
Yann Karamoh,Torino,1.6,0.6
Zlatan Ibrahimovic,AC Milan,1.3,0.5
Leandro Paredes,Juventus,0.2,0.2
Nedim Bajrami,Sassuolo,1.1,0.5
Filippo Ranocchia,Monza,0.7,0.7
Adrien Tameze,Verona,1.1,0.9
Sergiño Dest,AC Milan,0.4,0.6
Dylan Bronn,Salernitana,0.3,0.1
Jean-Victor Makengo,Udinese,0.9,0.7
Alfred Duncan,Fiorentina,0.7,0.6
Mattia De Sciglio,Juventus,0.5,0.4
Mattia Caldara,Spezia,0.5,0.2
Gary Medel,Bologna,0.2,0.1
Tomás Rincón,Sampdoria,0.8,0.9
Miguel Veloso,Verona,0.3,0.3
Fabio Miretti,Juventus,1.5,1
Luca Zanimacchia,Cremonese,1.3,0.8
Joan González,Lecce,1.4,0.7
Riccardo Sottil,Fiorentina,1.6,0.7
Domagoj Bradaric,Salernitana,0.9,0.3
Filippo Terracciano,Verona,0.9,0.2
Joaquín Correa,Inter,1.1,0.6
Thomas Henry,Verona,3.3,1.6
Antonín Barák,Fiorentina,1.1,0.9
Marko Pjaca,Empoli,0.9,1.1
Pedro Obiang,Sassuolo,0.4,0.1
Cyriel Dessers,Cremonese,2.3,0.8
Andrea Pinamonti,Sassuolo,1.9,1.8
Petar Zovko,Spezia,0,0
Charles De Ketelaere,AC Milan,0.8,0.9
Emil Bohinen,Salernitana,0.4,0.4
Brandon Soppy,Atalanta,1.1,0.5
Fabio Depaoli,Verona,1.2,0.6
Alex Ferrari,Sampdoria,0.8,0.3
Jeremy Toljan,Sassuolo,0.8,0.5
Federico Di Francesco,Lecce,1.6,0.8
Albin Ekdal,Spezia,1,0.5
Paolo Ghiglione,Cremonese,0.4,0.3
Lameck Banda,Lecce,1.9,1
Diego Coppola,Verona,0.4,0.1
Dimitrios Nikolaou,Spezia,0.5,0.3
David Zima,Torino,0.1,0.2
Hamed Traorè,Sassuolo,1.5,2.1
Roberto Piccoli,Empoli,1.3,0.8
Samuel Iling-Junior,Juventus,0.8,0.3
Martin Hongla,Verona,0.4,0.3
José Machín,Monza,0.6,0.5
Juan Cabal,Verona,0.4,0.3
Adam Ounas,Napoli,0,0
Cristian Buonaiuto,Cremonese,1.2,1
Gianluca Gaetano,Napoli,0.3,0.5
Mady Camara,Roma,0.7,0.4
Michaël Cuisance,Sampdoria,1.3,1.3
Rick Karsdorp,Roma,0.8,0.5
Jacopo Fazzini,Empoli,1.1,1.1
Samuel Ntanda,Sampdoria,0,0
Daniel Ciofani,Cremonese,0.8,0.3
Marvin Zeegelaar,Udinese,1.1,0.6
Marlon,Monza,0.2,0
Nedim Bajrami,Empoli,1.3,0.9
Adolfo Gaich,Verona,1.4,0.6
Edoardo Bove,Roma,1.1,0.8
Festy Ebosele,Udinese,1,0.5
Luca Pellegrini,Lazio,0.6,0.3
Matteo Gabbia,AC Milan,0.1,0
Daniele Verde,Spezia,0.7,0.5
Martín Satriano,Empoli,1.7,1.5
Axel Guessand,Udinese,1,0
Pietro Ceccaroni,Lecce,0,0
Charles Pickel,Cremonese,1,0.5
Samuele Birindelli,Monza,0.8,0.5
Matías Viña,Roma,1,0
Moise Kean,Juventus,1,1
Junior Sambia,Salernitana,0.6,0.4
Divock Origi,AC Milan,1.4,0.9
Ruan Tressoldi,Sassuolo,0.2,0.2
Ola Solbakken,Roma,1.1,0.9
Ibrahim Sulemana,Verona,0.6,0.6
Lorenzo Venuti,Fiorentina,0.7,0.1
Domen Crnigoj,Salernitana,1.9,0.1
Andrea Consigli,Sassuolo,0,0
Enzo Ebosse,Udinese,0.4,0.2
Abdou Harroui,Sassuolo,0.5,0.6
Alessandro Zanoli,Napoli,0,0
Vincenzo Fiorillo,Salernitana,0,0
Giuseppe Pezzella,Lecce,0.8,0.7
Ilija Nestorovski,Udinese,0.7,0.1
Gian Marco Ferrari,Sassuolo,0.3,0.1
Emanuel Vignato,Empoli,0.4,0
Brian Bayeye,Torino,1.5,1
Gianluca Pegolo,Sassuolo,0,0
Lorenzo Colombo,Lecce,2.4,1.2
Kristian Thorstvedt,Sassuolo,0.6,0.4
Franco Carboni,Monza,0,0
Raoul Bellanova,Inter,0.2,0.3
Jaime Báez,Cremonese,0.5,0
Eldor Shomurodov,Spezia,2.5,1.1
Yayah Kallon,Verona,1.3,0.7
Giovanni Simeone,Napoli,1.1,0.5
Andreaw Gravillon,Torino,0.4,0.1
Tolgay Arslan,Udinese,0.7,0.5
Valerio Verre,Sampdoria,1.2,1.1
Michel Adopo,Torino,0.4,0.3
Lorenzo De Silvestri,Bologna,0.4,0.3
Nicolas Haas,Empoli,0.7,0.4
Giulio Maggiore,Salernitana,1.1,0.3
Mario Gila,Lazio,0.3,0.3
Federico Bonazzoli,Salernitana,1.8,0.5
Roberto Gagliardini,Inter,0.5,0.1
Gonzalo Escalante,Cremonese,0.8,0.8
Samuele Vignato,Monza,0.4,0
