player_name,team_name,Total_Interception
Benjamin Tahirovic,Roma,0.3
Joaquín Sosa,Bologna,0.6
Yacine Adli,AC Milan,0.2
Szymon Zurkowski,Spezia,0.4
Emmanuel Gyasi,Spezia,0.2
Szymon Zurkowski,Fiorentina,0
Mattia Valoti,Monza,0.2
Kristjan Asllani,Inter,0.3
Andrea Belotti,Roma,0.1
Tanguy Ndombélé,Napoli,0.2
Jeison Murillo,Sampdoria,0.4
Kaan Ayhan,Sassuolo,0.5
Kevin Lasagna,Verona,0.2
Nicolò Cocetta,Udinese,1
Tommaso Cassandro,Lecce,0
Demba Seck,Torino,0.1
Simone Romagnoli,Lecce,0.1
Ignacio Pussetto,Sampdoria,0
Alberto Basso,Cremonese,0
Filippo Missori,Roma,1
Toma Basic,Lazio,0.3
Lukas Vorlicky,Atalanta,0.3
Liam Henderson,Empoli,0.4
Nicolò Zaniolo,Roma,0.2
Kristoffer Askildsen,Lecce,0.5
Giacomo Quagliata,Cremonese,0.6
Florian Thauvin,Udinese,0.1
Alessio Zerbin,Napoli,0.2
Pietro Pellegri,Torino,0
Petko Hristov,Spezia,0.4
Andrea Barberis,Monza,0.9
Emil Ceïde,Sassuolo,0.1
Grégoire Defrel,Sassuolo,0.1
Viktor Kovalenko,Spezia,0.2
Salvatore Molina,Monza,0.2
Tiémoué Bakayoko,AC Milan,0
Tio Cipot,Spezia,0
Emanuel Vignato,Bologna,0.4
Erik Botheim,Salernitana,0
Simone Pafundi,Udinese,0.1
Emirhan Ilkhan,Torino,0.5
Youssef Maleh,Lecce,0.3
Ronaldo Vieira,Sampdoria,0.8
Michel Aebischer,Bologna,0.2
Agustín Álvarez,Sassuolo,0.1
Mato Jajalo,Udinese,0
Warren Bondo,Monza,0
Diego Demme,Napoli,0
Jesé,Sampdoria,0.1
Niklas Pyyhtiä,Bologna,0.2
Francesco Caputo,Sampdoria,0.1
Marash Kumbulla,Roma,0.6
Aster Vranckx,AC Milan,0.2
Ivan Radovanovic,Salernitana,0.7
Kristijan Bistrovic,Lecce,0
Nicolò Rovella,Juventus,0
Fabio Quagliarella,Sampdoria,0
Salvador Ferrer,Spezia,0.2
Gerard Yepes,Sampdoria,0.8
Jack Hendry,Cremonese,0.3
Matteo Lovato,Salernitana,0.8
Emirhan Ilkhan,Sampdoria,0
Mattia Destro,Empoli,0.1
Nicola Murru,Sampdoria,0.5
Valentin Antov,Monza,0.4
João Moutinho,Spezia,0
Antonio Iervolino,Salernitana,0
Giulio Donati,Monza,0.4
Thórir Helgason,Lecce,0.3
Youssef Maleh,Fiorentina,0.1
Matteo Cancellieri,Lazio,0.1
Marios Oikonomou,Sampdoria,0.7
Alessandro Cortinovis,Verona,0
Antonio Mirante,AC Milan,0
Jordan Majchrzak,Roma,0
Alessandro Bianco,Fiorentina,0
Mert Müldür,Sassuolo,0
Tommaso Milanese,Cremonese,0
Riccardo Marchizza,Sassuolo,0.2
Hans Nicolussi Caviglia,Salernitana,0.6
Roberto Piccoli,Verona,0
Leandro Sanca,Spezia,0
Marco D'Alessandro,Monza,0.1
Daniele Montevago,Sampdoria,0
Eldor Shomurodov,Roma,0.2
Ronaldo Vieira,Torino,0
Gonzalo Villar,Sampdoria,0.3
Diego Valencia,Salernitana,0.1
Flavio Paoletti,Sampdoria,0.4
Lorenzo Malagrida,Sampdoria,0
Tommaso Barbieri,Juventus,0
Christian Gytkjær,Monza,0
Filippo Romagna,Sassuolo,0
Marcin Listkowski,Lecce,0.6
Joel Voelkerling Persson,Lecce,0
Vivaldo Semedo,Udinese,0
Felix Afena-Gyan,Cremonese,0
Karim Zedadka,Napoli,0
Valentín Carboni,Inter,0
David Strelec,Spezia,0
Antonio Raimondo,Bologna,0
Julius Beck,Spezia,0
Pablo Rodríguez,Lecce,0
Raimonds Krollis,Spezia,0
Gvidas Gineitis,Torino,0
Samuel Di Carmine,Cremonese,0
Leonardo Buta,Udinese,0
Mattia Zanotti,Inter,0
Deyovaisio Zeefuik,Verona,0
Mert Çetin,Lecce,1
Ajdin Hrustic,Verona,0
Antonín Barák,Verona,0
Duccio Degli Innocenti,Empoli,1
Herculano Nabian,Empoli,0
Marco Bertini,Lazio,0
Mihailo Ivanovic,Sampdoria,0
Niccolò Pisilli,Roma,0
Stefan Radu,Lazio,0
Telasco Segovia,Sampdoria,0
Jacopo Sala,Spezia,0.2
Emmanuel Ekong,Empoli,0
Franck Ribéry,Salernitana,0
Jacopo Segre,Torino,0
Mikael Ellertsson,Spezia,0.2
Federico Marchetti,Spezia,0
Andrea Carboni,Monza,0.8
Julian Kristoffersen,Salernitana,0
Christian Acella,Cremonese,0
Samir Ujkani,Empoli,0
Lorenzo Tonelli,Empoli,0
Kastriot Dermaku,Lecce,0
Manuel De Luca,Sampdoria,0
Andrea Conti,Sampdoria,0
Brandon Soppy,Udinese,1
Luca Marrone,Monza,0
Giacomo Raspadori,Sassuolo,0
Marko Lazetic,AC Milan,0
Bruno Amione,Verona,0
Alessio Cragno,Monza,0
Luís Maximiano,Lazio,0
Alessandro Russo,Sassuolo,0
