player_name,team_name,Total_Aerial,Won,Lost
Michele Castagnetti,Cremonese,0.9,0.3,0.5
Jayden Braaf,Verona,0.8,0,0.8
Kelvin Amian,Spezia,2.3,1.1,1.2
Joshua Zirkzee,Bologna,1.9,0.6,1.3
Milan Skriniar,Inter,1.7,0.8,0.9
Abdelhamid Sabiri,Sampdoria,3.3,1.7,1.6
Filip Djuricic,Sampdoria,1.4,0.5,0.9
Daniel Maldini,Spezia,1.6,0.7,0.9
Tommaso De Nipoti,Atalanta,1,1,0
Robin Gosens,Inter,1,0.6,0.4
William Troost-Ekong,Salernitana,3,2,1
Giacomo Raspadori,Napoli,0.4,0.1,0.3
Bartosz Bereszynski,Sampdoria,1.9,1.2,0.7
Sam Lammers,Sampdoria,3.7,1.6,2.1
Salvatore Esposito,Spezia,0.7,0.5,0.3
Liberato Cacace,Empoli,2.3,0.6,1.8
Assan Ceesay,Lecce,4.2,1.9,2.4
Davide Faraoni,Verona,1.5,0.6,0.9
Karol Linetty,Torino,1.6,0.8,0.8
Paul Pogba,Juventus,1.7,1.2,0.5
Marcos Antônio,Lazio,0.3,0,0.3
Petar Stojanovic,Empoli,0.4,0.1,0.3
Koray Günter,Sampdoria,3.3,2.4,0.9
Koni De Winter,Empoli,1.9,1.1,0.8
Tommaso Pobega,AC Milan,1.7,0.7,1.1
Yann Karamoh,Torino,1.5,0.3,1.1
Zlatan Ibrahimovic,AC Milan,3,2,1
Leandro Paredes,Juventus,0.3,0.2,0.1
Nedim Bajrami,Sassuolo,0.3,0.1,0.2
Filippo Ranocchia,Monza,0.6,0.1,0.4
Adrien Tameze,Verona,1.6,0.7,0.9
Sergiño Dest,AC Milan,0.5,0.4,0.1
Dylan Bronn,Salernitana,2.4,1.4,1
Jean-Victor Makengo,Udinese,0.4,0.3,0.1
Alfred Duncan,Fiorentina,0.6,0.4,0.3
Mattia De Sciglio,Juventus,1.2,0.6,0.6
Mattia Caldara,Spezia,3,1.8,1.3
Gary Medel,Bologna,1,0.5,0.5
Tomás Rincón,Sampdoria,1.5,1,0.5
Miguel Veloso,Verona,1.3,0.6,0.6
Fabio Miretti,Juventus,1.1,0.4,0.7
Luca Zanimacchia,Cremonese,0.9,0.2,0.7
Joan González,Lecce,2.8,0.9,1.9
Riccardo Sottil,Fiorentina,0.4,0.2,0.3
Domagoj Bradaric,Salernitana,1.3,0.5,0.8
Filippo Terracciano,Verona,1.8,0.8,1
Joaquín Correa,Inter,0.6,0.2,0.5
Thomas Henry,Verona,5.4,2.9,2.5
Antonín Barák,Fiorentina,1.6,0.6,1
Marko Pjaca,Empoli,0.8,0.4,0.4
Pedro Obiang,Sassuolo,2.2,1,1.2
Cyriel Dessers,Cremonese,2.5,0.6,1.8
Andrea Pinamonti,Sassuolo,3.6,1.1,2.5
Petar Zovko,Spezia,0,0,0
Charles De Ketelaere,AC Milan,1.5,0.6,0.9
Emil Bohinen,Salernitana,1.1,0.5,0.6
Brandon Soppy,Atalanta,0.5,0.3,0.1
Fabio Depaoli,Verona,2,0.8,1.3
Alex Ferrari,Sampdoria,3,1.8,1.3
Jeremy Toljan,Sassuolo,1,0.3,0.7
Federico Di Francesco,Lecce,0.8,0.2,0.6
Albin Ekdal,Spezia,1.8,1.2,0.7
Paolo Ghiglione,Cremonese,0.9,0.3,0.5
Lameck Banda,Lecce,1.1,0.2,0.9
Diego Coppola,Verona,4.3,2.5,1.8
Dimitrios Nikolaou,Spezia,1.6,0.8,0.8
David Zima,Torino,2.7,1.7,1
Hamed Traorè,Sassuolo,0.7,0.3,0.5
Roberto Piccoli,Empoli,3.4,1.4,2
Samuel Iling-Junior,Juventus,0.3,0.1,0.3
Martin Hongla,Verona,1.4,0.6,0.9
José Machín,Monza,0.5,0.2,0.3
Juan Cabal,Verona,3,1.6,1.4
Adam Ounas,Napoli,0.5,0.5,0
Cristian Buonaiuto,Cremonese,1,0.2,0.8
Gianluca Gaetano,Napoli,0,0,0
Mady Camara,Roma,1.5,1,0.5
Michaël Cuisance,Sampdoria,1.4,0.4,1
Rick Karsdorp,Roma,0.5,0.4,0.2
Jacopo Fazzini,Empoli,2.1,0.7,1.4
Samuel Ntanda,Sampdoria,0,0,0
Daniel Ciofani,Cremonese,3.2,1.1,2.1
Marvin Zeegelaar,Udinese,1.4,1.1,0.3
Marlon,Monza,2.2,1.4,0.8
Nedim Bajrami,Empoli,0.5,0.1,0.4
Adolfo Gaich,Verona,4.9,1.7,3.2
Edoardo Bove,Roma,1.2,0.6,0.6
Festy Ebosele,Udinese,0.6,0.4,0.2
Luca Pellegrini,Lazio,1.4,0.4,1
Matteo Gabbia,AC Milan,1.7,1.3,0.4
Daniele Verde,Spezia,0.1,0,0.1
Martín Satriano,Empoli,3.4,1.4,2
Axel Guessand,Udinese,3,1,2
Pietro Ceccaroni,Lecce,0,0,0
Charles Pickel,Cremonese,3.7,1.4,2.3
Samuele Birindelli,Monza,0.5,0.2,0.3
Matías Viña,Roma,0.3,0.3,0
Moise Kean,Juventus,0.7,0.3,0.4
Junior Sambia,Salernitana,1.1,0.7,0.5
Divock Origi,AC Milan,1.8,0.6,1.3
Ruan Tressoldi,Sassuolo,3.8,2.2,1.6
Ola Solbakken,Roma,1.1,0.3,0.8
Ibrahim Sulemana,Verona,1.4,0.6,0.8
Lorenzo Venuti,Fiorentina,1.1,0.6,0.5
Domen Crnigoj,Salernitana,1.7,0.7,1
Andrea Consigli,Sassuolo,0.3,0.3,0
Enzo Ebosse,Udinese,1.5,0.8,0.7
Abdou Harroui,Sassuolo,0.6,0.4,0.2
Alessandro Zanoli,Napoli,1,0,1
Vincenzo Fiorillo,Salernitana,0,0,0
Giuseppe Pezzella,Lecce,1.2,0.7,0.5
Ilija Nestorovski,Udinese,2.2,0.6,1.7
Gian Marco Ferrari,Sassuolo,2.2,1.5,0.8
Emanuel Vignato,Empoli,0.6,0.4,0.2
Brian Bayeye,Torino,0.5,0,0.5
Gianluca Pegolo,Sassuolo,0,0,0
Lorenzo Colombo,Lecce,4.8,1.2,3.6
Kristian Thorstvedt,Sassuolo,1.7,0.9,0.8
Franco Carboni,Monza,0.7,0.3,0.3
Raoul Bellanova,Inter,0.3,0.2,0.2
Jaime Báez,Cremonese,0.5,0.5,0
Eldor Shomurodov,Spezia,3.7,1.3,2.3
Yayah Kallon,Verona,1.4,0.4,1
Giovanni Simeone,Napoli,1,0.2,0.8
Andreaw Gravillon,Torino,1.6,0.9,0.7
Tolgay Arslan,Udinese,0.3,0.2,0.1
Valerio Verre,Sampdoria,1.3,0.7,0.7
Michel Adopo,Torino,1.7,1,0.7
Lorenzo De Silvestri,Bologna,1.7,0.9,0.8
Nicolas Haas,Empoli,1,0.3,0.8
