player_name,team_name,CaughtOffside
Karim Zedadka,Napoli,0
Valentín Carboni,Inter,0
David Strelec,Spezia,0.3
Antonio Raimondo,Bologna,0
Julius Beck,Spezia,0
Pablo Rodríguez,Lecce,0
Raimonds Krollis,Spezia,0
Gvidas Gineitis,Torino,0
Samuel Di Carmine,Cremonese,0
Leonardo Buta,Udinese,0
Mattia Zanotti,Inter,0
Deyovaisio Zeefuik,Verona,0
Mert Çetin,Lecce,0
Ajdin Hrustic,Verona,0
Antonín Barák,Verona,0
Duccio Degli Innocenti,Empoli,0
Herculano Nabian,Empoli,0
Marco Bertini,Lazio,0
Mihailo Ivanovic,Sampdoria,0
Niccolò Pisilli,Roma,0
Stefan Radu,Lazio,0
Telasco Segovia,Sampdoria,0
Jacopo Sala,Spezia,0
Emmanuel Ekong,Empoli,0.5
Franck Ribéry,Salernitana,0
Jacopo Segre,Torino,0
Mikael Ellertsson,Spezia,0
Federico Marchetti,Spezia,0
Andrea Carboni,Monza,0
Julian Kristoffersen,Salernitana,0
Christian Acella,Cremonese,0
Samir Ujkani,Empoli,0
Lorenzo Tonelli,Empoli,0
Kastriot Dermaku,Lecce,0
Manuel De Luca,Sampdoria,0
Andrea Conti,Sampdoria,1
Brandon Soppy,Udinese,0
Luca Marrone,Monza,0
Giacomo Raspadori,Sassuolo,0
Marko Lazetic,AC Milan,0
Bruno Amione,Verona,0
Alessio Cragno,Monza,0
Luís Maximiano,Lazio,0
Alessandro Russo,Sassuolo,0
