,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
274,274,Fabio Depaoli,,27," D(R),M(CLR)",24(7),2172,2,2,7,0,0.6,63.2,0.8,0,6.37,1.5,0.6,1.4,0,0.9,0.6,0.2,0,0.5,0.4,1,0.1,0.6,1.2,14.4,0.6,0.9,0,1.72,0.28,0.07,19,0.09
275,275,Jeremy Toljan,,29," D(LR),M(LR)",29(2),2672,0,1,3,0,0.2,83.7,0.3,0,6.37,1.2,0.6,0.3,0.4,1.1,0.4,0.5,0,0.7,0.2,0.5,0,0.5,0.8,42.1,0.3,1.9,0.1,0.49,-0.49,0.02,5,0.1
276,276,Federico Di Francesco,,29," M(LR),FW",23(13),2040,2,2,6,0,1.1,72.3,0.2,1,6.37,0.8,0.2,1.2,0,0.4,0.3,0,0,0.7,0.5,0.9,0.4,0.8,1.6,12.6,0.2,0.3,0.1,3.56,-1.56,0.16,39,0.09
277,277,Albin Ekdal,,34, M(C),18(13),1732,0,2,4,1,0.6,77.8,1.2,0,6.37,1.2,0.8,1,0,1.2,0.8,0.1,0,0.3,0.4,0.9,0,0.5,1,25,0.1,0.6,0,2.97,-2.97,0.15,19,0.16
278,278,Lameck Banda,,23, AM(L),19(17),1637,2,1,6,0,1.0,73.0,0.2,1,6.36,0.8,0.2,0.9,0,0.1,0.7,0.1,0,0.4,1.3,1,0.3,1,1.9,10.3,0.1,0.1,0,3.42,-1.42,0.19,36,0.09
279,279,Diego Coppola,,20, D(C),11(8),1171,0,0,5,0,0.2,73.6,2.5,0,6.36,1.3,0.7,0.5,0.2,1.9,0.7,0.3,0,0,0.1,0,0,0.1,0.4,26.7,0.1,1.6,0,0.25,-0.25,0.02,3,0.08
280,280,Dimitrios Nikolaou,,25, D(CL),34(2),2964,1,0,9,1,0.3,82.4,0.8,0,6.36,1.3,0.8,0.8,0.4,2.1,0.3,0.7,0,0.3,0.3,0.6,0,0.3,0.5,43.6,0.1,2.8,0,0.69,0.31,0.02,10,0.07
281,281,José Machín,,27, AM(C),11(14),1119,0,2,4,0,0.4,84.2,0.2,0,6.35,1.1,0.5,0.8,0,0.6,0.7,0.1,0,0.4,0.3,0.5,0,0.5,0.6,26,0.1,0.9,0.1,0.39,-0.39,0.03,10,0.04
282,282,Cristian Buonaiuto,,31, Forward,7(22),970,1,0,3,0,1.5,73.3,0.2,0,6.34,0.9,0.5,0.6,0,0.2,0.5,0,0,0.6,0.7,0.8,0,1,1.2,13,0.6,0.4,0,3.31,-2.31,0.31,43,0.08
283,283,Jacopo Fazzini,,21, AM(C),8(13),818,0,0,4,0,0.7,81.0,0.7,0,6.34,1.5,0.3,1,0,0.6,0.8,0.1,0,0.4,0.6,0.6,0,1.1,1.1,14.8,0.1,0.2,0,1.08,-1.08,0.12,14,0.08
284,284,Daniel Ciofani,,38, FW,10(22),1058,8,0,1,0,1.0,62.5,1.1,0,6.34,0.2,0.1,0.3,0,0.3,0.1,0,0,0.3,0,0.5,0.2,0.3,0.8,6,0,0.2,0,6.1,1.9,0.52,32,0.19
285,285,Marlon,,28, D(C),18(10),1591,0,0,7,1,0.2,92.3,1.4,0,6.34,1.3,0.6,0.8,0.2,1.7,0.5,0.1,1,0,0.1,0.2,0,0,0.2,36.3,0.1,1.3,0,0.18,-0.18,0.01,5,0.04
286,286,Nedim Bajrami,,25, AM(CLR),8(11),931,1,1,1,0,1.1,80.0,0.1,0,6.34,0.4,0.4,0.3,0,0.2,0.1,0,0,0.8,0.6,0.3,0.2,0.9,1.3,16.1,0.4,0.5,0,1.43,-0.43,0.14,21,0.07
287,287,Edoardo Bove,,21, M(C),10(12),990,1,0,2,0,0.3,77.4,0.6,0,6.34,1.6,0.5,1.1,0,0.3,1,0,0,0.3,0.2,1,0,0.8,1.1,17.3,0,0.3,0,1.05,-0.05,0.1,7,0.15
288,288,Daniele Verde,,27," AM(CLR),FW",11(14),997,3,0,1,0,1.3,76.9,0.0,0,6.33,0.2,0.3,0.1,0,0.1,0.2,0,0,0.7,0.2,0.6,0.1,0.5,0.7,14.2,0.8,0.6,0,2.7,0.3,0.24,33,0.08
289,289,Martín Satriano,,23, FW,20(11),1709,2,1,4,0,1.2,69.0,1.4,0,6.33,0.4,0.1,0.6,0,0.6,0.3,0,0,0.5,0.6,0.9,0.2,1.5,1.7,11.5,0,0.2,0,4.5,-2.5,0.24,38,0.12
290,290,Charles Pickel,,26, M(C),30(3),2491,1,0,8,1,0.7,78.3,1.4,0,6.33,1.7,0.7,1,0,0.9,0.8,0.2,0,0.6,0.1,0.5,0.1,0.5,1,28.8,0,0.7,0,2.04,-1.04,0.07,23,0.09
291,291,Samuele Birindelli,,24," D(R),M(R)",14(17),1397,0,1,8,0,0.5,75.7,0.2,0,6.33,1.1,0.5,0.5,0.1,0.8,0.4,0.3,0,0.6,0.4,0.5,0.1,0.5,0.8,19.1,0.6,0.6,0,1.32,-1.32,0.09,14,0.09
292,292,Moise Kean,,24," AM(LR),FW",11(17),990,6,0,5,1,1.4,71.5,0.3,1,6.33,0.3,0.2,0.5,0,0.1,0.1,0,0,0.3,0.5,0.6,0.3,1,1,6.4,0,0.1,0,6.63,-0.63,0.6,38,0.17
293,293,Junior Sambia,,27," D(R),M(CR)",7(15),691,0,1,3,0,0.6,84.2,0.7,0,6.33,0.5,0.4,0.5,0,0.5,0.2,0.1,0,0.3,0.5,0.8,0,0.4,0.6,13.3,0.3,0.4,0,0.61,-0.61,0.08,13,0.05
294,294,Divock Origi,,29," AM(LR),FW",10(17),1015,2,1,1,0,1.1,70.2,0.6,1,6.32,0.4,0,0.5,0,0.5,0.2,0.1,0,0.4,0.6,0.6,0.2,0.9,1.4,6.7,0,0.1,0,2.8,-0.8,0.25,29,0.1
295,295,Ruan Tressoldi,,24, D(C),21(2),1717,0,0,9,3,0.2,89.0,2.2,0,6.32,1.7,1,1.2,0.9,3.3,0.4,0.7,1,0,0.1,0.6,0,0.2,0.2,40.7,0,1.7,0,0.93,-0.93,0.05,5,0.19
