player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Darko Lazovic,Verona,21.2,0.8,1.6,13.7,5
Sandi Lovric,Udinese,23.7,1.4,0.8,18.5,3
Mathías Olivera,Napoli,39.5,1.1,1.2,33.3,3.9
Beto,Udinese,8.8,0.2,0.1,5.6,2.9
Johan Vásquez,Cremonese,31,1.5,3,23,3.4
Koray Günter,Verona,32.1,3,3.5,21.7,3.9
Walace,Udinese,46.9,3.2,1.7,36.6,5.4
Nehuén Pérez,Udinese,49,4.4,3.4,38,3.2
Simone Bastoni,Spezia,23.6,0.9,1.8,15.5,5.5
Leonardo Sernicola,Cremonese,20.1,1.1,1.6,13.5,3.9
Sebastiano Luperto,Empoli,47.2,3.1,3.3,37.8,3.1
Wladimiro Falcone,Lecce,26.7,6.1,14.6,5.9,0.1
Denis Zakaria,Juventus,17,0.5,0,15.5,1
Ricardo Rodríguez,Torino,45.4,2.2,2.7,36,4.5
Nemanja Matic,Roma,36.4,2.4,1.4,29.1,3.5
Mike Maignan,AC Milan,31.4,5,5.7,20.3,0.4
Aleksey Miranchuk,Torino,26.9,1.2,0.8,20.7,4.2
M'Bala Nzola,Spezia,18.5,0.1,0.1,14.8,3.5
Stefano Sensi,Monza,43.7,3.1,1.1,35,4.4
Eljif Elmas,Napoli,26.9,0.6,0.4,23.1,2.8
Emil Holm,Spezia,20.7,0.4,1.5,12.3,6.5
Nikola Moro,Bologna,29.9,2,0.9,22.4,4.6
Tyronne Ebuehi,Empoli,25.5,1.2,1.6,19.4,3.3
Wilfried Singo,Torino,28.6,1.5,1.9,20.5,4.8
Dany Mota,Monza,19.2,0.6,0.2,13.7,4.8
Dodô,Fiorentina,37.3,1.6,1.4,29.8,4.5
Giorgio Scalvini,Atalanta,45.8,2.2,2.9,35.1,5.6
Ethan Ampadu,Spezia,47.9,3,3.6,36,5.2
Nicola Ravaglia,Sampdoria,31.1,6.2,12,12.4,0.4
Lorenzo Montipò,Verona,28.8,9.9,11.9,6.9,0.1
Pedro,Lazio,25,0.6,0.6,20.4,3.3
Matteo Darmian,Inter,39.9,1.8,2,32.8,3.2
Panagiotis Retsos,Verona,23,2.5,1,17,2.5
Samuel Umtiti,Lecce,34.3,2,2.6,26.8,2.9
Giorgos Kyriakopoulos,Bologna,28,1.3,1.8,21.7,3.3
Federico Fazio,Salernitana,36.9,1.9,3.3,26.5,5.2
Jakub Kiwior,Spezia,43.9,3.3,3.2,34.1,3.2
Mehdi Léris,Sampdoria,25.9,0.9,1,17.2,6.8
Musa Barrow,Bologna,21.2,0.9,0.9,16,3.4
Valentin Gendrey,Lecce,27.5,0.9,2,19.4,5.2
