Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Alex Telles,Sevilla,31,"D(CL),M(L)",15(12),1428,0,2,6,0,0.4,81.1,1,0,6.52,0.8,0.7,0.9,0.3,1.3,0.4,0.2,0,0.4,0.7,0.5,0.5,0,0,0.4,20.2,0.9,0.9,0,0.37,-0.37,0.02,12,0.03
Agustín Marchesín,Celta Vigo,36,GK,19,1710,0,0,3,0,0,67.4,0.2,0,6.52,0,0,0,0,0.6,0.1,0,0,0,0,0,0.2,0,0,0,29.3,0,6.6,0,,,,,
Gorka Guruzeta,Athletic Club,27,FW,17(13),1421,6,1,2,0,1.7,73.4,1,2,6.52,0.8,0.1,0.9,0,0.2,0.4,0.1,0,1.7,0.5,0.3,0.5,0.5,0.7,1.3,12.8,0,0.6,0,6,0,0.38,51,0.12
Manu Bueno,Sevilla,19,Midfielder,2,150,0,0,0,0,0.5,78.8,0.5,0,6.52,3.5,0,0.5,0,1,1.5,0,0,0.5,1,0.5,1,0,0,0.5,33,0,2.5,0,0.02,-0.02,0.01,1,0.02
Javi Puado,Espanyol,25,"AM(CLR),FW",25(12),2350,7,2,4,0,1.5,79.9,0.6,0,6.51,0.5,0.3,0.4,0,0.3,0.4,0.1,0,1.5,0.7,0.6,0.7,0.1,0.8,1.9,14.7,0.2,0.5,0,8.01,-1.01,0.31,57,0.14
Andrés Guardado,Real Betis,37,"D(L),M(CL)",16(10),1376,1,1,7,0,0.3,85.2,0.7,0,6.51,1.6,0.9,0.6,0,0.8,1,0.2,0,0.3,0.5,0.2,0.4,0,0.2,0.7,32.7,0.2,2.6,0.1,0.33,0.67,0.02,8,0.04
Óscar Plano,Real Valladolid,33,"AM(CLR),FW",22(11),2048,1,1,3,0,0.9,75.4,1,0,6.51,1.2,0.9,0.7,0,0.5,0.8,0.1,0,0.9,0.5,0.4,1.5,0.2,0.7,1.1,18.5,0.2,0.6,0.1,2.64,-1.64,0.12,30,0.09
Brian Ocampo,Cadiz,24,AM(L),15(3),1129,1,1,2,0,0.7,78.2,0.4,1,6.51,1,0.2,1.8,0,0.1,0.7,0,0,0.7,0.9,1.1,1.5,0.1,1.6,1.7,18.1,0.8,0.7,0,0.53,0.47,0.04,13,0.04
Juan Iglesias,Getafe,25,"D(LR),M(R)",21(11),2144,1,0,8,0,0.7,61.4,0.5,0,6.51,1.9,0.7,1.4,0.2,2.2,1,0.2,0,0.7,0.4,0.4,0.7,0.1,0.3,0.9,18.9,0.6,1.1,0,0.98,0.02,0.04,21,0.05
Ángel Correa,Atletico,29,"AM(CLR),FW",13(22),1449,9,1,2,1,1.2,81.1,0.1,2,6.50,0.3,0.3,0.5,0,0.1,0.3,0,0,1.2,0.7,0.7,0.6,0.4,0.9,1.6,14.1,0.1,0.3,0.1,6.56,2.44,0.41,43,0.15
Domingos Duarte,Getafe,29,D(C),30(1),2658,0,2,9,1,0.5,77.1,1.5,1,6.50,0.8,1.3,1,0.6,4.5,0.2,0.7,1,0.5,0.1,0.2,0.7,0.1,0.1,0.2,30.9,0,2.7,0,1.35,-1.35,0.05,16,0.08
Jon Pacheco,Real Sociedad,23,D(C),12(5),1189,0,1,2,0,0.2,90,1.8,0,6.50,0.9,0.7,1.1,0.6,2.2,0.2,0.4,0,0.2,0.1,0.1,0.6,0.1,0.1,0.2,52.8,0,1.9,0,0.11,-0.11,0.01,3,0.04
Borja Mayoral,Getafe,27,"AM(R),FW",33(2),2775,8,2,4,0,1.5,78.1,1,2,6.50,0.3,0.1,0.5,0,0.2,0.7,0,0,1.5,0.6,0.8,1.1,0.3,1.5,1.8,21,0.2,1,0,9.28,-1.28,0.3,52,0.18
Giovanni González,Mallorca,29,D(CR),10(6),924,0,2,5,0,0.3,79.7,0.8,0,6.50,1,0.4,1,0.1,1.3,0.8,0.1,0,0.3,0.3,0.5,1.1,0.1,0.1,0.4,21.6,0.3,1.1,0,0.18,-0.18,0.02,4,0.04
Rubén Alcaraz,Cadiz,33,DMC,22(9),2047,3,0,9,1,1.1,81.3,1,1,6.50,1.4,0.6,1.5,0.1,1.1,1.1,0.3,0,1.1,0.6,0.4,1.1,0,1,1.1,32.2,0.5,3.2,0,3.79,-0.79,0.17,34,0.11
Gastón Álvarez,Getafe,24,D(CL),16(6),1504,2,0,8,1,0.2,62.6,1.4,0,6.50,1.7,0.7,1.2,0.2,1.5,0.9,0.2,0,0.2,0.2,0.4,0.5,0,0.1,0.6,18.8,0.2,0.6,0,0.83,1.17,0.05,5,0.17
Darwin Machís,Real Valladolid,31,AM(LR),7(4),599,0,1,1,0,1.7,73.4,0.2,1,6.50,0.3,0.3,0.9,0,0.4,0.6,0,0,1.7,0.8,1,1.1,0.2,0.5,1.9,14.4,1.2,1.4,0,1.42,-1.42,0.21,19,0.07
Fran Beltrán,Celta Vigo,25,DMC,33(3),2864,0,2,4,0,0.7,90.1,0.5,0,6.49,0.9,1.5,0.7,0,0.9,1.1,0.1,0,0.7,0.7,0.4,0.4,0.1,0.5,0.7,48.8,0.4,2.7,0,0.71,-0.71,0.02,24,0.03
Andoni Gorosabel,Real Sociedad,27,"D(R),M(R)",19(8),1712,0,0,3,0,0.5,86.7,0.7,1,6.49,1.5,0.6,0.9,0.1,0.8,0.6,0.1,0,0.5,0.5,0.3,0.6,0,0.3,0.5,30.4,0.5,1.1,0,0.45,-0.45,0.02,14,0.03
Leandro Cabrera,Espanyol,32,D(CL),31(1),2673,0,1,8,2,0.7,73.3,1.9,0,6.48,1.4,1.3,0.9,0.5,3.3,0.5,0.7,1,0.7,0.4,0.2,0.6,0,0.2,0.3,38.5,0.2,2.7,0,2.56,-2.56,0.09,23,0.11
Víctor Ruiz,Real Betis,35,D(C),5(5),557,0,0,0,0,0.1,85.2,1.7,0,6.48,0.5,0.6,0.4,0.3,3.2,0,0.7,0,0.1,0.2,0,0.2,0.1,0,0.1,25,0,1.5,0,0.06,-0.06,0.01,1,0.06
Óscar Rodríguez,Celta Vigo,25,"AM(CLR),FW",19(14),1772,2,0,6,0,1.3,84.3,0.3,0,6.48,1,0.7,0.7,0,0.4,0.5,0.1,0,1.3,0.7,0.3,0.8,0.1,0.5,0.7,29.4,0.5,1.4,0.1,3.02,-1.02,0.15,43,0.07
Ferran Torres,Barcelona,24,"AM(LR),FW",14(19),1385,4,2,5,1,1.2,81.2,0.3,1,6.48,0.4,0.1,0.5,0.1,0.1,0.5,0.1,0,1.2,0.8,0.9,0.8,0.2,0.7,1.5,15.3,0.5,0.5,0,5.24,-1.24,0.34,38,0.14
Álex Pozo,Almeria,25,"D(R),M(R)",20(10),1878,0,3,2,0,0.3,73,0.4,0,6.48,1.2,0.9,0.5,0.2,1.1,0.9,0.2,0,0.3,0.8,0.4,0.5,0,0.3,0.9,28.5,0.6,1.7,0,0.44,-0.44,0.02,10,0.04
José Luís Morales,Villarreal,36,"D(R),M(CLR),FW",11(18),1205,7,0,2,0,1.4,73.5,0.3,0,6.48,0.2,0.1,0.2,0,0.1,0.4,0,0,1.4,0.3,0.6,0.3,0.4,0.4,0.8,8.2,0.1,0.2,0,6.73,0.27,0.5,41,0.16
Jørgen Strand Larsen,Celta Vigo,24,FW,20(12),1713,4,4,4,0,1.3,69.4,1.3,1,6.48,0.5,0.1,1.1,0,0.8,0.7,0.2,0,1.3,0.4,0.4,1.3,0.4,0.8,2.3,10.4,0,0.3,0,4.83,-0.83,0.25,41,0.12
Unai Simón,Athletic Club,26,GK,31,2746,0,0,2,0,0,68.4,0,1,6.48,0.1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,25.6,0,5.4,0,,,,,
Mauro Arambarri,Getafe,28,DMC,13,1000,0,1,3,1,0.6,82.3,1.2,0,6.48,1.1,1.1,1.6,0,1.5,1.1,0.4,1,0.6,1.2,0.3,0.8,0,0.3,1,29.2,1.1,3.3,0,0.26,-0.26,0.02,8,0.03
