,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
38,(주)인공지능팩토리,딥러닝 엔니지어 채용,"서울,중구,신입·경력,대졸↑,정규직","딥러닝,기술지원,데이터분석가,데이터엔지니어,SE(시스템엔지니어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47859638&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
39,(주)딥핑소스,Deep Learning Researcher 채용,"서울,강남구,경력 2~12년,대졸↑,정규직","딥러닝,머신러닝,Linux,Python,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47760420&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
40,(주)스탠스,(주)스탠스 딥러닝엔진개발팀 팀원 모집,"서울,노원구,경력5년↑,대졸↑,정규직","딥러닝,C++,OpenCV,솔루션,알고리즘",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47922195&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
41,세광에프에이,공장 자동화 시스템 & 비전 deep learning 엔지니어 모집 정규,"인천,부평구,신입·경력,초대졸↑,정규직","딥러닝,FA(공장자동화),HMI,PLC,하드웨어",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47872687&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
42,(주)하이비젼시스템,딥러닝 경력직 엔지니어 채용(근무지 : 판교R&D센터/본사 선택),"경기,성남시 분당구,경력5년↑,석사↑,정규직","딥러닝,Pytorch,Tensorflow,영상처리,정밀광학",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47914968&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
43,(주)안티그래비티,[부피 알고리즘] AI(딥러닝) 연구 및 개발,"서울,성동구,경력 3~20년,석사↑,정규직","딥러닝,데이터분석가,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42913765&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
44,글로빛(주),"글로빛논문컨설팅 빅데이터 분석,AI(머신러닝,딥러닝)박사 모집","서울,서초구,경력무관,박사,프리랜서","교직원,대학강사,조사분석",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47700979&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
45,굿커리어,"딥러닝,신호처리 알고리즘개발 대리,과장급(병특가능) (굿커리어","서울,강남구,경력무관,대졸↑,정규직","딥러닝,게임개발,데이터분석가,백엔드/서버개발,앱개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47923670&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
46,(주)옵트에이아이,딥러닝 및 임베디드 개발자 채용 공고 (전문연구요원 가능),"서울,강서구,신입·경력,고졸↑,정규직","딥러닝,머신러닝,솔루션,신경망,알고리즘",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47886463&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
47,포인드(주),포인드(주) 인공지능·딥러닝 개발자(신입) 채용,"경북,구미시,신입,초대졸↑,정규직","딥러닝,머신러닝,빅데이터,솔루션,알고리즘",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47878425&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
48,위키에이드,[판교] 딥러닝/영상처리 알고리즘 개발자,"경기,성남시 분당구,경력2년↑,대졸↑,정규직·전문연구요원","딥러닝,머신러닝,알고리즘,AI(인공지능),C#",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47921365&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
49,(주)브이텐시스템,브이텐시스템 딥러닝 학습전담인원 채용,"경기,오산시,경력무관,학력무관,정규직","딥러닝,C#,C++,MFC,OpenCV",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47865762&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
50,(주)뷰런테크놀로지,[Vueron] Deep Learning Engineer,"서울,서초구,경력 2~8년,석사↑,정규직","딥러닝,머신러닝,알고리즘,AI(인공지능),소프트웨어개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47872812&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
51,(주)에이스웍스코리아,Perception Engineer - Deep learning(Senior/Staff),"서울,강남구,경력 5~15년,석사↑,정규직","딥러닝,데이터분석가,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47569274&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
52,포인드(주),포인드(주) 인공지능·딥러닝 개발자(경력) 채용,"경북,구미시,경력1년↑,초대졸↑,정규직","딥러닝,머신러닝,빅데이터,솔루션,알고리즘",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47878447&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
53,(주)비비파트너스,[웨어러블 의료기기] 딥러닝/머신러닝 개발자 경력직 채용,"서울,강남구,경력 7~13년,대졸↑,정규직","딥러닝,머신러닝,의료기기연구,모델링,알고리즘",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47882215&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
54,한국딥러닝(주),[한국딥러닝] 인공지능 학습용 데이터 댐 구축사업 총괄 PM 채용,"서울,서초구,경력1년↑,대졸↑,정규직","경영기획,서비스기획,PM(프로젝트매니저),기획,인공지능학습용데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47806046&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
55,한국딥러닝(주),[한국딥러닝] 사업계획서 / 제안서 작성 담당자 채용,"서울,서초구,경력1년↑,대졸↑,정규직","기술영업,솔루션기술영업,시스템영업,IT영업,SI영업",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47804633&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
56,(주)아데코코리아,"[자율주행/서울] Deep Learning Engineer (석, 박사 채용)","서울,강남구,경력무관,대졸↑,정규직","딥러닝,알고리즘,영상처리,이미지프로세싱,임베디드",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47890202&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
57,(주)플라잎,딥러닝 엔지니어 채용(전문연구요원 가능),"경기,성남시 분당구,경력3년↑,대졸↑,정규직","딥러닝,C++,Python,Pytorch,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47929326&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
58,알지오 평생교육원,"[재택] 딥러닝, 파워빌더, 베릴로그 인강 강사 모집","경기,의정부시,경력,학력무관,프리랜서","딥러닝,알고리즘,파워빌더,Pytorch,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47552009&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
59,에이치알클릭,"대기업 딥러닝 기반 언어처리, 언어 모델 관련 개발 경험자 초빙","서울,종로구,경력 1~15년,대졸↑,정규직","딥러닝,미들웨어,신경망,알고리즘,DBMS",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47858091&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
60,(주) 케이와이씨지(KYCG),[마포] 공간정보 AI 기술기업 딥러닝 엔지니어 (3년~5년),"서울,마포구,경력 3~5년,석사↑,정규직","딥러닝,머신러닝,Pytorch,Tensorflow,OpenCV",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47908176&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a08c85cb-e366-472e-803d-12046c647840
