team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shot allowed,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg,xG,GoalsDiff,xGDiff,Shots,xG/shots,League
Borussia M.Gladbach,34,11,10,13,52,55,-3,43,52,60,3,54.0,83.4,12.6,6.63,14.2,14.6,7.9,9.9,2.1,5.1,5.1,5.1,51.93,52,0.07,409,0.13,Germany-Bundesliga
FC Koln,34,10,12,12,49,54,-5,42,49,69,3,49.4,77.8,19.5,6.57,11.1,18.1,10.9,11.8,2.0,4.6,4.6,4.6,50.77,46,-4.77,417,0.12,Germany-Bundesliga
Hoffenheim,34,10,6,18,48,57,-9,36,48,74,5,48.0,77.1,16.3,6.55,14.1,16.0,8.4,13.9,2.3,4.1,4.1,4.1,48.99,46,-2.99,407,0.12,Germany-Bundesliga
Werder Bremen,34,10,6,18,51,64,-13,36,51,76,1,49.5,76.3,18.7,6.58,14.0,17.5,9.4,12.5,1.9,4.2,4.2,4.2,41.6,50,8.4,369,0.11,Germany-Bundesliga
Bochum,34,10,5,19,40,72,-32,35,40,64,1,45.7,69.9,22.8,6.5,15.7,18.4,9.9,12.6,1.9,3.8,3.8,3.8,39.57,37,-2.57,400,0.1,Germany-Bundesliga
Augsburg,34,9,7,18,42,63,-21,34,42,92,5,40.9,68.1,18.9,6.48,15.9,15.4,8.4,12.7,1.7,3.1,3.1,3.1,36.92,41,4.08,359,0.1,Germany-Bundesliga
VfB Stuttgart,34,7,12,15,45,57,-12,33,45,64,5,50.1,80.9,16.2,6.57,11.8,15.5,9.1,10.2,1.6,4.4,4.4,4.4,50.57,45,-5.57,462,0.11,Germany-Bundesliga
Schalke 04,34,7,10,17,35,71,-36,31,35,68,1,45.2,71.7,20.5,6.48,14.5,15.9,9.0,12.6,2.1,3.8,3.8,3.8,40.34,32,-8.34,426,0.09,Germany-Bundesliga
Hertha Berlin,34,7,8,19,42,69,-27,29,42,80,1,41.3,71.2,18.8,6.51,14.0,16.9,10.8,12.4,1.7,3.9,3.9,3.9,42.26,42,-0.26,384,0.11,Germany-Bundesliga
Napoli,38,28,6,4,77,28,49,90,77,47,1,62.1,87.8,12.8,6.81,9.6,15.0,7.6,10.2,1.6,5.9,5.9,5.9,68.51,75,6.49,615,0.11,Italy-Serie-A
Lazio,38,22,8,8,60,30,30,74,60,87,2,52.2,85.4,10.7,6.74,12.2,15.3,8.2,10.5,1.4,4.5,4.5,4.5,50.61,59,8.39,438,0.12,Italy-Serie-A
Inter,38,23,3,12,71,42,29,72,71,62,3,55.7,85.6,13.3,6.71,11.2,15.1,8.3,11.7,1.8,5.4,5.4,5.4,70.43,68,-2.43,630,0.11,Italy-Serie-A
AC Milan,38,20,10,8,64,43,21,70,64,86,2,55.6,82.6,14.8,6.7,10.7,18.2,7.6,11.8,1.6,4.9,4.9,4.9,65.33,61,-4.33,551,0.12,Italy-Serie-A
Atalanta,38,19,7,12,66,48,18,64,66,81,3,49.9,80.6,15.2,6.67,11.8,16.7,11.1,12.4,1.5,4.7,4.7,4.7,60.26,64,3.74,514,0.12,Italy-Serie-A
