player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5,position_6
Pascal Groß,Brighton,32,"LB, RB, CM, RM, FW",37,3246,9,8,7,0,1.1,86.0,0.3,2,7.0,1.6,0.4,0.9,0.0,0.5,0.8,0.3,1,2.2,0.5,0.5,0.3,0.5,1.1,54.8,1.4,2.0,0.1,5.21,3.79,0.14,39.0,0.13,LB, RB, CM, RM, FW,
Michael Olise,Crystal Palace,22,"CAM, LAM, RAM",31(6),2757,2,11,2,0,1.4,78.4,0.5,5,6.99,1.6,0.7,0.8,0.0,0.4,0.9,0.0,0,1.9,1.5,1.9,0.2,1.3,2.3,31.3,1.6,1.3,0.1,2.99,-0.99,0.1,51.0,0.06,CAM, LAM, RAM,,,
Dwight McNeil,Everton,24,"CM, LM, RM",28(8),2502,7,3,5,0,1.3,76.4,0.4,4,6.99,1.8,0.9,0.6,0.0,0.9,1.1,0.2,0,1.4,1.5,0.6,0.0,1.3,1.5,21.0,1.4,1.0,0.0,3.86,3.14,0.14,46.0,0.08,CM, LM, RM,,,
Willian,Fulham,35,"CAM, LAM, RAM",25(2),2144,5,5,2,0,1.5,82.3,0.3,3,6.99,0.5,0.3,0.4,0.0,0.3,0.7,0.0,0,1.9,1.4,0.9,0.1,0.9,1.6,31.3,0.5,2.0,0.1,3.41,1.59,0.14,41.0,0.08,CAM, LAM, RAM,,,
Leandro Trossard,Brighton,29,"CM, LM, RM, FW",16,1326,7,2,1,0,2.4,74.4,0.4,2,6.99,0.6,0.4,0.6,0.0,0.0,0.4,0.0,0,1.4,0.9,0.8,0.3,1.6,2.4,29.5,0.6,1.6,0.2,4.89,2.11,0.33,38.0,0.13,CM, LM, RM, FW,,
Ben Mee,Brentford,34,"CB, LB",37,3272,3,2,2,0,0.8,77.1,3.6,2,6.98,1.2,1.3,0.4,0.3,3.1,0.5,1.1,0,0.2,0.3,0.4,0.0,0.1,0.5,44.8,0.0,2.9,0.0,2.91,0.09,0.08,28.0,0.1,CB, LB,,,,
Kenny Tete,Fulham,28,"CB, RB, RM",29(2),2575,1,5,8,0,0.4,76.0,1.1,0,6.98,2.7,1.7,1.4,0.2,2.4,0.4,0.5,0,0.7,0.7,1.7,0.0,0.8,0.7,35.9,0.7,1.5,0.0,0.8,0.2,0.03,13.0,0.06,CB, RB, RM,,,
Granit Xhaka,Arsenal,31,"LB, CM",36(1),3004,7,7,5,0,1.1,86.5,1.0,1,6.98,0.9,0.4,0.7,0.1,1.1,0.7,0.3,0,1.3,0.4,1.1,0.1,0.7,0.9,42.5,0.1,1.9,0.1,5.05,1.95,0.15,40.0,0.13,LB, CM,,,,
Lucas Paquetá,West Ham,26,"CM, LM, RM, FW",27(1),2171,4,3,5,0,1.9,80.2,1.3,4,6.98,2.5,0.6,1.8,0.0,1.1,1.5,0.1,0,1.1,1.3,1.1,0.0,1.6,1.7,40.2,0.1,1.6,0.1,4.83,-0.83,0.2,53.0,0.09,CM, LM, RM, FW,,
Martin Dúbravka,Newcastle,35,GK,1(1),156,0,0,0,0,0.0,87.5,0.0,0,6.98,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,3.5,0.0,,,,,,GK,,,,,
