player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interception,Fouled,Fouls,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Total_Aerial,Won,Lost,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Bryan Mbeumo,Brentford,0.7,0.9,1.6,0.3,0.6,0.7,0.1,0.0,0.2,0.4,0.0,0.1,0.6,0.0,0.0,0.0,0.0,1.9,0.4,0.2,1.2,0.2,0.0,0.2,0.0,1.1,1.2,2.3,1.9,1.4,2.6,0.9,1.7,21.3,0.8,0.6,14.9,5.1,1.3,0.3,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2
Yerry Mina,Everton,2.1,0.3,2.4,0.9,1.4,0.9,0.3,0.0,0.0,4.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,1.1,0.0,0.6,0.6,0.3,0.1,0.1,0.0,0.1,0.1,0.3,0.6,0.0,4.9,2.7,2.1,45.9,1.7,1.6,38.9,3.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaoru Mitoma,Brighton,1.3,0.6,2.0,0.5,0.8,0.9,0.0,0.0,0.2,0.2,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.6,0.2,0.3,1.1,0.2,0.0,0.1,0.1,2.2,1.8,3.9,1.8,1.0,1.1,0.5,0.6,27.7,0.6,0.4,22.4,4.2,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.1,0.2
Pascal Groß,Brighton,1.6,0.8,2.4,0.4,0.5,0.9,0.2,0.0,0.3,0.5,0.3,0.1,0.6,0.0,0.0,0.0,0.0,1.1,0.4,0.1,0.5,0.2,0.1,0.2,0.0,0.4,0.5,0.9,1.1,0.5,1.2,0.3,1.0,54.8,2.0,2.0,45.1,5.6,2.2,0.6,1.6,0.0,0.0,0.0,0.0,0.0,0.1,0.2
Michael Olise,Crystal Palace,1.6,0.9,2.5,0.7,1.9,0.8,0.1,0.0,0.2,0.4,0.0,0.1,1.2,0.0,0.0,0.0,0.0,1.4,0.8,0.0,0.5,0.1,0.0,0.0,0.0,2.4,1.5,3.8,2.3,1.3,1.5,0.5,1.1,31.3,1.3,1.0,23.2,5.8,1.9,0.8,1.2,0.1,0.1,0.1,0.0,0.0,0.1,0.3
Dwight McNeil,Everton,1.8,1.1,2.8,0.9,0.6,0.6,0.1,0.0,0.0,0.9,0.2,0.3,1.1,0.0,0.0,0.0,0.0,1.3,0.7,0.0,0.6,0.2,0.0,0.1,0.1,1.5,1.5,3.0,1.5,1.3,0.9,0.4,0.5,21.0,1.0,1.3,15.0,3.6,1.4,0.8,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.1
Willian,Fulham,0.5,0.7,1.1,0.3,0.9,0.4,0.1,0.0,0.1,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.6,0.0,1.0,0.2,0.0,0.1,0.1,1.3,1.4,2.6,1.6,0.9,1.2,0.3,0.9,31.3,2.0,0.9,23.8,4.6,1.9,0.5,1.4,0.1,0.1,0.0,0.0,0.0,0.0,0.2
Leandro Trossard,Brighton,0.6,0.4,1.1,0.4,0.8,0.6,0.1,0.0,0.3,0.0,0.0,0.1,1.1,0.0,0.0,0.0,0.0,2.4,0.3,0.1,1.9,0.4,0.1,0.4,0.0,1.6,0.9,2.5,2.4,1.6,1.1,0.4,0.7,29.5,1.6,1.0,20.3,6.6,1.4,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Ben Mee,Brentford,1.2,0.5,1.7,1.3,0.4,0.4,0.1,0.0,0.0,3.1,1.1,0.2,0.3,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.6,0.1,0.0,0.1,0.0,0.0,0.3,0.4,0.5,0.1,6.2,3.6,2.6,44.8,2.9,4.0,31.6,6.3,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Kenny Tete,Fulham,2.7,0.4,3.1,1.7,1.7,1.4,0.3,0.0,0.0,2.4,0.5,0.3,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.5,0.7,1.2,0.7,0.8,2.0,1.1,0.9,35.9,1.5,1.8,25.8,6.8,0.7,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.2
Granit Xhaka,Arsenal,0.9,0.7,1.6,0.4,1.1,0.7,0.1,0.0,0.1,1.1,0.3,0.1,0.5,0.0,0.0,0.0,0.0,1.1,0.4,0.2,0.5,0.2,0.0,0.2,0.0,0.4,0.4,0.8,0.9,0.7,1.8,1.0,0.8,42.5,1.9,0.7,34.9,5.0,1.3,0.0,1.3,0.1,0.0,0.0,0.0,0.0,0.1,0.2
Lucas Paquetá,West Ham,2.5,1.5,4.0,0.6,1.1,1.8,0.2,0.0,0.0,1.1,0.1,0.0,1.3,0.0,0.0,0.0,0.0,1.9,0.9,0.2,0.8,0.1,0.1,0.0,0.0,1.1,1.3,2.3,1.7,1.6,2.4,1.3,1.1,40.2,1.6,0.6,30.6,7.4,1.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Martin Dúbravka,Newcastle,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.5,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.5,2.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Tarkowski,Everton,1.3,0.5,1.8,1.3,0.6,1.1,0.2,0.0,0.1,5.2,2.1,0.1,0.6,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.6,0.1,4.4,3.2,1.3,42.6,3.2,3.6,31.4,4.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Díaz,Liverpool,1.0,0.4,1.4,0.4,1.4,1.2,0.1,0.0,0.2,0.1,0.0,0.1,0.5,0.0,0.0,0.0,0.0,1.6,0.2,0.2,1.2,0.2,0.1,0.1,0.1,1.9,1.9,3.8,1.8,2.2,1.9,0.5,1.4,26.2,1.0,0.1,20.7,4.5,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Ollie Watkins,Aston Villa,0.5,0.5,1.0,0.3,1.1,0.7,0.1,0.0,0.5,1.1,0.1,0.0,0.5,0.0,0.0,0.0,0.0,2.3,0.1,0.3,1.9,0.4,0.1,0.3,0.0,1.3,0.5,1.8,2.2,1.1,4.6,1.9,2.7,14.9,0.1,0.1,10.3,4.4,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Diogo Dalot,Manchester United,2.1,0.5,2.5,1.4,0.1,0.8,0.2,0.0,0.0,2.0,0.3,0.1,0.7,0.0,0.0,0.0,0.0,0.8,0.5,0.1,0.3,0.0,0.0,0.0,0.0,0.5,0.8,1.3,0.7,0.2,2.2,1.5,0.7,45.7,2.7,2.5,34.1,6.4,1.1,0.2,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Pedro Porro,Tottenham,1.7,1.7,3.3,1.0,1.1,0.8,0.0,0.0,0.1,1.3,0.1,0.3,1.5,0.0,0.0,0.0,0.0,1.7,0.8,0.1,0.9,0.2,0.0,0.2,0.0,1.8,0.9,2.7,1.0,0.5,0.8,0.1,0.7,31.9,1.0,1.9,23.0,5.9,1.7,0.5,1.1,0.1,0.0,0.0,0.0,0.0,0.1,0.2
Marcus Tavernier,Bournemouth,1.4,1.0,2.4,0.4,1.2,0.9,0.0,0.0,0.2,0.7,0.2,0.3,0.9,0.0,0.0,0.0,0.0,1.6,0.5,0.0,1.0,0.2,0.0,0.1,0.0,2.2,2.0,4.2,2.0,1.7,2.1,0.7,1.4,25.9,0.8,1.1,19.2,4.7,0.8,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.2
Rúben Neves,Wolves,2.3,1.3,3.5,1.4,0.5,1.1,0.3,0.0,0.0,2.3,0.6,0.1,1.1,0.0,0.0,0.0,0.0,1.9,1.5,0.0,0.4,0.2,0.0,0.1,0.1,0.3,0.6,0.9,0.6,0.4,1.4,0.7,0.7,58.1,6.1,4.3,42.7,5.0,0.9,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Ward-Prowse,Southampton,1.7,1.1,2.8,1.4,0.5,0.9,0.2,0.0,0.0,1.2,0.3,0.1,0.5,0.0,0.0,0.0,0.0,1.2,0.9,0.0,0.3,0.2,0.0,0.2,0.1,0.3,0.2,0.5,0.7,0.6,2.5,1.2,1.4,50.5,1.7,2.0,41.4,5.4,1.9,0.9,1.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1
