Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Viktor Kovalenko,Spezia,28,M(C),7(11),549,0,0,1,0,0.6,81.5,0.3,0,6.19,0.5,0.2,0.5,0,0.4,0.2,0.1,0,0.6,0.3,0.2,0.7,0.1,0.1,0.5,12.3,0.3,0.4,0,,,,,
Salvatore Molina,Monza,32,"DMC,M(LR)",1(4),229,0,0,1,0,0.2,81,0,0,6.19,1.2,0.2,0.8,0.2,0.2,0.2,0.4,0,0.2,0.4,0.4,0.6,0,0.4,0.8,16.8,0.8,0,0,,,,,
Salvatore Molina,Monza,32,"DMC,M(LR)",1(4),229,0,0,1,0,0.2,81,0,0,6.19,1.2,0.2,0.8,0.2,0.2,0.2,0.4,0,0.2,0.4,0.4,0.6,0,0.4,0.8,16.8,0.8,0,0,,,,,
Salvatore Molina,Monza,32,"DMC,M(LR)",1(4),229,0,0,1,0,0.2,81,0,0,6.19,1.2,0.2,0.8,0.2,0.2,0.2,0.4,0,0.2,0.4,0.4,0.6,0,0.4,0.8,16.8,0.8,0,0,,,,,
Tiémoué Bakayoko,AC Milan,29,DMC,0(3),38,0,0,0,0,0,85,0.3,0,6.19,1.7,0,1,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.3,6.7,0,0.7,0,,,,,
Tiémoué Bakayoko,AC Milan,29,DMC,0(3),38,0,0,0,0,0,85,0.3,0,6.19,1.7,0,1,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.3,6.7,0,0.7,0,,,,,
Tiémoué Bakayoko,AC Milan,29,DMC,0(3),38,0,0,0,0,0,85,0.3,0,6.19,1.7,0,1,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.3,6.7,0,0.7,0,,,,,
Tio Cipot,Spezia,21,Forward,0(8),133,0,0,0,0,0.3,72.9,0.1,0,6.19,1.5,0,0.1,0,0.3,0.3,0,0,0.3,0.4,0.4,0.3,0,0.8,0.6,6,0.1,0,0,,,,,
Tio Cipot,Spezia,21,Forward,0(8),133,0,0,0,0,0.3,72.9,0.1,0,6.19,1.5,0,0.1,0,0.3,0.3,0,0,0.3,0.4,0.4,0.3,0,0.8,0.6,6,0.1,0,0,,,,,
Tio Cipot,Spezia,21,Forward,0(8),133,0,0,0,0,0.3,72.9,0.1,0,6.19,1.5,0,0.1,0,0.3,0.3,0,0,0.3,0.4,0.4,0.3,0,0.8,0.6,6,0.1,0,0,,,,,
