player_name,team_name,Unsuccessful,Successful,Total Dribbles
Rayan Raveloson,Auxerre,0.6,0.2,0.8
Pape Gueye,Marseille,0.4,0.1,0.5
Ronaël Pierre-Gabriel,Strasbourg,0.4,0.8,1.1
Kamory Doumbia,Reims,0.7,0.7,1.4
Haris Belkebla,Brest,0.6,0.3,0.9
Evann Guessand,Nantes,1.3,1.2,2.6
Brecht Dejaegere,Toulouse,1,0.6,1.7
Jean Onana,Lens,0,0.3,0.3
Kenji-Van Boto,Auxerre,0,0,0
Yohann Magnin,Clermont Foot,0.7,0.2,0.8
Johann Lepenant,Lyon,0.9,0.7,1.5
Mickaël Barreto,AC Ajaccio,1.3,1.2,2.5
Vincent Marchetti,AC Ajaccio,1.1,1.5,2.5
Arkadiusz Milik,Marseille,0.5,0,0.5
Bamba Dieng,Lorient,1.5,0.6,2.1
Lesley Ugochukwu,Rennes,0.3,0.5,0.8
Théo Le Bris,Lorient,0.9,0.6,1.4
Sanjin Prcic,Strasbourg,0.2,0.5,0.7
Gerson,Marseille,0.5,0.2,0.7
Massadio Haïdara,Lens,0.3,0.2,0.6
Xeka,Rennes,0.6,0.1,0.8
Aiman Maurer,Clermont Foot,1.3,1.7,3
Youssouf Koné,AC Ajaccio,0.8,0.6,1.5
Gaetan Perrin,Auxerre,0.9,1.6,2.5
Kamaldeen Sulemana,Rennes,1.2,1.1,2.3
Reda Belahyane,Nice,0,1.3,1.3
Damien Da Silva,Lyon,0.1,0.1,0.3
Abdu Conté,Troyes,0.8,0.1,0.9
Ibrahima Koné,Lorient,0.2,0.4,0.6
Carlos Soler,Paris Saint-Germain,0.3,0.2,0.5
Yuito Suzuki,Strasbourg,0.3,0.7,1
Hugo Magnetti,Brest,0.4,0.7,1.1
Mehdi Zeffane,Clermont Foot,0.3,0.2,0.5
Stéphane Diarra,Lorient,1.9,0.9,2.8
Mathias Pereira Lage,Brest,0.7,0.4,1.1
Jim Allevinah,Clermont Foot,1.5,0.9,2.4
Wesley Saïd,Lens,0.4,0.8,1.2
Léo Leroy,Montpellier,0.7,0.4,1.1
Achraf Dari,Brest,0,0.1,0.1
Kays Ruiz-Atil,Auxerre,0,1,1
Yasser Larouci,Troyes,1.6,1.3,2.9
Warren Kamanzi,Toulouse,0.7,0.9,1.6
Myziane Maolida,Reims,0.3,0.9,1.2
Leny Yoro,Lille,0,0.2,0.2
Fernand Mayembo,AC Ajaccio,0.2,0.4,0.5
Colin Dagba,Strasbourg,0.7,0.5,1.2
Bradley Locko,Brest,0.7,1.3,2
Takumi Minamino,Monaco,0.6,0.4,1
Eduard Sobol,Strasbourg,0.9,0.7,1.7
Rudy Kohon,Troyes,1,0,1
Bevic Moussiti-Oko,AC Ajaccio,0.8,0.8,1.5
Jean-Victor Makengo,Lorient,0.9,1.4,2.3
Gerzino Nyamsi,Strasbourg,0.3,0.5,0.8
Renato Sanches,Paris Saint-Germain,0.4,0.6,1
Jean-Eudes Aholou,Strasbourg,0.7,0.5,1.1
Yoann Salmier,Troyes,0.2,0.2,0.4
Mattia Viti,Nice,0.8,0.6,1.3
Wilson Odobert,Troyes,1.9,1,3
Jere Uronen,Brest,0,0.3,0.3
Rubén Blanco,Marseille,0,0,0
Kevin Volland,Monaco,0.2,0.1,0.3
Dion Lopy,Reims,0.7,0.6,1.2
