player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5
Nabil Bentaleb,Angers,29,CM,29(1),2492,4,4,5,1,1.4,85.2,1.0,4,7.03,2.5,1.5,1.3,0.1,0.9,0.8,0.4,0,1.1,2.1,1.8,0.0,1.2,1.5,58.3,0.7,4.0,0.1,2.9,1.1,0.1,41.0,0.07,CM,,,,
Przemyslaw Frankowski,Lens,29,"RB, CM, LM, RM",31(6),2838,5,3,4,0,0.8,82.1,0.3,3,7.03,2.1,1.1,0.9,0.1,0.9,1.1,0.2,0,1.8,0.4,0.5,0.2,0.4,0.8,36.1,1.7,1.4,0.0,4.28,0.72,0.14,31.0,0.14,RB, CM, LM, RM,
Ludovic Blas,Nantes,26,"CM, LM, RM, FW",30(7),2821,7,5,6,0,2.7,85.5,0.5,3,7.01,1.3,0.5,1.6,0.0,0.2,0.9,0.0,0,1.3,2.2,1.7,0.1,2.1,2.4,28.0,0.9,1.6,0.0,9.89,-2.89,0.32,99.0,0.1,CM, LM, RM, FW,
Terem Moffi,Lorient,24,"CAM, RAM, FW",17(1),1398,12,0,1,0,1.9,75.9,0.7,1,7.01,0.8,0.1,0.8,0.0,0.3,0.6,0.0,0,1.7,1.6,0.6,0.3,1.3,1.6,14.3,0.1,0.2,0.1,7.17,-1.17,0.48,44.0,0.16,CAM, RAM, FW,,
Valentin Rongier,Marseille,29,"RB, CM",34(2),3034,1,2,8,0,0.6,88.5,1.2,1,7.0,2.6,1.5,1.4,0.0,0.9,1.0,0.3,0,0.9,0.8,0.8,0.0,0.8,0.9,58.0,0.1,2.6,0.1,1.76,-0.76,0.05,22.0,0.08,RB, CM,,,
Franck Honorat,Brest,27,"LM, RM, FW",29(4),2546,6,5,1,0,1.4,75.0,0.4,3,7.0,1.2,0.6,0.7,0.0,0.5,0.5,0.1,0,2.7,0.5,0.5,0.3,0.6,1.7,24.6,2.2,0.7,0.0,4.47,1.53,0.16,47.0,0.1,LM, RM, FW,,
Loïs Openda,Lens,24,FW,29(9),2529,21,4,2,0,2.7,71.2,0.3,6,6.99,0.3,0.1,1.1,0.0,0.2,0.3,0.0,0,0.6,0.5,1.2,0.6,0.6,1.6,10.6,0.1,0.2,0.1,17.36,3.64,0.62,104.0,0.17,FW,,,,
Rayan Cherki,Lyon,20,"CAM, LAM, RAM, FW",21(13),1874,4,6,3,0,1.8,81.0,0.1,3,6.99,0.4,0.1,0.5,0.0,0.0,0.4,0.0,0,2.0,2.3,0.9,0.1,1.4,1.9,28.8,0.9,1.5,0.2,4.76,-0.76,0.23,61.0,0.08,CAM, LAM, RAM, FW,
Pierre Lees-Melou,Brest,30,"CM, LM, RM",32,2773,5,5,10,1,1.3,83.9,0.6,3,6.99,3.0,1.6,1.3,0.0,1.3,2.1,0.4,0,0.5,0.7,1.5,0.0,0.6,0.9,44.2,0.2,5.5,0.1,2.01,2.99,0.07,43.0,0.05,CM, LM, RM,,
Hicham Boudaoui,Nice,24,"CM, RM",22(5),1882,1,2,5,0,0.8,89.7,0.3,0,6.97,2.5,1.3,1.1,0.0,0.6,0.7,0.2,0,0.9,1.1,1.3,0.0,0.6,1.0,44.4,0.2,1.1,0.0,0.85,0.15,0.04,21.0,0.04,CM, RM,,,
Nicolas Pépé,Nice,28,"CAM, LAM, RAM, FW",17(2),1529,6,0,2,0,2.6,83.1,0.4,1,6.96,1.3,0.2,0.7,0.0,0.1,0.7,0.0,0,1.5,1.8,1.8,0.3,2.7,2.4,33.6,0.9,0.7,0.1,8.18,-2.18,0.48,49.0,0.17,CAM, LAM, RAM, FW,
