player_name,team_name,Fouled,Fouls
Ross Barkley,Nice,0.6,0.5
Nicolas Cozza,Montpellier,1.1,0.5
Stephy Mavididi,Montpellier,0.7,0.8
Jean-Louis Leca,Lens,0,0
Amine Harit,Marseille,1.3,0.2
Henrique,Lyon,1.6,0.7
Rémy Riou,Lyon,0,0
Edan Diop,Monaco,0.6,1
David Pereira da Costa,Lens,0.5,0.5
Maxime Esteve,Montpellier,0.3,0.8
Timothy Weah,Lille,0.6,0.6
Gabriel Gudmundsson,Lille,1.2,0.9
Mohamed Youssouf,AC Ajaccio,1.2,1.3
Igor Silva,Lorient,0.7,1
Noah Fadiga,Brest,0.9,1
Falaye Sacko,Montpellier,0.5,0.7
Dimitri Liénard,Strasbourg,0.5,0.6
Florent Mollet,Nantes,1.1,0.9
Antoine Mendy,Nice,0.3,0.8
Pedro Chirivella,Nantes,0.7,0.8
Akim Zedadka,Auxerre,1.4,1.2
Rayan Raveloson,Auxerre,1,0.6
Pape Gueye,Marseille,0.9,0.7
Ronaël Pierre-Gabriel,Strasbourg,0.6,0.9
Kamory Doumbia,Reims,0.3,0.6
Haris Belkebla,Brest,1.3,0.9
Evann Guessand,Nantes,0.7,1
Brecht Dejaegere,Toulouse,1.2,1.3
Jean Onana,Lens,0.5,0.3
Kenji-Van Boto,Auxerre,2,1
Yohann Magnin,Clermont Foot,1.3,1.3
Johann Lepenant,Lyon,0.8,1.1
Mickaël Barreto,AC Ajaccio,0.4,1
Vincent Marchetti,AC Ajaccio,1.2,0.9
Arkadiusz Milik,Marseille,0.5,2
Bamba Dieng,Lorient,2.1,1.4
Lesley Ugochukwu,Rennes,0.5,1.1
Théo Le Bris,Lorient,0.1,0.2
Sanjin Prcic,Strasbourg,0.7,0.6
Gerson,Marseille,1.6,1.6
Massadio Haïdara,Lens,0.7,0.5
Xeka,Rennes,1.4,1.6
Aiman Maurer,Clermont Foot,1.5,0.5
Youssouf Koné,AC Ajaccio,1.3,1.2
Gaetan Perrin,Auxerre,0.6,0.5
Kamaldeen Sulemana,Rennes,0.4,0.4
Reda Belahyane,Nice,0.3,1.3
Damien Da Silva,Lyon,0.3,1.1
Abdu Conté,Troyes,0.6,0.6
Ibrahima Koné,Lorient,0.6,0.8
Carlos Soler,Paris Saint-Germain,0.5,0.7
Yuito Suzuki,Strasbourg,0.7,0.3
Hugo Magnetti,Brest,0.8,0.5
Mehdi Zeffane,Clermont Foot,0.2,0.2
Stéphane Diarra,Lorient,0.8,0.3
Mathias Pereira Lage,Brest,1.1,1
Jim Allevinah,Clermont Foot,1.5,0.6
Wesley Saïd,Lens,0,1
Léo Leroy,Montpellier,0.7,1.4
Achraf Dari,Brest,0.7,0.7
Kays Ruiz-Atil,Auxerre,3,2
Yasser Larouci,Troyes,1,0.5
Warren Kamanzi,Toulouse,0.6,0.6
Myziane Maolida,Reims,0.1,0.6
Leny Yoro,Lille,0.4,0.4
Fernand Mayembo,AC Ajaccio,1.4,0.8
Colin Dagba,Strasbourg,0.3,0.7
Bradley Locko,Brest,0.3,0
Takumi Minamino,Monaco,0.6,1.1
Eduard Sobol,Strasbourg,1.1,0.7
Rudy Kohon,Troyes,0,0
Bevic Moussiti-Oko,AC Ajaccio,1.3,1.1
Jean-Victor Makengo,Lorient,1.8,1.2
Gerzino Nyamsi,Strasbourg,0.2,1.9
Renato Sanches,Paris Saint-Germain,0.4,1
Jean-Eudes Aholou,Strasbourg,0.8,1.3
Yoann Salmier,Troyes,0.9,0.9
Mattia Viti,Nice,0.6,0.3
Wilson Odobert,Troyes,0.5,0.3
Jere Uronen,Brest,1.2,0.5
Rubén Blanco,Marseille,0.2,0
Kevin Volland,Monaco,0.8,1.2
Dion Lopy,Reims,0.9,1.1
Jodel Dossou,Clermont Foot,0.3,0.3
Darlin Yongwa,Lorient,1.1,1
Houssem Aouar,Lyon,0.3,0.4
Jean-Claude Billong,Clermont Foot,0,0
Miha Blazic,Angers,0.7,0.5
Logan Costa,Toulouse,0.7,0.3
Samuel Moutoussamy,Nantes,0.4,0.9
Calvin Stengs,Nice,1.5,1.3
Adil Rami,Troyes,0.7,0.5
Ibrahima Sissoko,Strasbourg,0.6,1.6
Cédric Bakambu,Marseille,0.3,0.7
Ibrahim Diakité,Reims,0.7,1
Youcef Belaïli,Brest,1.3,1.8
Soungoutou Magassa,Monaco,0.5,1
Paul Bernardoni,Angers,0.1,0
Julian Jeanvier,Auxerre,0.5,1.1
Jeff Reine-Adélaïde,Lyon,0.3,0.5
Lassine Sinayoko,Auxerre,0.7,0.9
Pablo Rosario,Nice,0.4,0.6
Adrien Thomasson,Strasbourg,1.3,1.1
Julien Ponceau,Lorient,0.8,0.7
Souleyman Doumbia,Angers,0.8,1.1
Cyrille Bayala,AC Ajaccio,0.8,0.9
Akim Zedadka,Lille,1,0.6
Arbër Zeneli,Reims,0.5,0.3
Billal Brahimi,Nice,0.3,0.1
Oumar Gonzalez,AC Ajaccio,1.5,1.5
Vincent Sierro,Toulouse,0.5,1.3
Sacha Delaye,Montpellier,0,0.3
Siriki Dembélé,Auxerre,0.8,0.7
Moussa Sissoko,Nantes,0.5,0.9
Thierno Baldé,Troyes,1.1,0.3
Alexandre Coeff,Auxerre,0.1,0.4
Matis Carvalho,Montpellier,0,0
Yoann Cathline,Lorient,1.2,0.5
Ibrahima Niané,Angers,1.7,0.8
Abdallah Sima,Angers,0.7,0.9
Christophe Hérelle,Brest,0.9,0.8
Brayann Pereira,Auxerre,2,0.5
Birger Meling,Rennes,0.6,0.7
Wout Faes,Reims,1,0.7
Bamba Dieng,Marseille,0.6,0.8
Adrien Hunou,Angers,1.3,0.4
Cédric Hountondji,Angers,0.3,1.2
Vítinha,Marseille,0.6,0.5
Eric Bailly,Marseille,0.3,0.6
Tanguy Zoukrou,Troyes,0.1,0.6
Pierrick Capelle,Angers,0.2,1.2
Romain Faivre,Lyon,0.4,0.7
Franci Bouebari,Strasbourg,0,1
Ismaël Diallo,AC Ajaccio,1.2,1.5
Batista Mendy,Angers,1.2,1.9
Amine Salama,Angers,0.4,0.3
Mitchell van Bergen,Reims,0.3,0.4
Amine Gouiri,Nice,0.7,0.7
Mickaël Alphonse,AC Ajaccio,0.6,0.7
Moussa Diarra,Toulouse,0.7,0.8
Denis Genreau,Toulouse,0.2,0.5
Rémy Descamps,Nantes,0,0
Jeff Reine-Adélaïde,Troyes,0.8,0.3
João Victor,Nantes,0.8,0.7
Komnen Andric,Clermont Foot,1.2,0.5
Ruben Aguilar,Monaco,0.7,0.8
Maxime Busi,Reims,0.3,0.9
Khalil Fayad,Montpellier,0.7,0.7
Dennis Appiah,Nantes,0.1,1.1
Bonke Innocent,Lorient,0.4,1.5
Erik Palmer-Brown,Troyes,0.3,0.8
Amin Sarr,Lyon,0.3,1.1
Timothée Pembélé,Paris Saint-Germain,0.2,0
Florent Ogier,Clermont Foot,0.3,0.6
Nordine Kandil,Strasbourg,0.4,0.1
Jérôme Boateng,Lyon,0,0.1
Gauthier Hein,Auxerre,0.4,0.6
Azzedine Ounahi,Marseille,0.4,0.1
Arnaud Souquet,Montpellier,0.6,0.6
Thomas Mangani,AC Ajaccio,0.5,0.9
Moussa Dembélé,Lyon,0.1,0.7
Benoît Costil,Auxerre,0,0
Alexis Beka Beka,Nice,0.5,0.8
Enzo Tchato,Montpellier,0.3,0.6
Marcus Coco,Nantes,0.4,0.7
Malang Sarr,Monaco,0.3,0.8
Romain Hamouma,AC Ajaccio,0.8,0.9
Papa Ndiaga Yade,Troyes,0.7,1
Farid El Melali,Angers,0.9,0.8
M'Baye Niang,Auxerre,1.4,1.4
Warren Zaïre-Emery,Paris Saint-Germain,0.2,0.3
Gelson Martins,Monaco,0.4,0.5
Mamadou Sakho,Montpellier,0.3,0.4
Julien Le Cardinal,Lens,0.3,0.6
Clément Vidal,AC Ajaccio,0.7,0.8
Ibrahim Salah,Rennes,0.1,0.2
Myron Boadu,Monaco,0.3,0.6
Youssouf M'Changama,Auxerre,0.7,0.5
Mohamed Bayo,Lille,0.1,0.5
Eliot Matazo,Monaco,0.5,0.8
Ayoub Amraoui,Nice,0.3,0.7
Maghnes Akliouche,Monaco,0.4,0.6
Steven Fortès,Lens,0,0
Andy Delort,Nantes,0.3,0.8
Jérémie Bela,Clermont Foot,0.9,0.4
Ismail Jakobs,Monaco,0.3,0.4
Yanis Cimignani,AC Ajaccio,0.3,0.6
Fallou Fall,Reims,1,1
Kévin Danois,Auxerre,0,0
Carlos Baleba,Lille,0.9,0.7
Sada Thioub,Angers,0.2,0.5
Andreas Bruus,Troyes,0.3,0.4
Rares Ilie,Nice,0,0
Kevin Spadanuda,AC Ajaccio,1,0.9
Sébastien Corchia,Nantes,0.8,0.7
Benjamin Leroy,AC Ajaccio,0.1,0
Marcin Bulka,Nice,0,0
Siriné Doucouré,Lorient,0.8,0.7
Ismaël Boura,Lens,0.3,0
Pablo Sarabia,Paris Saint-Germain,0.4,0.3
Alexis Claude-Maurice,Nice,1,0
Ibrahim Amadou,Angers,0.4,0.6
Oliver Zandén,Toulouse,1.2,0.6
Souleymane Cissé,Clermont Foot,0.5,1
Islam Slimani,Brest,0.9,1.1
Charles Traoré,Nantes,1.1,0.5
Mathieu Coutadeur,AC Ajaccio,0.5,0.2
Riad Nouri,AC Ajaccio,0.5,0.5
Ruan,AC Ajaccio,0.3,0.7
Arial Mendy,Clermont Foot,1.4,0.2
Taïryk Arconte,Brest,0.5,0.3
Valère Germain,Montpellier,0.1,0.3
Matthis Abline,Auxerre,0.5,0.7
Halid Sabanovic,Angers,0.1,0.7
Lebo Mothiba,Strasbourg,0.6,0.6
Ado Onaiwu,Toulouse,0.4,0.4
Lukasz Poreba,Lens,0.2,0.9
Matthis Abline,Rennes,0.5,0.3
Jonas Martin,Lille,0.4,0.8
Ayman Kari,Lorient,1,0.2
Lois Diony,Angers,0.4,0.9
Abdoulaye Bamba,Angers,0.6,0.5
Gaëtan Charbonnier,Auxerre,0.2,0.5
Iké Ugbo,Troyes,0.4,0.5
Serhou Guirassy,Rennes,0,0
Lorenz Assignon,Rennes,0.3,0.3
Mehdi Puch-Herrantz,AC Ajaccio,0.3,0.3
Fábio,Nantes,0.2,0.5
Ismaël Gharbi,Paris Saint-Germain,0.7,0.5
Karol Fila,Strasbourg,0,0
Tony Strata,AC Ajaccio,0.3,1
Cédric Avinel,AC Ajaccio,0.1,0.5
Theocharis Tsingaras,Toulouse,0,0
Justin-Noel Kalumba,Angers,1.3,0.4
Gaël Kakuta,Lens,0.5,0
Amar Fatah,Troyes,1,1
Joe Bryan,Nice,0.5,0.7
Marin Jakolis,Angers,0,1
Martin Adeline,Reims,0,1
Kyliane Dong,Troyes,0.3,0.2
Flavius Daniliuc,Nice,0,1
Théo Pellenard,Auxerre,0,0.5
Lohann Doucet,Nantes,0,0.2
Qazim Laçi,AC Ajaccio,0.2,0.2
Derek Mazou-Sacko,Troyes,0,2
Antonin Bobichon,Angers,0,0
Axel Camblan,Brest,0.1,0.6
Ousmane Camara,Angers,0.2,0.6
Adil Aouchiche,Lorient,0.5,0.4
Duje Caleta-Car,Marseille,0,0
Rémy Dugimont,Auxerre,0.1,0.5
Mohamed Achi,Nantes,0,1
Alexis Tibidi,Troyes,0.3,0
Ben Touré,AC Ajaccio,1.3,1.8
Samuel Koeberlé,Reims,0,0
Yanis Massolin,Clermont Foot,0.2,0
Waniss Taïbi,Angers,0,0.3
Chrislain Matsima,Lorient,0.2,0
Stredair Appuah,Nantes,0.4,0
Ivane Chegra,AC Ajaccio,0.5,0.5
Noah Holm,Reims,1.1,0.8
Félix Lemaréchal,Brest,0,0.5
Mamadou Diakhon,Reims,0,0
Ilyés Chétti,Angers,0.2,0.7
Jean-Mattéo Bahoya,Angers,0.7,0.4
Brandon Baiye,Clermont Foot,0,0
Eli Kroupi,Lorient,1,0
Marvin Senaya,Strasbourg,0,0
Rémy Labeau-Lascary,Lens,0,0.4
Marlos Moreno,Troyes,0.5,0.5
El Chadaille Bitshiabu,Paris Saint-Germain,0,0.3
Veljko Birmancevic,Toulouse,0.3,0.2
Valentin Atangana Edoa,Reims,1.1,1
Tristan Dingomé,Troyes,0.1,0.1
Dogan Alemdar,Rennes,0,0
Mohamed Touré,Reims,0,0.3
