player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Julian Jeanvier,Auxerre,35.5,2.5,2.6,27,3.4
Jeff Reine-Adélaïde,Lyon,22.4,0.5,0.1,19.6,2.1
Lassine Sinayoko,Auxerre,15.8,0.4,0.4,11.8,3.2
Pablo Rosario,Nice,33.2,1.6,0.8,28,2.7
Adrien Thomasson,Strasbourg,34.1,0.9,0.5,27.3,5.3
Julien Ponceau,Lorient,26.3,0.8,0.5,21.2,3.8
Souleyman Doumbia,Angers,31.3,0.9,1.3,24.3,4.8
Cyrille Bayala,AC Ajaccio,17.3,0.5,1.3,10.7,4.8
Akim Zedadka,Lille,23.9,0.8,0.9,19.5,2.8
Arbër Zeneli,Reims,15.8,0.4,0.4,11.7,3.3
Billal Brahimi,Nice,11.5,0.2,0.2,9.3,1.8
Oumar Gonzalez,AC Ajaccio,36.5,1.6,2.8,28.3,3.9
Vincent Sierro,Toulouse,25.2,1.3,1,19.5,3.5
Sacha Delaye,Montpellier,4,0,0.3,2,1.7
Siriki Dembélé,Auxerre,7.5,0.2,0.1,6.2,1.1
Moussa Sissoko,Nantes,25.1,0.9,0.7,19.5,4
Thierno Baldé,Troyes,23.8,0.5,0.2,19.3,3.8
Alexandre Coeff,Auxerre,48.4,4.1,2.9,35.7,5.7
Matis Carvalho,Montpellier,24,7.5,15.5,1,0
Yoann Cathline,Lorient,12.7,0.2,0.3,9,3.1
Ibrahima Niané,Angers,13.9,0.5,0.1,10.3,3
Abdallah Sima,Angers,10.3,0.1,0.1,7.7,2.3
Christophe Hérelle,Brest,26.9,1.8,1.3,21.5,2.4
Brayann Pereira,Auxerre,27,0.5,1,21.5,4
Birger Meling,Rennes,23.8,1,0.5,19.5,2.8
Wout Faes,Reims,38,3,2.3,28.7,4
Bamba Dieng,Marseille,4.2,0,0,2.6,1.6
Adrien Hunou,Angers,21.1,0.3,0.4,16.1,4.3
Cédric Hountondji,Angers,39.9,2.2,2.3,32.4,3
Vítinha,Marseille,7.6,0.1,0.1,5.4,2
Eric Bailly,Marseille,15.9,1.4,0.8,12.1,1.7
Tanguy Zoukrou,Troyes,27.1,0.8,1.4,22.9,2.1
Pierrick Capelle,Angers,24.9,1,0.7,20.5,2.6
Romain Faivre,Lyon,15.1,0.2,0.1,13.7,1.1
Franci Bouebari,Strasbourg,7,0,0.5,4,2.5
Ismaël Diallo,AC Ajaccio,30.6,2.4,2.8,20.9,4.6
Batista Mendy,Angers,40.5,1.9,1.4,33.2,4
Amine Salama,Angers,12.3,0.1,0,9.2,3
Mitchell van Bergen,Reims,8.5,0.1,0.3,6.6,1.5
Amine Gouiri,Nice,22,0.3,0,17,4.7
