,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
327,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,0.3,0,0.1,0,0,0.3,0,0,1.1,2.7,1.6,0.1,0.8,1.7,13.4,0,0.4,0,2.07,-2.07,0.16,23,0.09
328,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,0.3,0,0.1,0,0,0.3,0,0,1.1,2.7,1.6,0.1,0.8,1.7,13.4,0,0.4,0,0.52,0.48,0.4,3,0.17
329,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,0.3,0,0.1,0,0,0.3,0,0,0.1,0.9,0.4,0,0.7,0.3,40.4,0.2,2.3,0.1,2.07,-2.07,0.16,23,0.09
330,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,0.3,0,0.1,0,0,0.3,0,0,0.1,0.9,0.4,0,0.7,0.3,40.4,0.2,2.3,0.1,0.52,0.48,0.4,3,0.17
331,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,0.3,0,0.1,0,0,0.3,0,0,0.1,0.9,0.4,0,0.7,0.3,13.4,0,0.4,0,2.07,-2.07,0.16,23,0.09
332,152,Azzedine Ounahi,Angers,24, AM(CR),13(2),1137,0,0,1,0,1.5,88.3,0.3,0,6.73,0.3,0,0.1,0,0,0.3,0,0,0.1,0.9,0.4,0,0.7,0.3,13.4,0,0.4,0,0.52,0.48,0.4,3,0.17
333,153,Castello Lukeba,Lyon,21, D(C),33(1),2986,2,0,7,1,0.4,90.4,1.1,0,6.73,1.1,2.2,1.1,0.8,3,0.3,0.7,1,0.1,0.3,0.6,0,0.2,0.6,65.9,0.1,2.1,0,1.53,0.47,0.05,13,0.12
334,154,Mama Baldé,Troyes,28," D(R),M(CLR),FW",30(4),2672,12,3,4,2,2.2,68.1,1.3,3,6.73,1.4,0.3,1.1,0,0.4,0.4,0.1,0,0.6,1.6,1.4,0.6,2,3.6,16.7,0.1,0.6,0,11.03,0.97,0.37,75,0.15
335,155,Gideon Mensah,Auxerre,25," D(L),M(L)",26,2263,0,0,5,0,0.2,79.6,0.8,2,6.73,3.1,1.5,1.1,0.2,1.5,1.3,0.4,0,1,1,0.7,0,0.5,1.7,44.2,0.6,2.5,0.1,0.1,-0.1,0,5,0.02
336,156,Ante Palaversa,Troyes,24, DMC,0(2),29,1,0,0,0,0.5,93.3,0.0,0,6.73,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,7.5,0,0.5,0,0.51,0.49,1.59,1,0.51
337,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,0,1,0,0,0,0,0,0,3,1,2,1,3,3,26,2,0,0,0.92,0.08,1.26,2,0.46
338,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,0,1,0,0,0,0,0,0,3,1,2,1,3,3,26,2,0,0,2.31,-1.31,0.17,28,0.08
339,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,0,1,0,0,0,0,0,0,3,1,2,1,3,3,29.6,0.5,1.2,0,0.92,0.08,1.26,2,0.46
340,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,0,1,0,0,0,0,0,0,3,1,2,1,3,3,29.6,0.5,1.2,0,2.31,-1.31,0.17,28,0.08
341,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,0,1,0,0,0,0,0,0,1,1,1.2,0.1,1,1.8,26,2,0,0,0.92,0.08,1.26,2,0.46
342,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,0,1,0,0,0,0,0,0,1,1,1.2,0.1,1,1.8,26,2,0,0,2.31,-1.31,0.17,28,0.08
343,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,0,1,0,0,0,0,0,0,1,1,1.2,0.1,1,1.8,29.6,0.5,1.2,0,0.92,0.08,1.26,2,0.46
344,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,0,1,0,0,0,0,0,0,1,1,1.2,0.1,1,1.8,29.6,0.5,1.2,0,2.31,-1.31,0.17,28,0.08
345,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,1,0.7,0.4,0,0.1,0.6,0.1,0,3,1,2,1,3,3,26,2,0,0,0.92,0.08,1.26,2,0.46
346,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,1,0.7,0.4,0,0.1,0.6,0.1,0,3,1,2,1,3,3,26,2,0,0,2.31,-1.31,0.17,28,0.08
347,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,1,0.7,0.4,0,0.1,0.6,0.1,0,3,1,2,1,3,3,29.6,0.5,1.2,0,0.92,0.08,1.26,2,0.46
348,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,1,0.7,0.4,0,0.1,0.6,0.1,0,3,1,2,1,3,3,29.6,0.5,1.2,0,2.31,-1.31,0.17,28,0.08
349,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,1,0.7,0.4,0,0.1,0.6,0.1,0,1,1,1.2,0.1,1,1.8,26,2,0,0,0.92,0.08,1.26,2,0.46
350,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,1,0.7,0.4,0,0.1,0.6,0.1,0,1,1,1.2,0.1,1,1.8,26,2,0,0,2.31,-1.31,0.17,28,0.08
351,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,1,0.7,0.4,0,0.1,0.6,0.1,0,1,1,1.2,0.1,1,1.8,29.6,0.5,1.2,0,0.92,0.08,1.26,2,0.46
352,157,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,0,1.3,82.5,0.5,1,6.73,1,0.7,0.4,0,0.1,0.6,0.1,0,1,1,1.2,0.1,1,1.8,29.6,0.5,1.2,0,2.31,-1.31,0.17,28,0.08
353,158,Jubal,Auxerre,30, D(C),35(2),3216,3,1,7,0,0.5,81.9,2.1,2,6.73,1.1,1.4,1,0.8,5.1,0.5,0.9,0,0.1,0.1,0.6,0.1,0.1,0.6,36.2,0.1,3.8,0,3.64,-0.64,0.1,19,0.19
354,159,Leonardo Balerdi,Marseille,25, D(C),30(5),2643,0,1,9,1,0.3,84.1,2.0,0,6.73,1.6,1.8,1.5,0.2,2.5,0.4,0.8,1,0.1,0.3,0.6,0,0.1,0.7,46.9,0,3.1,0,1.47,-1.47,0.05,11,0.13
355,160,Quentin Merlin,Nantes,21," D(L),M(L)",22(2),1803,1,2,2,0,0.6,77.9,0.7,1,6.73,1.3,1,0.5,0.1,1,0.8,0.2,0,1.4,0.9,0.6,0,0.4,1,37.3,1.2,2.6,0,0.63,0.37,0.03,15,0.04
356,161,Badredine Bouanani,Nice,19, AM(R),9(10),861,0,4,0,0,1.3,83.3,0.1,0,6.72,0.7,0.1,0.5,0,0,0.4,0,0,1.2,1.4,1.1,0.1,0.7,1.2,17.1,0.6,0.9,0.1,1.25,-1.25,0.13,24,0.05
357,162,Lovro Majer,Rennes,26, AM(CR),18(14),1670,2,5,3,0,1.1,82.1,0.2,1,6.72,1.1,0.7,1.5,0,0.1,0.7,0,0,1.1,0.9,0.9,0.1,1,1.4,28,0.5,1.1,0.1,3.03,-1.03,0.16,34,0.09
358,163,Laurent Abergel,Lorient,31, DMC,28(1),2351,0,1,5,1,0.4,88.7,0.3,0,6.72,3.2,1.2,1,0,1.2,1.8,0.3,0,0.5,0.8,1,0,0.7,1,50.8,0,2.3,0.2,0.43,-0.43,0.02,13,0.03
359,164,Deiver Machado,Lens,30, M(L),26(7),2206,4,3,5,1,0.5,85.7,0.5,2,6.72,1.4,0.6,1.3,0.1,0.7,0.4,0.1,0,0.6,0.5,1.4,0.2,0.3,0.9,20.3,0.4,0.4,0,1.04,2.96,0.04,18,0.06
360,165,Warmed Omari,Rennes,24, D(C),15(1),1363,0,0,2,1,0.2,92.9,2.3,0,6.72,1.3,1.1,0.5,1.1,2.7,0.9,0.4,0,0.3,0.2,0.4,0.2,0.3,0.4,61.3,0,3.7,0.2,0.72,-0.72,0.05,3,0.24
361,166,Marquinhos,PSG,29," D(CR),DMC",30(3),2718,2,0,4,0,0.5,95.4,1.1,0,6.72,1,0.7,0.4,0.3,2.4,0.2,0.8,1,0.3,0,0.3,0,0.2,0.4,65.2,0,1.9,0,2.21,-0.21,0.07,18,0.12
362,167,Théo Sainte-Luce,Montpellier,25, D(L),7(2),535,1,1,0,0,0.3,84.4,0.7,0,6.72,1.4,1.1,1.4,0,1.1,0.8,0.2,0,0.7,0.9,0.1,0,0.4,1,22.1,0.3,0.1,0,0.5,0.5,0.08,3,0.17
363,168,Lucien Agoumé,Troyes,22, DMC,14(1),1097,0,1,6,0,0.6,83.7,2.1,0,6.71,2.8,1.8,2,0.1,1.3,1.1,0.3,0,0.8,0.3,0.5,0.1,0.7,0.6,48.7,0.4,2.5,0.1,0.86,-0.86,0.07,9,0.1
