,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
206,206,Noah Fadiga,,24," D(R),M(R)",16(5),1312,1,0,2,0,0.5,79.9,0.4,1,6.52,1.4,1.2,1,0.2,0.7,0.6,0.3,0,0.1,0.9,0.9,0,0.3,1.1,23.9,0.1,0.7,0,0.64,0.36,0.04,11,0.06
207,207,Falaye Sacko,,29," D(CLR),M(R)",29(6),2580,1,3,3,0,0.2,81.5,0.5,0,6.52,1.3,0.9,0.7,0.2,1.9,0.5,0.4,1,0.5,0.5,0.5,0.1,0.4,0.9,29.2,0.2,1.2,0.1,0.57,0.43,0.02,6,0.09
208,208,Dimitri Liénard,,36," D(L),M(CL)",18(10),1546,0,0,4,0,0.5,78.5,0.7,0,6.52,1.6,0.6,0.6,0,0.8,0.8,0.1,0,1.1,0.4,0.5,0.1,0.4,1,27.1,1.3,2.2,0,0.6,-0.6,0.03,13,0.05
209,209,Florent Mollet,,32, AM(CLR),11(8),1090,1,2,3,0,1.2,87.3,0.5,0,6.52,0.7,0.5,0.9,0,0.5,0.9,0.1,0,1.2,0.5,1.1,0.2,0.7,1,25.3,1.1,0.9,0,1.06,-0.06,0.09,22,0.05
210,210,Pedro Chirivella,,26, DMC,25(1),2042,0,1,1,0,0.6,86.6,0.3,0,6.52,1.3,0.8,0.8,0,0.2,1,0,0,0.9,0.3,0.7,0,0.2,0.2,51.5,0,4.7,0,0.74,-0.74,0.03,16,0.05
211,211,Akim Zedadka,,28," D(R),M(R)",19(1),1603,0,0,5,0,0.5,78.9,1.2,0,6.51,1.8,1.2,1.2,0.4,2,0.7,0.2,0,0.7,0.5,1.4,0,0.9,1.4,26.6,0.6,1,0.1,0.31,-0.31,0.02,9,0.03
212,212,Rayan Raveloson,,27," D(CR),DMC",27(7),2427,2,1,0,0,0.9,83.4,0.9,1,6.51,1.1,1.1,0.6,0.3,1.9,0.3,0.4,1,0.4,0.2,1,0,0.5,1.2,28.8,0.2,2.1,0,2.26,-0.26,0.08,29,0.08
213,213,Kamory Doumbia,,21, AM(C),13(13),1158,2,2,0,0,1.0,81.9,0.3,0,6.5,1.2,0.5,0.6,0,0.1,1,0,0,0.7,0.7,0.3,0,0.8,1.3,20,0,0.7,0.1,3.01,-1.01,0.23,26,0.12
214,214,Haris Belkebla,,30, DMC,30(8),2658,2,0,3,0,0.3,85.5,0.5,0,6.5,2.1,1.4,0.9,0.1,0.4,1.1,0.2,0,0.3,0.3,1.3,0,0.7,1,31.7,0.1,1.4,0,1.19,0.81,0.04,10,0.12
215,215,Evann Guessand,,22," AM(R),FW",15(15),1257,3,2,2,0,0.7,71.0,0.9,1,6.5,0.8,0.3,1,0,0.2,0.2,0,0,0.4,1.2,0.7,0.2,1,1.6,9.1,0.1,0.2,0,3.56,-0.56,0.26,22,0.16
216,216,Brecht Dejaegere,,32, AM(CL),25(5),1827,4,1,5,0,0.8,81.0,0.3,0,6.5,1.3,0.5,1.3,0,0.3,1.2,0.2,0,0.6,0.6,1.2,0,0.6,1.2,21.1,0,0.8,0.2,3,1,0.15,23,0.13
217,217,Jean Onana,,24, DMC,9(12),807,0,0,3,0,0.4,87.0,0.4,0,6.5,1.3,0.9,0.3,0,1,0.6,0.2,0,0.3,0.3,0.5,0.1,0.4,0.4,22.4,0,0.9,0,0.63,-0.63,0.07,8,0.08
218,218,Yohann Magnin,,26, M(C),25(13),2393,0,0,6,0,0.4,84.9,0.7,0,6.49,2.3,0.7,1.3,0.1,1,1.4,0.3,0,0.6,0.2,1.3,0.1,0.3,0.5,34.4,0.1,1.7,0,0.99,-0.99,0.04,17,0.06
219,219,Johann Lepenant,,21, DMC,21(10),1935,1,2,4,0,0.6,89.9,0.5,0,6.49,1.9,0.9,1.1,0,0.5,1.7,0.2,0,0.3,0.7,0.8,0,0.9,1.3,41.5,0,1.8,0,1.04,-0.04,0.05,19,0.05
220,220,Mickaël Barreto,,33, M(C),15(5),1328,1,1,1,0,1.0,74.6,0.5,0,6.49,1.6,0.9,1,0,0.5,1.9,0,0,0.9,1.2,0.4,0,1,1.7,30.1,1.1,2.6,0,0.82,0.18,0.06,19,0.04
221,221,Vincent Marchetti,,26, M(C),29(2),2463,0,2,7,0,1.2,80.0,0.2,0,6.49,1.8,0.6,0.9,0,1,1.4,0.1,0,0.5,1.5,1.2,0,1.3,1.6,33.5,0,2.3,0.2,2,-2,0.07,37,0.05
222,222,Lesley Ugochukwu,,20, DMC,14(12),1330,0,1,3,1,0.2,87.6,0.6,0,6.48,1.4,0.8,1.1,0,0.6,0.3,0.4,0,0.1,0.5,0.5,0,0.4,0.2,24.8,0,1.2,0,0.86,-0.86,0.06,6,0.14
223,223,Théo Le Bris,,21, M(L),15(12),1451,2,2,0,0,0.4,81.8,0.4,0,6.48,1.1,0.7,0.2,0,1,0.7,0.1,0,0.5,0.6,0.1,0,0.4,0.8,20.3,0.1,0.2,0,1.25,0.75,0.08,10,0.12
224,224,Sanjin Prcic,,30, M(C),17(12),1633,1,1,3,1,1.0,86.1,0.6,0,6.48,0.9,0.9,0.6,0,0.7,0.4,0.2,0,0.4,0.5,0.7,0,0.2,0.3,35.4,0.2,3.3,0.1,0.82,0.18,0.05,28,0.03
225,225,Massadio Haïdara,,31," D(CL),M(L)",17(19),1657,0,1,5,0,0.4,87.1,1.1,0,6.47,0.7,1,0.5,0,0.9,0.3,0.3,0,0.2,0.2,0.7,0.1,0.1,0.7,24.6,0.1,1,0,1.93,-1.93,0.1,13,0.15
