player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Lesley Ugochukwu,Rennes,0.4,0,0.5
Théo Le Bris,Lorient,0.1,0.1,0.7
Sanjin Prcic,Strasbourg,0.2,0,0.5
Gerson,Marseille,0,0,0.5
Massadio Haïdara,Lens,0.3,0.1,0.5
Xeka,Rennes,0.3,0,1.1
Aiman Maurer,Clermont Foot,0,0.2,0.1
Youssouf Koné,AC Ajaccio,0.2,0.3,0.5
Gaetan Perrin,Auxerre,0,0,0.4
Kamaldeen Sulemana,Rennes,0,0.1,0.1
Reda Belahyane,Nice,0.3,0,1
Damien Da Silva,Lyon,0.4,0.1,0.1
Abdu Conté,Troyes,0.3,0.2,0.4
Ibrahima Koné,Lorient,0,0,0.4
Carlos Soler,Paris Saint-Germain,0.2,0,0.3
Yuito Suzuki,Strasbourg,0,0,1
Hugo Magnetti,Brest,0,0,0.6
Mehdi Zeffane,Clermont Foot,0.3,0.1,0.4
Stéphane Diarra,Lorient,0,0.1,0.4
Mathias Pereira Lage,Brest,0,0,0.4
Jim Allevinah,Clermont Foot,0.1,0.2,0.6
Wesley Saïd,Lens,0,0,0.2
Léo Leroy,Montpellier,0.1,0,0.9
Achraf Dari,Brest,0.6,0.1,0.3
Kays Ruiz-Atil,Auxerre,1,0,1
Yasser Larouci,Troyes,0,0.2,0.5
Warren Kamanzi,Toulouse,0.2,0,0.5
Myziane Maolida,Reims,0,0,0.1
Leny Yoro,Lille,0.1,0.1,0.4
Fernand Mayembo,AC Ajaccio,0,0.1,0.2
Colin Dagba,Strasbourg,0.1,0.1,0.8
Bradley Locko,Brest,0,0.4,0.6
Takumi Minamino,Monaco,0,0.1,0.8
Eduard Sobol,Strasbourg,0.1,0.2,0.6
Rudy Kohon,Troyes,0,0,1
Bevic Moussiti-Oko,AC Ajaccio,0.2,0,0.1
Jean-Victor Makengo,Lorient,0.3,0.1,0.2
Gerzino Nyamsi,Strasbourg,0.6,0.3,0.4
Renato Sanches,Paris Saint-Germain,0.1,0,0.4
Jean-Eudes Aholou,Strasbourg,0,0.1,0.8
Yoann Salmier,Troyes,0.6,0.1,0.5
Mattia Viti,Nice,0.3,0.1,0.7
Wilson Odobert,Troyes,0,0,0.3
Jere Uronen,Brest,0.3,0,0.7
Rubén Blanco,Marseille,0,0,0
Kevin Volland,Monaco,0,0,0.5
Dion Lopy,Reims,0.1,0,0.8
Jodel Dossou,Clermont Foot,0.1,0,0.1
Darlin Yongwa,Lorient,0.1,0.2,0.9
Houssem Aouar,Lyon,0.1,0.1,0.6
Jean-Claude Billong,Clermont Foot,1,0,0
Miha Blazic,Angers,0.8,0.1,0.3
Logan Costa,Toulouse,0.5,0.2,0.5
Samuel Moutoussamy,Nantes,0.1,0,0.6
Calvin Stengs,Nice,0,0,0
Adil Rami,Troyes,0.8,0.1,0.4
Ibrahima Sissoko,Strasbourg,0.2,0.1,0.5
Cédric Bakambu,Marseille,0,0,0
Ibrahim Diakité,Reims,0,0.3,0
Youcef Belaïli,Brest,0,0,0.3
Soungoutou Magassa,Monaco,0,0,1.5
Paul Bernardoni,Angers,0,0,0
Julian Jeanvier,Auxerre,0.8,0,0.3
Jeff Reine-Adélaïde,Lyon,0,0,0.3
Lassine Sinayoko,Auxerre,0,0.1,0.4
Pablo Rosario,Nice,0.2,0.1,0.3
Adrien Thomasson,Strasbourg,0,0.1,1.2
Julien Ponceau,Lorient,0.1,0,0.8
Souleyman Doumbia,Angers,0.1,0.3,0.7
Cyrille Bayala,AC Ajaccio,0.1,0,0.5
Akim Zedadka,Lille,0,0.1,0.4
Arbër Zeneli,Reims,0,0,0.3
Billal Brahimi,Nice,0,0,0.2
Oumar Gonzalez,AC Ajaccio,0.4,0.1,0.7
Vincent Sierro,Toulouse,0.2,0.1,0.6
Sacha Delaye,Montpellier,0,0,0
Siriki Dembélé,Auxerre,0,0.2,0.2
Moussa Sissoko,Nantes,0.2,0,0.6
Thierno Baldé,Troyes,0.1,0.1,0.4
Alexandre Coeff,Auxerre,0.6,0,0.7
Matis Carvalho,Montpellier,0,0,0
Yoann Cathline,Lorient,0,0.1,0.4
Ibrahima Niané,Angers,0.1,0,0.4
Abdallah Sima,Angers,0,0,0.2
Christophe Hérelle,Brest,0.7,0.1,0.3
Brayann Pereira,Auxerre,1,1.5,0
Birger Meling,Rennes,0.1,0.1,0.6
Wout Faes,Reims,1,0,1
Bamba Dieng,Marseille,0.1,0,0.4
Adrien Hunou,Angers,0,0,1
Cédric Hountondji,Angers,0.6,0.1,0.6
Vítinha,Marseille,0,0,0.2
Eric Bailly,Marseille,0.7,0,0.2
Tanguy Zoukrou,Troyes,1.4,0.1,0.9
Pierrick Capelle,Angers,0.1,0.1,0.8
Romain Faivre,Lyon,0,0,0.3
Franci Bouebari,Strasbourg,0,0.5,0
Ismaël Diallo,AC Ajaccio,0.4,0.1,0.5
Batista Mendy,Angers,0.2,0.1,0.9
Amine Salama,Angers,0.1,0,0.2
Mitchell van Bergen,Reims,0.1,0.1,0.2
Amine Gouiri,Nice,0,0,0.3
Mickaël Alphonse,AC Ajaccio,0.2,0.2,0.5
Moussa Diarra,Toulouse,0.4,0.1,0.7
Denis Genreau,Toulouse,0.1,0,0.8
Rémy Descamps,Nantes,0,0,0
Jeff Reine-Adélaïde,Troyes,0,0,0.3
João Victor,Nantes,0.1,0.1,0.8
Komnen Andric,Clermont Foot,0,0,0.2
Ruben Aguilar,Monaco,0.1,0.1,0.6
Maxime Busi,Reims,0.3,0.2,0.4
Khalil Fayad,Montpellier,0,0,0.3
Dennis Appiah,Nantes,0.3,0,0.5
Bonke Innocent,Lorient,0.2,0.1,0.7
Erik Palmer-Brown,Troyes,0.8,0.2,0.7
Amin Sarr,Lyon,0,0,0.2
Timothée Pembélé,Paris Saint-Germain,0,0,0.4
Florent Ogier,Clermont Foot,0.5,0.1,0.3
Nordine Kandil,Strasbourg,0,0,0.3
Jérôme Boateng,Lyon,0.6,0,0.4
Gauthier Hein,Auxerre,0,0,0.3
Azzedine Ounahi,Marseille,0,0,0.1
Arnaud Souquet,Montpellier,0.3,0.1,0.4
Thomas Mangani,AC Ajaccio,0.1,0.1,0.7
Moussa Dembélé,Lyon,0,0,0.2
Benoît Costil,Auxerre,0,0,0
Alexis Beka Beka,Nice,0.1,0,0.6
Enzo Tchato,Montpellier,0.1,0.1,0.7
Marcus Coco,Nantes,0.1,0.2,0.4
Malang Sarr,Monaco,0.5,0,0.3
Romain Hamouma,AC Ajaccio,0,0,0.4
Papa Ndiaga Yade,Troyes,0.1,0,0.6
Farid El Melali,Angers,0,0.1,0.9
M'Baye Niang,Auxerre,0,0,0.7
Warren Zaïre-Emery,Paris Saint-Germain,0,0.3,0.4
Gelson Martins,Monaco,0.1,0.2,0.3
Mamadou Sakho,Montpellier,0.8,0,0.3
Julien Le Cardinal,Lens,0,0.1,0.4
Clément Vidal,AC Ajaccio,0.6,0.1,0.4
Ibrahim Salah,Rennes,0,0,0.2
Myron Boadu,Monaco,0,0,0.1
Youssouf M'Changama,Auxerre,0,0,0.2
Mohamed Bayo,Lille,0,0,0.1
Eliot Matazo,Monaco,0.2,0,0.6
Ayoub Amraoui,Nice,0,0.3,0.1
Maghnes Akliouche,Monaco,0,0,0.2
Steven Fortès,Lens,0,0,0
Andy Delort,Nantes,0,0,0.3
Jérémie Bela,Clermont Foot,0.1,0.1,0.5
Ismail Jakobs,Monaco,0,0.1,0.3
Yanis Cimignani,AC Ajaccio,0.1,0.1,0.5
Fallou Fall,Reims,3,0,0
Kévin Danois,Auxerre,0,0,0
Carlos Baleba,Lille,0.2,0,0.5
Sada Thioub,Angers,0,0,0.5
Andreas Bruus,Troyes,0.1,0.1,0.4
Rares Ilie,Nice,0,0,0.5
Kevin Spadanuda,AC Ajaccio,0,0,0.8
Sébastien Corchia,Nantes,0.1,0.2,0.3
Benjamin Leroy,AC Ajaccio,0,0,0
Marcin Bulka,Nice,0,0,0
Siriné Doucouré,Lorient,0,0,0
Ismaël Boura,Lens,0.1,0,0.1
Pablo Sarabia,Paris Saint-Germain,0,0,0.2
Alexis Claude-Maurice,Nice,0,0,0
Ibrahim Amadou,Angers,0.4,0.3,0.6
Oliver Zandén,Toulouse,0,0.4,0
Souleymane Cissé,Clermont Foot,0.5,0,0
Islam Slimani,Brest,0,0.1,0.1
Charles Traoré,Nantes,0.2,0.2,0.6
Mathieu Coutadeur,AC Ajaccio,0.1,0,0.6
Riad Nouri,AC Ajaccio,0,0.1,0.2
Ruan,AC Ajaccio,0,0,0.3
Arial Mendy,Clermont Foot,0,0,0.4
Taïryk Arconte,Brest,0,0,0.3
Valère Germain,Montpellier,0,0,0.3
Matthis Abline,Auxerre,0.1,0,0.3
Halid Sabanovic,Angers,0.1,0,0.4
Lebo Mothiba,Strasbourg,0.1,0,0.3
Ado Onaiwu,Toulouse,0,0,0.1
Lukasz Poreba,Lens,0,0.1,0.3
Matthis Abline,Rennes,0,0,0.1
Jonas Martin,Lille,0.1,0,0.2
Ayman Kari,Lorient,0,0,0.8
Lois Diony,Angers,0,0,0.2
Abdoulaye Bamba,Angers,0.1,0.1,0.2
Gaëtan Charbonnier,Auxerre,0,0,0.3
Iké Ugbo,Troyes,0.1,0,0.2
Serhou Guirassy,Rennes,0,0,0
Lorenz Assignon,Rennes,0,0.1,0.5
Mehdi Puch-Herrantz,AC Ajaccio,0,0,0.3
Fábio,Nantes,0,0.3,0.3
Ismaël Gharbi,Paris Saint-Germain,0,0,0.3
Karol Fila,Strasbourg,0,0,0
Tony Strata,AC Ajaccio,0,0.7,0.7
Cédric Avinel,AC Ajaccio,0.5,0.1,0.3
Theocharis Tsingaras,Toulouse,0,0,0
Justin-Noel Kalumba,Angers,0.1,0,0.4
Gaël Kakuta,Lens,0,0,0
Amar Fatah,Troyes,0,0,0
Joe Bryan,Nice,0,0,0.3
Marin Jakolis,Angers,0,0,0
Martin Adeline,Reims,0.2,0.2,0.4
Kyliane Dong,Troyes,0,0,0.2
Flavius Daniliuc,Nice,0.5,0,1.5
Théo Pellenard,Auxerre,0.5,0,1
Lohann Doucet,Nantes,0,0,0.2
Qazim Laçi,AC Ajaccio,0,0,0.6
Derek Mazou-Sacko,Troyes,0,0,1
Antonin Bobichon,Angers,0,0,0.3
Axel Camblan,Brest,0,0,0
Ousmane Camara,Angers,0.2,0,0.2
Adil Aouchiche,Lorient,0,0,0.1
Duje Caleta-Car,Marseille,0,0,0
Rémy Dugimont,Auxerre,0,0,0.3
Mohamed Achi,Nantes,0,0,0
Alexis Tibidi,Troyes,0,0,0
Ben Touré,AC Ajaccio,0,0,0.5
Samuel Koeberlé,Reims,0,0,0
Yanis Massolin,Clermont Foot,0,0,0.2
Waniss Taïbi,Angers,0,0,0.1
Chrislain Matsima,Lorient,0.5,0,0
Stredair Appuah,Nantes,0,0,0.4
Ivane Chegra,AC Ajaccio,0,0,0
Noah Holm,Reims,0,0,0
Félix Lemaréchal,Brest,0,0,0.5
Mamadou Diakhon,Reims,0,0,0.5
Ilyés Chétti,Angers,0.2,0.3,0.7
Jean-Mattéo Bahoya,Angers,0,0,0.4
Brandon Baiye,Clermont Foot,0,0,0.1
Eli Kroupi,Lorient,0,0,0
Marvin Senaya,Strasbourg,0,0,1
Rémy Labeau-Lascary,Lens,0,0,0.4
Marlos Moreno,Troyes,0.5,0,0
El Chadaille Bitshiabu,Paris Saint-Germain,0.5,0,0.2
Veljko Birmancevic,Toulouse,0.1,0,0.4
Valentin Atangana Edoa,Reims,0.1,0,0.1
Tristan Dingomé,Troyes,0,0,0
Dogan Alemdar,Rennes,0,0,0
Mohamed Touré,Reims,0,0,0
Kaj Sierhuis,Reims,0.1,0.1,0.1
Abdoul Kader Bamba,Nantes,0.2,0.2,0.4
Patrick Pentz,Reims,0,0,0
Jean Botué,AC Ajaccio,0,0,0.1
Hianga'a M'Bock,Brest,0,0,0
Naatan Skyttä,Toulouse,0,0,0
Baïla Diallo,Clermont Foot,0.2,0,0
Alan Virginius,Lille,0,0,0
Nathanaël Mbuku,Reims,0,0,0
Zinédine Ould Khaled,Angers,0,0,0
Ousmane Camara,Auxerre,0,0,0
Moussa Soumano,AC Ajaccio,0,0,0.1
Ilyes Housni,Paris Saint-Germain,0,0,0
