player_name,team_name,Total_Clearances
Himad Abdelli,Angers,0.4
Rominigue Kouamé,Troyes,1.4
Brice Samba,Lens,0.4
Arnaud Nordin,Montpellier,0.2
Danilo Pereira,Paris Saint-Germain,1.8
Guillermo Maripán,Monaco,3.2
Nordi Mukiele,Paris Saint-Germain,0.8
Youcef Atal,Nice,0.7
Melvin Bard,Nice,1
Sinaly Diomandé,Lyon,2.9
Alidu Seidu,Clermont Foot,1.7
Faitout Maouassa,Montpellier,0.5
Jimmy Cabot,Lens,1
Sead Kolasinac,Marseille,1.1
Vitinha,Paris Saint-Germain,0.4
Christopher Jullien,Montpellier,3.7
Saîf-Eddine Khaoui,Clermont Foot,0.2
Jérémy Le Douaron,Brest,0.8
Azzedine Ounahi,Angers,0.3
Castello Lukeba,Lyon,3
Mama Baldé,Troyes,0.4
Gideon Mensah,Auxerre,1.5
Ante Palaversa,Troyes,0
Sofiane Diop,Nice,0.1
Jubal,Auxerre,5.1
Leonardo Balerdi,Marseille,2.5
Quentin Merlin,Nantes,1
Badredine Bouanani,Nice,0
Lovro Majer,Rennes,0.1
Laurent Abergel,Lorient,1.2
Deiver Machado,Lens,0.7
Warmed Omari,Rennes,2.7
Marquinhos,Paris Saint-Germain,2.4
Théo Sainte-Luce,Montpellier,1.1
Lucien Agoumé,Troyes,1.3
Désiré Doué,Rennes,0.1
Vito Mannone,Lorient,0.9
Mario Lemina,Nice,1.4
Angel Gomes,Lille,0.3
Arthur Theate,Rennes,3.2
André Gomes,Lille,0.6
Steve Mandanda,Rennes,0.4
Marco Bizot,Brest,1
Zakaria Aboukhlal,Toulouse,0.5
Farès Chaïbi,Toulouse,0.8
Jean-Charles Castelletto,Nantes,2.7
Aaron Ramsey,Nice,0.6
Tiago Djaló,Lille,2.1
Gédéon Kalulu,Lorient,2.4
Han-Noah Massengo,Auxerre,0.4
Nuno da Costa,Auxerre,0.4
Anthony Lopes,Lyon,0.6
Andy Delort,Nice,0.5
Jeffinho,Lyon,0
Alexander Nübel,Monaco,0.4
Jonas Omlin,Montpellier,0.9
Karl Toko-Ekambi,Rennes,0.2
Youssouf Ndayishimiye,Nice,2
Joris Chotard,Montpellier,1
Bamo Meïté,Lorient,3.8
Nicolas Pallois,Nantes,4.9
Dimitri Payet,Marseille,0.2
Bafodé Diakité,Lille,1.6
Chrislain Matsima,Monaco,2
Jeanuël Belocian,Rennes,1.1
Quentin Bernard,Auxerre,2.3
Lilian Brassier,Brest,3.4
Anthony Rouault,Toulouse,3.4
Maximiliano Caufriez,Clermont Foot,2.4
Cheick Keita,Reims,2.7
Maxime Le Marchand,Strasbourg,2.7
Issiaga Sylla,Toulouse,1.9
Grejohn Kyei,Clermont Foot,0.6
Thijs Dallinga,Toulouse,0.6
Ruslan Malinovskyi,Marseille,0.5
Ismaël Doukouré,Strasbourg,1.9
Joe Rodon,Rennes,3.4
Mostafa Mohamed,Nantes,0.9
Julien Laporte,Lorient,5.3
Eliesse Ben Seghir,Monaco,0
Gabriel Suazo,Toulouse,1.2
Vincent Le Goff,Lorient,2.4
Mahdi Camara,Brest,0.5
Mattéo Guendouzi,Marseille,0.5
Hamza Sakhi,Auxerre,0.3
Lucas Chevalier,Lille,0.4
Flavien Tait,Rennes,0.3
Arnaud Kalimuendo,Rennes,0.3
Christopher Wooh,Rennes,3.8
Xavier Chavalerin,Troyes,0.6
Matz Sels,Strasbourg,0.9
Wahbi Khazri,Montpellier,0.7
Quentin Boisgard,Lorient,0.4
Presnel Kimpembe,Paris Saint-Germain,0.8
Isaak Touré,Auxerre,2.7
Jens Cajuste,Reims,0.7
Thiago Mendes,Lyon,1.6
Saël Kumbedi,Lyon,0.7
Mateusz Wieteska,Clermont Foot,2.6
Thomas Foket,Reims,0.9
Juan Bernat,Paris Saint-Germain,0.7
Gauthier Gallon,Troyes,1.2
Thibault De Smet,Reims,1.6
Kevin Gameiro,Strasbourg,0
Yvon Mvogo,Lorient,0.4
Jackson Porozo,Troyes,3.3
Habib Diarra,Strasbourg,0.4
Birama Touré,Auxerre,1.2
Lilian Raolisoa,Angers,0.7
Lucas Perrin,Strasbourg,1.7
Hugo Ekitike,Paris Saint-Germain,0.1
Jean Lucas,Monaco,0.3
