player_name,team_name,Total_Interception
Alexis Claude-Maurice,Lens,0.1
Andreaw Gravillon,Reims,1.6
Mathias Autret,Auxerre,0.5
Yusuf Yazici,Lille,0
Bingourou Kamara,Montpellier,0
Muhammed Cham,Clermont Foot,0.2
Jordan Ferri,Montpellier,0.8
Renaud Ripart,Troyes,0.3
Moses Simon,Nantes,0.3
Thomas Delaine,Strasbourg,0.9
Leandro Paredes,Paris Saint-Germain,0.3
Maxime Gonalons,Clermont Foot,0.8
Faouzi Ghoulam,Angers,0.6
Jean-Kévin Duverne,Brest,0.8
Ross Barkley,Nice,0.3
Nicolas Cozza,Montpellier,1.2
Stephy Mavididi,Montpellier,0.2
Jean-Louis Leca,Lens,0
Amine Harit,Marseille,0.4
Henrique,Lyon,0.7
Rémy Riou,Lyon,0
Edan Diop,Monaco,0.6
David Pereira da Costa,Lens,0.4
Maxime Esteve,Montpellier,1.5
Timothy Weah,Lille,0.8
Gabriel Gudmundsson,Lille,0.6
Mohamed Youssouf,AC Ajaccio,2.2
Igor Silva,Lorient,0.7
Noah Fadiga,Brest,1.2
Falaye Sacko,Montpellier,0.9
Dimitri Liénard,Strasbourg,0.6
Florent Mollet,Nantes,0.5
Antoine Mendy,Nice,0.2
Pedro Chirivella,Nantes,0.8
Akim Zedadka,Auxerre,1.2
Rayan Raveloson,Auxerre,1.1
Pape Gueye,Marseille,0.6
Ronaël Pierre-Gabriel,Strasbourg,0.6
Kamory Doumbia,Reims,0.5
Haris Belkebla,Brest,1.4
Evann Guessand,Nantes,0.3
Brecht Dejaegere,Toulouse,0.5
Jean Onana,Lens,0.9
Kenji-Van Boto,Auxerre,0.5
Yohann Magnin,Clermont Foot,0.7
Johann Lepenant,Lyon,0.9
Mickaël Barreto,AC Ajaccio,0.9
Vincent Marchetti,AC Ajaccio,0.6
Arkadiusz Milik,Marseille,0
Bamba Dieng,Lorient,0.1
Lesley Ugochukwu,Rennes,0.8
Théo Le Bris,Lorient,0.7
Sanjin Prcic,Strasbourg,0.9
Gerson,Marseille,0.2
Massadio Haïdara,Lens,1
Xeka,Rennes,0.8
Aiman Maurer,Clermont Foot,0.3
Youssouf Koné,AC Ajaccio,0.9
Gaetan Perrin,Auxerre,0.3
Kamaldeen Sulemana,Rennes,0.3
Reda Belahyane,Nice,0.5
Damien Da Silva,Lyon,0.7
Abdu Conté,Troyes,0.3
Ibrahima Koné,Lorient,0.1
Carlos Soler,Paris Saint-Germain,0.2
Yuito Suzuki,Strasbourg,0
Hugo Magnetti,Brest,0.8
