player_name,team_name,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals
Lucien Agoumé,Troyes,0,0,0,0
Désiré Doué,Rennes,0.1,0,0.1,0
Vito Mannone,Lorient,0,0,0,0
Mario Lemina,Nice,0,0,0,0
Angel Gomes,Lille,0.1,0,0,0
Arthur Theate,Rennes,0.1,0,0.1,0
André Gomes,Lille,0.1,0,0.1,0
Steve Mandanda,Rennes,0,0,0,0
Marco Bizot,Brest,0,0,0,0
Zakaria Aboukhlal,Toulouse,0.3,0,0.2,0
Farès Chaïbi,Toulouse,0.1,0.1,0.1,0
Jean-Charles Castelletto,Nantes,0,0,0,0
Aaron Ramsey,Nice,0,0,0,0
Tiago Djaló,Lille,0.1,0,0,0
Gédéon Kalulu,Lorient,0,0,0,0
Han-Noah Massengo,Auxerre,0,0,0,0
Nuno da Costa,Auxerre,0.2,0.1,0.1,0
Anthony Lopes,Lyon,0,0,0,0
Andy Delort,Nice,0.4,0.1,0.4,0
Jeffinho,Lyon,0.1,0,0.1,0
Alexander Nübel,Monaco,0,0,0,0
Jonas Omlin,Montpellier,0,0,0,0
Karl Toko-Ekambi,Rennes,0.2,0,0.2,0
Youssouf Ndayishimiye,Nice,0.1,0,0.1,0
Joris Chotard,Montpellier,0,0,0,0
Bamo Meïté,Lorient,0.1,0.1,0,0
Nicolas Pallois,Nantes,0,0,0,0
Dimitri Payet,Marseille,0.2,0,0.2,0
Bafodé Diakité,Lille,0.1,0,0.1,0
Chrislain Matsima,Monaco,0,0,0,0
Jeanuël Belocian,Rennes,0,0,0,0
Quentin Bernard,Auxerre,0,0,0,0
Lilian Brassier,Brest,0,0,0,0
Anthony Rouault,Toulouse,0.1,0.1,0,0
Maximiliano Caufriez,Clermont Foot,0,0,0,0
Cheick Keita,Reims,0,0,0,0
Maxime Le Marchand,Strasbourg,0,0,0,0
Issiaga Sylla,Toulouse,0,0,0,0
Grejohn Kyei,Clermont Foot,0.3,0.1,0.2,0
Thijs Dallinga,Toulouse,0.3,0.1,0.3,0
Ruslan Malinovskyi,Marseille,0.1,0,0.1,0
Ismaël Doukouré,Strasbourg,0,0,0,0
Joe Rodon,Rennes,0.1,0.1,0,0
Mostafa Mohamed,Nantes,0.2,0.1,0.1,0
Julien Laporte,Lorient,0,0,0,0
Eliesse Ben Seghir,Monaco,0.2,0,0.1,0.1
Gabriel Suazo,Toulouse,0,0,0,0
Vincent Le Goff,Lorient,0,0,0,0
Mahdi Camara,Brest,0.1,0,0,0
Mattéo Guendouzi,Marseille,0.1,0,0,0
Hamza Sakhi,Auxerre,0,0,0,0
Lucas Chevalier,Lille,0,0,0,0
Flavien Tait,Rennes,0.1,0,0,0
Arnaud Kalimuendo,Rennes,0.2,0,0.2,0
Christopher Wooh,Rennes,0,0,0,0
Xavier Chavalerin,Troyes,0.1,0,0,0.1
Matz Sels,Strasbourg,0,0,0,0
Wahbi Khazri,Montpellier,0.1,0,0.1,0
Quentin Boisgard,Lorient,0.2,0,0.2,0
