player_name,team_name,Total_Aerial,Won,Lost
Lucas Perrin,Strasbourg,2.1,1.4,0.7
Hugo Ekitike,Paris Saint-Germain,0.8,0.3,0.5
Jean Lucas,Monaco,1.3,0.2,1.2
Cheick Oumar Konaté,Clermont Foot,0.9,0.3,0.6
Dénys Bain,Auxerre,2,1.5,0.5
Rhys Healey,Toulouse,0.5,0.5,0
Bradley Locko,Reims,1.3,0.8,0.5
José Fonte,Lille,2.9,2,1
Yan Valery,Angers,2,1.2,0.8
Elbasan Rashani,Clermont Foot,1.8,0.5,1.3
Ludovic Ajorque,Strasbourg,6.4,3.8,2.5
Loïc Badé,Rennes,4,2,2
Issa Kaboré,Marseille,0.5,0.1,0.3
Yahia Fofana,Angers,0.5,0.5,0
Ignatius Ganago,Nantes,4.5,2.2,2.3
Mounaïm El Idrissy,AC Ajaccio,9.7,3.7,6
Alexis Claude-Maurice,Lens,0.3,0.2,0.1
Andreaw Gravillon,Reims,2.1,1.1,1
Mathias Autret,Auxerre,0.8,0.2,0.6
Yusuf Yazici,Lille,0,0,0
Bingourou Kamara,Montpellier,0.2,0.2,0
Muhammed Cham,Clermont Foot,0.5,0.2,0.4
Jordan Ferri,Montpellier,1.2,0.5,0.7
Renaud Ripart,Troyes,5.2,2.2,3
Moses Simon,Nantes,1.5,0.3,1.1
Thomas Delaine,Strasbourg,1.4,0.7,0.6
Leandro Paredes,Paris Saint-Germain,0,0,0
Maxime Gonalons,Clermont Foot,1,0.6,0.4
Faouzi Ghoulam,Angers,2.1,1.3,0.9
Jean-Kévin Duverne,Brest,1.6,1,0.6
Ross Barkley,Nice,0.6,0.1,0.4
Nicolas Cozza,Montpellier,2.6,1.2,1.4
Stephy Mavididi,Montpellier,1.3,0.4,0.9
Jean-Louis Leca,Lens,1,1,0
Amine Harit,Marseille,1.3,0.1,1.2
Henrique,Lyon,2.1,1.4,0.7
Rémy Riou,Lyon,0,0,0
Edan Diop,Monaco,1.4,0.6,0.9
David Pereira da Costa,Lens,0.5,0.1,0.4
Maxime Esteve,Montpellier,2.5,1.3,1.1
Timothy Weah,Lille,1.1,0.4,0.7
Gabriel Gudmundsson,Lille,1.1,0.7,0.4
Mohamed Youssouf,AC Ajaccio,2.8,1.6,1.3
Igor Silva,Lorient,1,0.6,0.4
Noah Fadiga,Brest,0.8,0.4,0.4
Falaye Sacko,Montpellier,1,0.5,0.5
Dimitri Liénard,Strasbourg,1.3,0.7,0.6
Florent Mollet,Nantes,1.3,0.5,0.8
Antoine Mendy,Nice,1.6,0.6,1
Pedro Chirivella,Nantes,0.7,0.3,0.3
Akim Zedadka,Auxerre,2.3,1.2,1.2
Rayan Raveloson,Auxerre,1.5,0.9,0.6
Pape Gueye,Marseille,1.1,0.8,0.4
Ronaël Pierre-Gabriel,Strasbourg,1.1,0.6,0.5
Kamory Doumbia,Reims,1.2,0.3,0.9
Haris Belkebla,Brest,1.3,0.5,0.8
Evann Guessand,Nantes,1.9,0.9,0.9
Brecht Dejaegere,Toulouse,0.8,0.3,0.5
Jean Onana,Lens,0.8,0.4,0.3
Kenji-Van Boto,Auxerre,1.5,0.5,1
Yohann Magnin,Clermont Foot,2,0.7,1.2
Johann Lepenant,Lyon,1.1,0.5,0.6
Mickaël Barreto,AC Ajaccio,0.9,0.5,0.4
Vincent Marchetti,AC Ajaccio,0.6,0.2,0.4
Arkadiusz Milik,Marseille,5,1,4
Bamba Dieng,Lorient,1.7,0.6,1.1
Lesley Ugochukwu,Rennes,0.9,0.6,0.3
Théo Le Bris,Lorient,0.9,0.4,0.5
Sanjin Prcic,Strasbourg,0.8,0.6,0.2
Gerson,Marseille,1.4,0.8,0.6
Massadio Haïdara,Lens,1.5,1.1,0.4
Xeka,Rennes,2.9,1,1.9
Aiman Maurer,Clermont Foot,1,0.3,0.7
Youssouf Koné,AC Ajaccio,1.3,0.3,1
Gaetan Perrin,Auxerre,1,0.4,0.6
Kamaldeen Sulemana,Rennes,0.6,0.3,0.4
Reda Belahyane,Nice,0,0,0
Damien Da Silva,Lyon,2.7,1.7,1
Abdu Conté,Troyes,1.2,0.8,0.4
Ibrahima Koné,Lorient,3.2,1.5,1.6
Carlos Soler,Paris Saint-Germain,0.3,0,0.2
Yuito Suzuki,Strasbourg,0.3,0.3,0
Hugo Magnetti,Brest,0.8,0.2,0.6
Mehdi Zeffane,Clermont Foot,0.6,0.2,0.4
Stéphane Diarra,Lorient,0.5,0.2,0.3
Mathias Pereira Lage,Brest,2,0.9,1.2
Jim Allevinah,Clermont Foot,0.8,0.3,0.5
Wesley Saïd,Lens,0.6,0.2,0.3
Léo Leroy,Montpellier,1.4,0.9,0.6
Achraf Dari,Brest,3.4,2.1,1.3
Kays Ruiz-Atil,Auxerre,0,0,0
Yasser Larouci,Troyes,1.1,0.7,0.5
Warren Kamanzi,Toulouse,0.8,0.3,0.5
Myziane Maolida,Reims,0.2,0.1,0.1
Leny Yoro,Lille,1.5,0.9,0.6
Fernand Mayembo,AC Ajaccio,1.8,1.4,0.5
Colin Dagba,Strasbourg,0.4,0.1,0.2
Bradley Locko,Brest,0.7,0.4,0.3
Takumi Minamino,Monaco,0.8,0.4,0.4
Eduard Sobol,Strasbourg,0.9,0.6,0.3
Rudy Kohon,Troyes,0,0,0
Bevic Moussiti-Oko,AC Ajaccio,5.9,3.1,2.8
Jean-Victor Makengo,Lorient,0.5,0.3,0.3
Gerzino Nyamsi,Strasbourg,2.9,1.9,1
Renato Sanches,Paris Saint-Germain,0.4,0.2,0.2
Jean-Eudes Aholou,Strasbourg,1.5,0.9,0.6
Yoann Salmier,Troyes,2.8,1.7,1.1
Mattia Viti,Nice,2.2,1.4,0.8
Wilson Odobert,Troyes,0.9,0.2,0.7
Jere Uronen,Brest,1.3,0.3,1
Rubén Blanco,Marseille,0.2,0.2,0
Kevin Volland,Monaco,1.5,0.6,0.8
Dion Lopy,Reims,0.8,0.6,0.2
Jodel Dossou,Clermont Foot,0.6,0.1,0.4
Darlin Yongwa,Lorient,0.8,0.2,0.6
Houssem Aouar,Lyon,0.6,0.4,0.3
Jean-Claude Billong,Clermont Foot,4,2,2
Miha Blazic,Angers,2.7,1.9,0.8
Logan Costa,Toulouse,1.3,0.8,0.5
Samuel Moutoussamy,Nantes,1.9,0.6,1.3
Calvin Stengs,Nice,0.5,0.3,0.3
Adil Rami,Troyes,2.4,1.5,0.9
Ibrahima Sissoko,Strasbourg,2.1,1.2,0.9
Cédric Bakambu,Marseille,2.3,1.3,1
Ibrahim Diakité,Reims,1,0.3,0.7
Youcef Belaïli,Brest,0.5,0.3,0.2
Soungoutou Magassa,Monaco,1.5,1,0.5
Paul Bernardoni,Angers,0.3,0.3,0
Julian Jeanvier,Auxerre,2.3,1.1,1.2
Jeff Reine-Adélaïde,Lyon,0.4,0.2,0.2
Lassine Sinayoko,Auxerre,1.8,0.7,1.2
Pablo Rosario,Nice,1.2,0.5,0.7
Adrien Thomasson,Strasbourg,0.9,0.5,0.4
Julien Ponceau,Lorient,1.1,0.3,0.9
Souleyman Doumbia,Angers,1.3,0.8,0.6
Cyrille Bayala,AC Ajaccio,3,1.2,1.7
Akim Zedadka,Lille,1.3,0.6,0.6
Arbër Zeneli,Reims,0.5,0.2,0.3
Billal Brahimi,Nice,0.2,0.1,0.2
Oumar Gonzalez,AC Ajaccio,3.6,2.1,1.5
Vincent Sierro,Toulouse,1.2,0.6,0.6
Sacha Delaye,Montpellier,0.7,0.3,0.3
Siriki Dembélé,Auxerre,0.8,0.2,0.7
Moussa Sissoko,Nantes,1.6,0.8,0.8
Thierno Baldé,Troyes,0.9,0.3,0.6
