player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Yoann Cathline,Lorient,0.8,0.3,1.1
Ibrahima Niané,Angers,0.4,0.3,0.7
Abdallah Sima,Angers,0.6,0.4,1
Christophe Hérelle,Brest,0.6,0.6,1.2
Brayann Pereira,Auxerre,3,2,5
Birger Meling,Rennes,0.9,0.5,1.4
Wout Faes,Reims,0.3,0.3,0.7
Bamba Dieng,Marseille,0.4,0.1,0.5
Adrien Hunou,Angers,1.1,0.9,2
Cédric Hountondji,Angers,1.4,0.3,1.7
Vítinha,Marseille,1.1,0.6,1.6
Eric Bailly,Marseille,0.8,0,0.8
Tanguy Zoukrou,Troyes,1.8,0.5,2.3
Pierrick Capelle,Angers,1.4,1.3,2.7
Romain Faivre,Lyon,0.6,0.2,0.8
Franci Bouebari,Strasbourg,1.5,1,2.5
Ismaël Diallo,AC Ajaccio,1.6,1,2.6
Batista Mendy,Angers,2,0.5,2.5
Amine Salama,Angers,0.4,0.4,0.8
Mitchell van Bergen,Reims,0.6,0.4,1.1
Amine Gouiri,Nice,0.3,0.3,0.7
Mickaël Alphonse,AC Ajaccio,1.3,0.5,1.8
Moussa Diarra,Toulouse,0.9,0.3,1.1
Denis Genreau,Toulouse,1.8,0.9,2.7
Rémy Descamps,Nantes,0,0,0
Jeff Reine-Adélaïde,Troyes,0.5,0.2,0.7
João Victor,Nantes,1.5,0.8,2.2
Komnen Andric,Clermont Foot,0.4,0.4,0.8
Ruben Aguilar,Monaco,1,0.7,1.7
Maxime Busi,Reims,1,0.8,1.8
Khalil Fayad,Montpellier,1.3,0.4,1.6
Dennis Appiah,Nantes,1.4,1.1,2.5
Bonke Innocent,Lorient,1.1,1,2.1
Erik Palmer-Brown,Troyes,1.1,0.4,1.5
Amin Sarr,Lyon,0.7,0.2,0.9
Timothée Pembélé,Paris Saint-Germain,1,0.4,1.4
Florent Ogier,Clermont Foot,1.3,0.7,1.9
Nordine Kandil,Strasbourg,0.4,0.4,0.9
Jérôme Boateng,Lyon,0.4,0.5,0.9
Gauthier Hein,Auxerre,0.8,0.9,1.6
Azzedine Ounahi,Marseille,0.3,0.3,0.6
Arnaud Souquet,Montpellier,1.8,0.3,2.1
Thomas Mangani,AC Ajaccio,1.2,1.1,2.3
Moussa Dembélé,Lyon,0.3,0.1,0.5
Benoît Costil,Auxerre,0.1,0.1,0.2
Alexis Beka Beka,Nice,1.1,0.8,1.9
Enzo Tchato,Montpellier,1.2,0.4,1.7
Marcus Coco,Nantes,0.9,0.5,1.4
Malang Sarr,Monaco,0.5,0.3,0.8
Romain Hamouma,AC Ajaccio,0.4,0.2,0.6
Papa Ndiaga Yade,Troyes,0.7,1.1,1.8
Farid El Melali,Angers,1.2,0.6,1.9
M'Baye Niang,Auxerre,0.4,0.3,0.8
Warren Zaïre-Emery,Paris Saint-Germain,0.7,0.8,1.5
Gelson Martins,Monaco,1.4,0.8,2.2
Mamadou Sakho,Montpellier,0.6,0.1,0.7
Julien Le Cardinal,Lens,0.8,0.3,1
Clément Vidal,AC Ajaccio,1,0.8,1.7
Ibrahim Salah,Rennes,0.6,1,1.6
Myron Boadu,Monaco,0.3,0.5,0.8
Youssouf M'Changama,Auxerre,0.8,0.2,1.1
Mohamed Bayo,Lille,0.1,0.4,0.6
Eliot Matazo,Monaco,1.1,0.7,1.8
Ayoub Amraoui,Nice,0.9,0.4,1.3
Maghnes Akliouche,Monaco,0.6,0.5,1.2
Steven Fortès,Lens,0,0,0
Andy Delort,Nantes,0.4,0.3,0.8
Jérémie Bela,Clermont Foot,0.3,0.1,0.4
Ismail Jakobs,Monaco,0.3,0.2,0.6
Yanis Cimignani,AC Ajaccio,1.4,0.1,1.5
Fallou Fall,Reims,0,1,1
Kévin Danois,Auxerre,1,0,1
Carlos Baleba,Lille,0.7,0.3,0.9
Sada Thioub,Angers,0.7,0.3,1
Andreas Bruus,Troyes,0.4,0.4,0.9
Rares Ilie,Nice,0.8,0.5,1.3
Kevin Spadanuda,AC Ajaccio,1.3,1,2.3
Sébastien Corchia,Nantes,0.7,0.5,1.2
Benjamin Leroy,AC Ajaccio,0,0.1,0.1
Marcin Bulka,Nice,0,0.5,0.5
Siriné Doucouré,Lorient,0.2,0.1,0.3
Ismaël Boura,Lens,0.7,0.1,0.8
Pablo Sarabia,Paris Saint-Germain,0.4,0.4,0.8
Alexis Claude-Maurice,Nice,1.5,0,1.5
Ibrahim Amadou,Angers,1.4,0.6,2
Oliver Zandén,Toulouse,0.4,0.6,1
Souleymane Cissé,Clermont Foot,0.5,0,0.5
Islam Slimani,Brest,0.3,0.2,0.5
Charles Traoré,Nantes,0.7,0.2,0.8
Mathieu Coutadeur,AC Ajaccio,0.9,0.7,1.6
Riad Nouri,AC Ajaccio,0.6,0.5,1.2
Ruan,AC Ajaccio,0.7,0,0.7
Arial Mendy,Clermont Foot,0.8,0,0.8
Taïryk Arconte,Brest,0.3,0.8,1
Valère Germain,Montpellier,0.4,0.3,0.7
Matthis Abline,Auxerre,0.2,0.3,0.5
Halid Sabanovic,Angers,0.5,0.1,0.7
Lebo Mothiba,Strasbourg,0.1,0.1,0.1
Ado Onaiwu,Toulouse,0.3,0.2,0.6
Lukasz Poreba,Lens,0.5,0.1,0.6
Matthis Abline,Rennes,0.1,0,0.1
Jonas Martin,Lille,0.8,0.8,1.5
Ayman Kari,Lorient,0,0,0
Lois Diony,Angers,0.1,0.2,0.3
Abdoulaye Bamba,Angers,1,0.1,1.2
Gaëtan Charbonnier,Auxerre,0.3,0.7,1
Iké Ugbo,Troyes,0.2,0.3,0.5
Serhou Guirassy,Rennes,0,0,0
Lorenz Assignon,Rennes,0.5,0.2,0.7
Mehdi Puch-Herrantz,AC Ajaccio,0.5,0.3,0.8
Fábio,Nantes,0.7,0.3,1
Ismaël Gharbi,Paris Saint-Germain,0,0.3,0.3
Karol Fila,Strasbourg,0,0,0
Tony Strata,AC Ajaccio,1.3,0.3,1.7
Cédric Avinel,AC Ajaccio,0.5,0.2,0.7
Theocharis Tsingaras,Toulouse,0,0,0
Justin-Noel Kalumba,Angers,1.3,1.6,2.9
Gaël Kakuta,Lens,0,0,0
Amar Fatah,Troyes,1,1,2
Joe Bryan,Nice,0.8,0,0.8
Marin Jakolis,Angers,1,0,1
Martin Adeline,Reims,0.6,0.2,0.8
Kyliane Dong,Troyes,0.5,0.2,0.7
Flavius Daniliuc,Nice,1,0,1
Théo Pellenard,Auxerre,0.5,0,0.5
Lohann Doucet,Nantes,0.3,0.1,0.4
Qazim Laçi,AC Ajaccio,0.7,0.6,1.2
Derek Mazou-Sacko,Troyes,0,1,1
Antonin Bobichon,Angers,0,0,0
Axel Camblan,Brest,0.3,0.1,0.4
Ousmane Camara,Angers,1.1,0.8,1.9
Adil Aouchiche,Lorient,0.5,0.7,1.2
Duje Caleta-Car,Marseille,0,0,0
Rémy Dugimont,Auxerre,0.2,0.1,0.3
Mohamed Achi,Nantes,0.5,0,0.5
Alexis Tibidi,Troyes,0.3,0,0.3
Ben Touré,AC Ajaccio,1,1,2
Samuel Koeberlé,Reims,0,0,0
Yanis Massolin,Clermont Foot,0.3,0.2,0.5
Waniss Taïbi,Angers,0.8,0.2,1
Chrislain Matsima,Lorient,0,0,0
Stredair Appuah,Nantes,0.4,0,0.4
Ivane Chegra,AC Ajaccio,1.3,1.2,2.5
Noah Holm,Reims,0.8,0.4,1.1
