player_name,team_name,UnsuccessfulTouches,Dispossessed
Andy Delort,Nantes,1.2,0.7
Jérémie Bela,Clermont Foot,1,0.4
Ismail Jakobs,Monaco,0.5,0.2
Yanis Cimignani,AC Ajaccio,0.5,0.6
Fallou Fall,Reims,0,0
Kévin Danois,Auxerre,0,0
Carlos Baleba,Lille,0.6,0.9
Sada Thioub,Angers,0.6,0.7
Andreas Bruus,Troyes,0.9,0.1
Rares Ilie,Nice,0.8,2.5
Kevin Spadanuda,AC Ajaccio,1.3,1
Sébastien Corchia,Nantes,0.6,0.3
Benjamin Leroy,AC Ajaccio,0.1,0
Marcin Bulka,Nice,0,0
Siriné Doucouré,Lorient,1.2,0.5
Ismaël Boura,Lens,0.7,0
Pablo Sarabia,Paris Saint-Germain,0.8,0.5
Alexis Claude-Maurice,Nice,1.5,1
Ibrahim Amadou,Angers,0.3,0.4
Oliver Zandén,Toulouse,0.6,0
Souleymane Cissé,Clermont Foot,0.5,0.5
Islam Slimani,Brest,2.3,1.1
Charles Traoré,Nantes,0.3,0
Mathieu Coutadeur,AC Ajaccio,0.7,0.3
Riad Nouri,AC Ajaccio,0.9,0.5
Ruan,AC Ajaccio,0.7,0.7
Arial Mendy,Clermont Foot,0.4,0.4
Taïryk Arconte,Brest,1,0.5
Valère Germain,Montpellier,0.7,0.3
Matthis Abline,Auxerre,2.3,0.9
Halid Sabanovic,Angers,0.8,0.2
Lebo Mothiba,Strasbourg,0.8,0.4
Ado Onaiwu,Toulouse,0.7,0.8
Lukasz Poreba,Lens,0.5,0.2
Matthis Abline,Rennes,0.9,0.1
Jonas Martin,Lille,0.2,0.3
Ayman Kari,Lorient,0.6,0.2
Lois Diony,Angers,1.5,0.7
Abdoulaye Bamba,Angers,0.4,0.2
Gaëtan Charbonnier,Auxerre,1.3,1
Iké Ugbo,Troyes,0.7,0.3
Serhou Guirassy,Rennes,0,1
Lorenz Assignon,Rennes,0.3,0.2
Mehdi Puch-Herrantz,AC Ajaccio,0.8,0.5
Fábio,Nantes,0.7,0.2
Ismaël Gharbi,Paris Saint-Germain,0.2,0.2
Karol Fila,Strasbourg,0.5,0
Tony Strata,AC Ajaccio,0.3,0
Cédric Avinel,AC Ajaccio,0.1,0
Theocharis Tsingaras,Toulouse,0,0
Justin-Noel Kalumba,Angers,2,1
Gaël Kakuta,Lens,0,0
Amar Fatah,Troyes,4,2
Joe Bryan,Nice,0.5,0
Marin Jakolis,Angers,1,1
Martin Adeline,Reims,0.8,0.4
Kyliane Dong,Troyes,1.5,0.7
Flavius Daniliuc,Nice,0.5,0
Théo Pellenard,Auxerre,0,0
Lohann Doucet,Nantes,0,0
Qazim Laçi,AC Ajaccio,0.1,0
Derek Mazou-Sacko,Troyes,0,1
Antonin Bobichon,Angers,0,0
Axel Camblan,Brest,0.6,0.4
Ousmane Camara,Angers,0.4,0.1
Adil Aouchiche,Lorient,0.5,0.7
Duje Caleta-Car,Marseille,0,0
Rémy Dugimont,Auxerre,0.2,0.1
Mohamed Achi,Nantes,0,0.5
Alexis Tibidi,Troyes,0.3,0.3
Ben Touré,AC Ajaccio,1.5,0.8
Samuel Koeberlé,Reims,1,0
Yanis Massolin,Clermont Foot,0,0
Waniss Taïbi,Angers,0.5,0
Chrislain Matsima,Lorient,0.3,0
Stredair Appuah,Nantes,0.8,0.4
Ivane Chegra,AC Ajaccio,1.2,0.8
Noah Holm,Reims,0.6,0.8
Félix Lemaréchal,Brest,0.4,0.8
Mamadou Diakhon,Reims,1,0
Ilyés Chétti,Angers,0.8,0.2
Jean-Mattéo Bahoya,Angers,0.9,0.5
Brandon Baiye,Clermont Foot,0.1,0.1
Eli Kroupi,Lorient,0,0
Marvin Senaya,Strasbourg,0,0
Rémy Labeau-Lascary,Lens,0.8,0.3
Marlos Moreno,Troyes,0,1
El Chadaille Bitshiabu,Paris Saint-Germain,0.2,0.2
Veljko Birmancevic,Toulouse,0.5,0.1
Valentin Atangana Edoa,Reims,0.4,0.6
Tristan Dingomé,Troyes,0.1,0.1
Dogan Alemdar,Rennes,0.2,0
Mohamed Touré,Reims,0.7,0
Kaj Sierhuis,Reims,0.4,0.4
Abdoul Kader Bamba,Nantes,0.2,0.8
Patrick Pentz,Reims,0,0
Jean Botué,AC Ajaccio,1.3,0.1
Hianga'a M'Bock,Brest,0.5,0.5
Naatan Skyttä,Toulouse,0.5,0
Baïla Diallo,Clermont Foot,0.2,0.2
Alan Virginius,Lille,0.5,0.4
Nathanaël Mbuku,Reims,0.3,0.2
Zinédine Ould Khaled,Angers,0.3,0.5
Ousmane Camara,Auxerre,0,0
Moussa Soumano,AC Ajaccio,1.1,0.5
Ilyes Housni,Paris Saint-Germain,1,2
Guela Doué,Rennes,0,0
Béni Makouana,Montpellier,0.5,0.6
Karamoko Dembélé,Brest,0.5,0.5
Sérigné Faye,Montpellier,1,1.5
Mamadou Sarr,Lyon,0,0
Florian Chabrolle,AC Ajaccio,0.7,0.6
Irvin Cardona,Brest,0.7,0.3
Rafik Guitane,Reims,0,1
Thibault Tamas,Montpellier,1,0
Alberth Elis,Brest,0.4,0.5
El Bilal Touré,Reims,0.3,0.7
Jason Berthomier,Clermont Foot,0,0
Alan Do Marcolino,Rennes,0,0.3
Kévin Keben,Toulouse,0.7,0.5
Christopher Wooh,Lens,0,0
Isaak Touré,Marseille,0.2,0
Yanis Begraoui,Toulouse,2,0.3
Saïd Hamulic,Toulouse,0.5,0.7
Alexandre Letellier,Paris Saint-Germain,0,0
Amine Messoussa,Lille,1,0
Andréa Dacourt,Nice,0,0
Axel Gueguin,Montpellier,0.2,0
Mohamed El Arouch,Lyon,0,0
Paolo Lebas,AC Ajaccio,1,0
Romain Salin,Rennes,0,0
Simon Ramet,Lille,0,0
Théo Trinker,Nice,0,0
Danel Dongmo,Troyes,0.5,0.5
Yoann Touzghar,AC Ajaccio,0.9,0.4
Adrian Grbic,Lorient,0,0
Ignatius Ganago,Lens,0.5,0.5
Adam Buksa,Lens,0.9,0.3
Moussa Djitté,AC Ajaccio,1.3,0.3
Patrick Berg,Lens,0.3,0
Anthony Khelifa,AC Ajaccio,0,0
Dany Jean,Strasbourg,0.5,0.5
Jason Mbock,Angers,0,0
Salim Ben Seghir,Marseille,1,2
François Mughe,Marseille,0,0
François-Joseph Sollacaro,AC Ajaccio,0,0
Ouparine Djoco,Clermont Foot,0,0
Mathis Hamdi,Troyes,1,0
Pedro Mendes,Montpellier,1,0
Léo Jardim,Lille,0,0
Christian Mawissa,Toulouse,0,0
