player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
David Pereira da Costa,Lens,0.8,0.3,0,0.5
Maxime Esteve,Montpellier,0.3,0,0.1,0.2
Timothy Weah,Lille,1,0.6,0,0.4
Gabriel Gudmundsson,Lille,0.4,0.3,0,0.1
Mohamed Youssouf,AC Ajaccio,0.2,0.1,0,0.1
Igor Silva,Lorient,0.6,0.1,0,0.4
Noah Fadiga,Brest,0.5,0.1,0,0.4
Falaye Sacko,Montpellier,0.2,0.1,0,0.1
Dimitri Liénard,Strasbourg,0.5,0.3,0,0.1
Florent Mollet,Nantes,1.2,0.7,0,0.5
Antoine Mendy,Nice,0.7,0.2,0.1,0.5
Pedro Chirivella,Nantes,0.6,0.5,0,0.2
Akim Zedadka,Auxerre,0.5,0.1,0,0.4
Rayan Raveloson,Auxerre,0.9,0.4,0,0.4
Pape Gueye,Marseille,0.6,0.2,0,0.4
Ronaël Pierre-Gabriel,Strasbourg,0.2,0,0,0.2
Kamory Doumbia,Reims,1,0.5,0,0.5
Haris Belkebla,Brest,0.3,0.2,0,0.1
Evann Guessand,Nantes,0.7,0.1,0.1,0.5
Brecht Dejaegere,Toulouse,0.8,0.1,0,0.6
Jean Onana,Lens,0.4,0.2,0,0.1
Kenji-Van Boto,Auxerre,1.5,1,0,0.5
Yohann Magnin,Clermont Foot,0.4,0.2,0,0.2
Johann Lepenant,Lyon,0.6,0.5,0,0.2
Mickaël Barreto,AC Ajaccio,1,0.8,0,0.2
Vincent Marchetti,AC Ajaccio,1.2,0.8,0,0.4
Arkadiusz Milik,Marseille,0.5,0,0,0.5
Bamba Dieng,Lorient,1.5,0.3,0.2,0.9
Lesley Ugochukwu,Rennes,0.2,0.1,0,0.1
Théo Le Bris,Lorient,0.4,0,0,0.3
Sanjin Prcic,Strasbourg,1,0.9,0,0.1
Gerson,Marseille,0.9,0.3,0.1,0.5
Massadio Haïdara,Lens,0.4,0,0.1,0.3
Xeka,Rennes,0.6,0.4,0,0.3
Aiman Maurer,Clermont Foot,1.1,0.3,0.1,0.7
Youssouf Koné,AC Ajaccio,0.1,0.1,0,0
Gaetan Perrin,Auxerre,0.7,0.4,0,0.3
Kamaldeen Sulemana,Rennes,0.9,0.4,0.1,0.4
Reda Belahyane,Nice,0.3,0.3,0,0
Damien Da Silva,Lyon,0.3,0,0,0.3
Abdu Conté,Troyes,0.2,0.1,0,0.2
Ibrahima Koné,Lorient,0.8,0.1,0,0.7
Carlos Soler,Paris Saint-Germain,0.4,0.1,0,0.2
Yuito Suzuki,Strasbourg,0.7,0,0,0.7
Hugo Magnetti,Brest,0.5,0.4,0,0.1
Mehdi Zeffane,Clermont Foot,0.4,0.2,0.1,0.2
Stéphane Diarra,Lorient,0.7,0.2,0,0.5
Mathias Pereira Lage,Brest,0.9,0.4,0,0.4
Jim Allevinah,Clermont Foot,0.8,0.3,0,0.5
Wesley Saïd,Lens,1.3,0.2,0,1
Léo Leroy,Montpellier,0.7,0.3,0,0.4
Achraf Dari,Brest,0.2,0.1,0,0.2
Kays Ruiz-Atil,Auxerre,0,0,0,0
Yasser Larouci,Troyes,0.3,0.2,0,0.2
Warren Kamanzi,Toulouse,0.2,0.1,0,0.1
Myziane Maolida,Reims,0.7,0.2,0,0.4
Leny Yoro,Lille,0.2,0,0,0.2
Fernand Mayembo,AC Ajaccio,0.4,0,0.3,0.1
Colin Dagba,Strasbourg,0.2,0,0,0.2
Bradley Locko,Brest,0,0,0,0
Takumi Minamino,Monaco,1.2,0.4,0.2,0.6
Eduard Sobol,Strasbourg,0.3,0.3,0,0.1
Rudy Kohon,Troyes,0,0,0,0
Bevic Moussiti-Oko,AC Ajaccio,1.2,0.2,0.1,0.8
Jean-Victor Makengo,Lorient,0.3,0.3,0,0.1
Gerzino Nyamsi,Strasbourg,0.7,0.1,0,0.7
Renato Sanches,Paris Saint-Germain,0.6,0.3,0,0.3
Jean-Eudes Aholou,Strasbourg,0.7,0.5,0,0.2
Yoann Salmier,Troyes,0.4,0.2,0.1,0.2
Mattia Viti,Nice,0.2,0,0,0.2
Wilson Odobert,Troyes,0.8,0.3,0,0.5
Jere Uronen,Brest,0.2,0.2,0,0
Rubén Blanco,Marseille,0,0,0,0
Kevin Volland,Monaco,0.9,0.1,0,0.8
Dion Lopy,Reims,0.6,0.5,0,0.1
Jodel Dossou,Clermont Foot,0.7,0.2,0,0.4
Darlin Yongwa,Lorient,0.6,0.2,0.1,0.4
Houssem Aouar,Lyon,0.9,0.3,0.1,0.5
Jean-Claude Billong,Clermont Foot,0,0,0,0
Miha Blazic,Angers,0.3,0,0.1,0.2
Logan Costa,Toulouse,0.8,0,0.2,0.7
Samuel Moutoussamy,Nantes,0.6,0.2,0,0.4
Calvin Stengs,Nice,0.8,0.5,0,0.3
Adil Rami,Troyes,0.5,0.2,0.1,0.2
Ibrahima Sissoko,Strasbourg,0.5,0.2,0,0.3
Cédric Bakambu,Marseille,0,0,0,0
Ibrahim Diakité,Reims,0.3,0,0,0.3
Youcef Belaïli,Brest,1.5,0.3,0,1.2
Soungoutou Magassa,Monaco,0,0,0,0
Paul Bernardoni,Angers,0,0,0,0
Julian Jeanvier,Auxerre,0.4,0,0.1,0.3
Jeff Reine-Adélaïde,Lyon,0.7,0.4,0,0.4
Lassine Sinayoko,Auxerre,1.3,0.4,0.1,0.8
Pablo Rosario,Nice,0.3,0.1,0,0.2
Adrien Thomasson,Strasbourg,1.1,0.1,0.1,0.9
Julien Ponceau,Lorient,0.5,0.2,0,0.3
Souleyman Doumbia,Angers,0.3,0,0,0.3
Cyrille Bayala,AC Ajaccio,0.7,0.2,0.1,0.3
Akim Zedadka,Lille,0.4,0,0,0.4
Arbër Zeneli,Reims,1.3,0.6,0,0.7
Billal Brahimi,Nice,0.8,0.5,0,0.3
Oumar Gonzalez,AC Ajaccio,0.4,0,0,0.3
Vincent Sierro,Toulouse,0.5,0.3,0,0.2
Sacha Delaye,Montpellier,0.7,0.3,0,0.3
Siriki Dembélé,Auxerre,0.4,0.3,0,0.2
Moussa Sissoko,Nantes,0.6,0.1,0.1,0.4
Thierno Baldé,Troyes,0.2,0.1,0,0.2
Alexandre Coeff,Auxerre,0.1,0,0,0.1
Matis Carvalho,Montpellier,0,0,0,0
Yoann Cathline,Lorient,1.1,0.6,0,0.5
Ibrahima Niané,Angers,1.6,0.4,0.3,1
Abdallah Sima,Angers,1.1,0.1,0.2,0.8
Christophe Hérelle,Brest,0.2,0.1,0,0.1
Brayann Pereira,Auxerre,0,0,0,0
Birger Meling,Rennes,0,0,0,0
Wout Faes,Reims,0,0,0,0
Bamba Dieng,Marseille,1.1,0.1,0.1,0.9
Adrien Hunou,Angers,1.3,0.2,0.2,0.9
Cédric Hountondji,Angers,0.3,0,0.1,0.3
Vítinha,Marseille,1.8,0.1,0.2,1.4
Eric Bailly,Marseille,0.2,0,0,0.2
Tanguy Zoukrou,Troyes,0,0,0,0
Pierrick Capelle,Angers,0.6,0.2,0,0.3
Romain Faivre,Lyon,0.5,0.4,0,0.1
Franci Bouebari,Strasbourg,0,0,0,0
Ismaël Diallo,AC Ajaccio,0.1,0,0,0.1
Batista Mendy,Angers,0.4,0.3,0,0.1
Amine Salama,Angers,1,0.2,0.2,0.6
Mitchell van Bergen,Reims,0.9,0.4,0,0.4
Amine Gouiri,Nice,1.7,0.3,0.3,1
Mickaël Alphonse,AC Ajaccio,0.4,0.2,0,0.2
Moussa Diarra,Toulouse,0,0,0,0
Denis Genreau,Toulouse,0.4,0.1,0,0.3
Rémy Descamps,Nantes,0,0,0,0
Jeff Reine-Adélaïde,Troyes,0.7,0.5,0,0.2
João Victor,Nantes,0.2,0,0,0.2
Komnen Andric,Clermont Foot,0.9,0.1,0.1,0.6
Ruben Aguilar,Monaco,0.2,0.1,0,0.2
Maxime Busi,Reims,0.1,0.1,0,0
Khalil Fayad,Montpellier,0.3,0.2,0,0.1
Dennis Appiah,Nantes,0.3,0.2,0,0.1
Bonke Innocent,Lorient,0.2,0.1,0,0
Erik Palmer-Brown,Troyes,0.3,0.1,0,0.2
Amin Sarr,Lyon,0.5,0.1,0.2,0.2
Timothée Pembélé,Paris Saint-Germain,0.6,0,0,0.6
Florent Ogier,Clermont Foot,0.1,0,0,0
Nordine Kandil,Strasbourg,0.4,0.1,0,0.3
Jérôme Boateng,Lyon,0,0,0,0
Gauthier Hein,Auxerre,1.1,0.4,0,0.6
Azzedine Ounahi,Marseille,0.4,0.3,0,0.1
Arnaud Souquet,Montpellier,0.1,0,0,0.1
Thomas Mangani,AC Ajaccio,0.4,0.3,0,0.1
Moussa Dembélé,Lyon,1.2,0.1,0.1,1
Benoît Costil,Auxerre,0,0,0,0
Alexis Beka Beka,Nice,0.6,0.5,0,0.1
Enzo Tchato,Montpellier,0.2,0,0,0.1
Marcus Coco,Nantes,0.3,0,0,0.2
Malang Sarr,Monaco,0.1,0,0,0.1
Romain Hamouma,AC Ajaccio,0.8,0.3,0.2,0.4
Papa Ndiaga Yade,Troyes,0.7,0.3,0,0.4
Farid El Melali,Angers,0.6,0.3,0.1,0.3
M'Baye Niang,Auxerre,1.3,0.2,0.1,1
Warren Zaïre-Emery,Paris Saint-Germain,0.3,0.1,0,0.2
Gelson Martins,Monaco,1.1,0.4,0.1,0.6
Mamadou Sakho,Montpellier,0.2,0,0.1,0.1
Julien Le Cardinal,Lens,0.6,0.1,0.4,0.1
Clément Vidal,AC Ajaccio,0.5,0,0,0.4
Ibrahim Salah,Rennes,0.5,0.2,0,0.2
Myron Boadu,Monaco,0.6,0,0.1,0.5
Youssouf M'Changama,Auxerre,0.7,0.6,0,0.1
Mohamed Bayo,Lille,0.8,0,0.2,0.6
Eliot Matazo,Monaco,0.2,0.1,0,0
Ayoub Amraoui,Nice,0.1,0,0,0.1
Maghnes Akliouche,Monaco,0.5,0.1,0,0.4
Steven Fortès,Lens,0,0,0,0
Andy Delort,Nantes,1.5,0.5,0.2,0.8
Jérémie Bela,Clermont Foot,0.6,0.4,0.1,0.2
Ismail Jakobs,Monaco,0.4,0.1,0,0.3
Yanis Cimignani,AC Ajaccio,0.8,0.6,0,0.1
Fallou Fall,Reims,0,0,0,0
Kévin Danois,Auxerre,0,0,0,0
Carlos Baleba,Lille,0.6,0.5,0,0.1
Sada Thioub,Angers,0.3,0.1,0.1,0.2
Andreas Bruus,Troyes,0.4,0.1,0,0.3
Rares Ilie,Nice,1,0,0,1
Kevin Spadanuda,AC Ajaccio,0.3,0,0,0.3
Sébastien Corchia,Nantes,0.2,0.2,0,0
Benjamin Leroy,AC Ajaccio,0,0,0,0
Marcin Bulka,Nice,0,0,0,0
Siriné Doucouré,Lorient,0.6,0.2,0.1,0.3
Ismaël Boura,Lens,0.2,0.1,0,0.1
Pablo Sarabia,Paris Saint-Germain,0.4,0.1,0.1,0.3
Alexis Claude-Maurice,Nice,1,1,0,0
Ibrahim Amadou,Angers,0.3,0.1,0,0.1
Oliver Zandén,Toulouse,0.4,0.2,0.2,0
Souleymane Cissé,Clermont Foot,0.5,0,0,0.5
Islam Slimani,Brest,0.9,0.1,0.1,0.8
Charles Traoré,Nantes,0,0,0,0
Mathieu Coutadeur,AC Ajaccio,0.1,0.1,0,0
Riad Nouri,AC Ajaccio,0.5,0.1,0,0.4
Ruan,AC Ajaccio,0.7,0,0,0.7
Arial Mendy,Clermont Foot,0.4,0.2,0,0.2
Taïryk Arconte,Brest,0.5,0,0,0.5
Valère Germain,Montpellier,0.6,0.1,0.1,0.4
