player_name,team_name,Total_Key passes,Long,Short
Julian Jeanvier,Auxerre,0,0,0
Jeff Reine-Adélaïde,Lyon,0.6,0.1,0.5
Lassine Sinayoko,Auxerre,0.7,0,0.7
Pablo Rosario,Nice,0.6,0.1,0.5
Adrien Thomasson,Strasbourg,1.1,0.1,1
Julien Ponceau,Lorient,0.8,0,0.8
Souleyman Doumbia,Angers,0.5,0,0.5
Cyrille Bayala,AC Ajaccio,0.6,0,0.6
Akim Zedadka,Lille,0.6,0.1,0.5
Arbër Zeneli,Reims,1,0.3,0.6
Billal Brahimi,Nice,0.7,0.1,0.6
Oumar Gonzalez,AC Ajaccio,0,0,0
Vincent Sierro,Toulouse,0.7,0.3,0.4
Sacha Delaye,Montpellier,0,0,0
Siriki Dembélé,Auxerre,0.7,0,0.7
Moussa Sissoko,Nantes,0.6,0,0.5
Thierno Baldé,Troyes,0.6,0,0.6
Alexandre Coeff,Auxerre,0.1,0,0.1
Matis Carvalho,Montpellier,0,0,0
Yoann Cathline,Lorient,0.3,0.1,0.2
Ibrahima Niané,Angers,0.5,0,0.5
Abdallah Sima,Angers,0.5,0,0.4
Christophe Hérelle,Brest,0.2,0.1,0.1
Brayann Pereira,Auxerre,0,0,0
Birger Meling,Rennes,0.3,0,0.3
Wout Faes,Reims,0.3,0,0.3
Bamba Dieng,Marseille,0.2,0.1,0.1
Adrien Hunou,Angers,0.5,0.1,0.5
Cédric Hountondji,Angers,0.1,0,0.1
Vítinha,Marseille,0.2,0,0.2
Eric Bailly,Marseille,0,0,0
Tanguy Zoukrou,Troyes,0.1,0,0.1
Pierrick Capelle,Angers,0.5,0.1,0.4
Romain Faivre,Lyon,0.6,0.2,0.4
Franci Bouebari,Strasbourg,0.5,0,0.5
Ismaël Diallo,AC Ajaccio,0.3,0.1,0.2
Batista Mendy,Angers,0.5,0.1,0.4
Amine Salama,Angers,0.4,0,0.4
Mitchell van Bergen,Reims,0.7,0.1,0.5
Amine Gouiri,Nice,1,0.7,0.3
Mickaël Alphonse,AC Ajaccio,0.4,0.2,0.3
Moussa Diarra,Toulouse,0.3,0,0.3
Denis Genreau,Toulouse,0.3,0,0.3
Rémy Descamps,Nantes,0,0,0
Jeff Reine-Adélaïde,Troyes,0.3,0,0.3
João Victor,Nantes,0.3,0.1,0.2
Komnen Andric,Clermont Foot,0.4,0.1,0.4
Ruben Aguilar,Monaco,0.2,0,0.2
Maxime Busi,Reims,0.3,0,0.3
Khalil Fayad,Montpellier,0.5,0.1,0.4
Dennis Appiah,Nantes,0.3,0.1,0.2
Bonke Innocent,Lorient,0.2,0,0.2
Erik Palmer-Brown,Troyes,0.2,0,0.2
Amin Sarr,Lyon,0.3,0,0.3
Timothée Pembélé,Paris Saint-Germain,0.4,0,0.4
Florent Ogier,Clermont Foot,0.2,0,0.2
Nordine Kandil,Strasbourg,0.3,0,0.3
Jérôme Boateng,Lyon,0.1,0,0.1
Gauthier Hein,Auxerre,0.8,0.2,0.6
Azzedine Ounahi,Marseille,0.1,0.1,0
